,Live Spectrum 26-10-2023 13:25:28,Live Spectrum 26-10-2023 13:25:32,Live Spectrum 26-10-2023 13:25:33,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:35,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,18.65625,17.96875,18,19.3125,17.9375,19.25,18.96875,18.59375,18.6875,18.6875,17.875,17.875,17.875,18.59375,18.59375,18.59375,19.1875,18.46875,18.71875,18.5625,
361.2189,18.34566,18.22448,18.493579,19.23663,17.84375,18.85972,18.73281,18.4158,18.63906,18.63906,17.5,17.5,17.5,18.4783,18.4783,18.4783,18.98472,18.92413,18.64219,18.15816,
361.5005,18.413133,18.316313,18.89788,19.023623,17.91239,18.640253,18.449683,18.623513,18.34068,18.34068,17.553386,17.553386,17.553386,18.686013,18.686013,18.686013,18.765253,18.71875,18.89481,18.271393,
361.7821,18.784572,18.417981,19.08534,18.95733,18.486191,18.864202,18.346761,19.113891,18.213662,18.213662,18.097383,18.097383,18.097383,19.210651,19.210651,19.210651,18.909261,18.764431,18.869601,18.86929,
362.0636,19.287153,18.902006,19.164699,19.012654,18.881752,19.496605,18.598804,19.282948,18.924807,18.924807,19.002508,19.002508,19.002508,19.745756,19.745756,19.745756,19.138503,19.158758,19.193403,18.820949,
362.3452,19.481032,19.308612,19.18859,19.419622,19.018968,19.96984,18.95367,19.027362,19.487718,19.487718,19.726526,19.726526,19.726526,20.21875,20.21875,20.21875,19.42242,19.768968,19.482122,18.863808,
362.6267,19.380695,18.906306,19.5085,19.696,19.301083,20.210222,19.16475,19.034055,19.349473,19.349473,20.076694,20.076694,20.076694,20.264194,20.264194,20.264194,19.542611,19.630723,19.667611,19.318138,
362.9083,19.691432,18.971553,20.071218,19.914695,19.440885,20.25,19.489298,19.352195,19.282652,19.282652,20.222408,20.222408,20.222408,20.290823,20.290823,20.290823,19.655122,19.70945,19.52872,19.867957,
363.1899,20.265096,19.460006,20.684324,20.210282,19.228553,20.431149,19.868649,19.919505,19.806149,19.806149,20.342691,20.342691,20.342691,20.399899,20.399899,20.399899,19.600101,20.416053,19.644606,19.990197,
363.4714,20.416876,19.266953,20.696484,20.841722,19.660549,20.52328,20.198126,20.858675,20.10172,20.10172,20.27328,20.27328,20.27328,20.712423,20.712423,20.712423,19.40625,20.610703,20.389925,19.8125,
363.7530,20.775706,19.619728,20.662609,21.551141,20.13826,20.399891,20.3125,20.886631,20.225109,20.225109,20.431956,20.431956,20.431956,21.094565,21.094565,21.094565,19.913967,20.530978,21.113641,20.263804,
364.0346,20.999447,20.236079,20.749447,21.8125,20.457042,20.519542,20.518989,20.6875,20.869466,20.869466,20.862185,20.862185,20.862185,21.405143,21.405143,21.405143,20.766222,20.964323,21.56084,20.789638,
364.3161,21.233633,20.752317,21.186015,21.722552,20.75612,21.178411,20.962304,21.49703,21.817135,21.817135,21.607148,21.607148,21.607148,21.738593,21.738593,21.738593,21.368554,22.208176,21.858633,20.883763,
364.5977,21.944783,21.410008,21.562617,21.590226,21.35444,22.062851,21.60444,22.007048,22.451597,22.451597,22.257165,22.257165,22.257165,22.159891,22.159891,22.159891,22.059327,22.812617,21.694314,21.288415,
364.8792,22.83088,22.189949,21.991012,21.536356,22.179736,22.720587,22.351305,21.905638,22.379494,22.379494,22.767156,22.767156,22.767156,22.485293,22.485293,22.485293,22.71548,22.456701,21.677287,22.242849,
365.1608,23.472073,22.284538,22.258237,22.761596,22.340462,22.784538,22.888186,22.853684,22.567449,22.567449,23.235224,23.235224,23.235224,21.916077,21.916077,21.916077,23.455635,23.18591,22.49841,22.5181,
365.4424,23.739673,22.370574,22.668321,23.114673,22.820145,22.364405,23.354345,23.177173,22.951046,22.951046,23.519447,23.519447,23.519447,22.73699,22.73699,22.73699,23.769447,23.578997,22.831947,22.828997,
365.7239,23.786868,23.135244,22.975689,24.075387,23.128304,23.642183,23.909885,23.472715,23.78852,23.78852,23.876983,23.876983,23.876983,24.229324,24.229324,24.229324,23.973046,24.128635,22.912528,23.56977,
