,Live Spectrum 26-10-2023 13:26:59,Live Spectrum 26-10-2023 13:27:01,Live Spectrum 26-10-2023 13:27:02,Live Spectrum 26-10-2023 13:27:03,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:08,Live Spectrum 26-10-2023 13:27:08,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.5625,16.84375,16.9375,16.75,16.71875,16.46875,16.46875,16.625,16.625,16.96875,16.96875,17.125,17.125,17.15625,17.15625,17.15625,17.15625,17.34375,17.34375,
361.2189,16.53889,16.99809,16.79913,16.59757,16.960419,16.431079,16.431079,16.649829,16.649829,17.23594,17.23594,16.86927,16.86927,17.3125,17.3125,17.08802,17.08802,17.59566,17.59566,
361.5005,16.663877,16.987817,16.58231,16.65625,17.30106,16.808687,16.808687,17.038877,17.038877,17.5,17.5,16.79269,16.79269,17.281994,17.281994,17.02288,17.02288,17.621187,17.621187,
361.7821,16.71304,17.14784,16.50571,16.690511,17.138809,16.866901,16.866901,17.09375,17.09375,17.454319,17.454319,16.920681,16.920681,17.016819,17.016819,17.1875,17.1875,17.548069,17.548069,
362.0636,16.748302,17.280401,16.546451,16.820949,16.705247,17.234799,17.234799,17.108951,17.108951,17.2576,17.2576,17.109799,17.109799,16.797299,16.797299,17.248302,17.248302,17.298148,17.298148,
362.3452,17.051308,17.384484,16.679106,16.759484,16.56359,17.225436,17.225436,17.175218,17.175218,17.28125,17.28125,17.024564,17.024564,16.84484,16.84484,17.418532,17.418532,17.089862,17.089862,
362.6267,17.289778,17.383528,16.863639,16.735806,16.860778,17.301139,17.301139,17.21875,17.21875,17.349417,17.349417,16.83525,16.83525,17.153389,17.153389,17.306833,17.306833,16.948861,16.948861,
362.9083,17.077988,17.26436,16.777592,16.709177,16.854452,17.307713,17.307713,17.337835,17.337835,17.204117,17.204117,16.65625,16.65625,17.365427,17.365427,17.02872,17.02872,17.167225,17.167225,
363.1899,16.934324,16.960006,16.702596,16.766154,16.852494,17.373941,17.373941,17.349043,17.349043,16.873941,16.873941,16.626059,16.626059,17.301638,17.301638,16.933266,16.933266,17.316734,17.316734,
363.4714,17.048203,16.597421,16.82047,16.953439,16.96078,17.491016,17.491016,17.08578,17.08578,17.024923,17.024923,16.69547,16.69547,17.190157,17.190157,17.248986,17.248986,16.950154,16.950154,
363.7530,17.043696,16.73201,16.962663,17.125,16.74337,17.487283,17.487283,16.905978,16.905978,17.200217,17.200217,17.119728,17.119728,17.21875,17.21875,17.519076,17.519076,16.655978,16.655978,
364.0346,17.093197,16.947548,17.103244,17.207596,16.47041,17.210362,17.210362,16.885048,16.885048,17.270649,17.270649,17.426346,17.426346,17.21875,17.21875,17.696994,17.696994,16.614399,16.614399,
364.3161,16.967591,16.721394,17.066302,17.070104,16.66733,16.891367,16.891367,16.951224,16.951224,17.213789,17.213789,17.333828,17.333828,17.331185,17.331185,17.52513,17.52513,16.759922,16.759922,
364.5977,16.979206,16.722274,16.86102,16.708177,16.635339,16.715226,16.715226,17.017387,17.017387,17.114544,17.114544,17.135339,17.135339,17.326363,17.326363,17.194314,17.194314,16.715226,16.715226,
