,Live Spectrum 26-10-2023 13:27:57,Live Spectrum 26-10-2023 13:27:59,Live Spectrum 26-10-2023 13:28:02,Live Spectrum 26-10-2023 13:28:03,Live Spectrum 26-10-2023 13:28:03,Live Spectrum 26-10-2023 13:28:03,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:07,Live Spectrum 26-10-2023 13:28:07,Live Spectrum 26-10-2023 13:28:07,Live Spectrum 26-10-2023 13:28:07,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.4375,17.28125,16.78125,16.40625,16.40625,16.5625,16.5625,16.5625,16.4375,16.4375,16.46875,16.46875,16.46875,16.90625,16.90625,16.90625,16.78125,16.78125,16.78125,16.65625,16.65625,16.65625,17.25,17.25,17,
361.2189,16.42413,16.95347,16.74236,16.79462,16.79462,16.646009,16.646009,16.646009,16.95469,16.95469,16.42413,16.42413,16.42413,16.55104,16.55104,16.55104,16.48854,16.48854,16.48854,16.87882,16.87882,16.87882,16.746871,16.746871,17.03316,
361.5005,16.20731,16.714937,16.632627,17.01144,17.01144,16.938244,16.938244,16.938244,17.237817,17.237817,16.21875,16.21875,16.21875,16.38644,16.38644,16.38644,16.3125,16.3125,16.3125,16.92606,16.92606,16.92606,16.192057,16.192057,17.066313,
361.7821,16.199231,16.733181,16.744601,17.036649,17.036649,16.644519,16.644519,16.644519,17.317899,17.317899,16.292981,16.292981,16.292981,16.554401,16.554401,16.554401,16.438122,16.438122,16.438122,16.8152,16.8152,16.8152,16.039971,16.039971,17.07662,
362.0636,16.554051,16.990702,17.015201,16.77365,16.77365,16.282099,16.282099,16.282099,17.009298,17.009298,16.6326,16.6326,16.6326,16.960301,16.960301,16.960301,17.060802,17.060802,17.060802,16.672299,16.672299,16.672299,16.325154,16.325154,16.9924,
362.3452,16.691388,17.137282,17.166824,16.626708,16.626708,16.14008,16.14008,16.14008,16.910138,16.910138,16.694186,16.694186,16.694186,17.069186,17.069186,17.069186,17.259484,17.259484,17.259484,16.710356,16.710356,16.710356,16.675218,16.675218,16.959266,
362.6267,16.900555,16.968778,17.417611,16.298306,16.298306,16.065333,16.065333,16.065333,17.119305,17.119305,16.735806,16.735806,16.735806,17.065361,17.065361,17.065361,17.269889,17.269889,17.269889,17.019861,17.019861,17.019861,16.707389,16.707389,16.83525,
362.9083,16.973537,17.014633,17.212562,16.271677,16.271677,16.561645,16.561645,16.561645,16.954117,16.954117,16.33869,16.33869,16.33869,16.66808,16.66808,16.66808,17.157378,17.157378,17.157378,17.007043,17.007043,17.007043,16.700732,16.700732,16.57686,
363.1899,16.846926,17.254234,16.921346,16.328654,16.328654,17.035484,17.035484,17.035484,16.59375,16.59375,16.208165,16.208165,16.208165,16.419229,16.419229,16.419229,17.091633,17.091633,17.091633,16.643271,16.643271,16.643271,16.658367,16.658367,16.664994,
363.4714,16.682187,16.853748,16.9375,16.346407,16.346407,16.719764,16.719764,16.719764,16.627657,16.627657,16.683829,16.683829,16.683829,16.635626,16.635626,16.635626,17.274923,17.274923,17.274923,16.51164,16.51164,16.51164,16.69547,16.69547,17.112346,
363.7530,16.75663,16.549783,16.956304,16.50663,16.50663,16.618913,16.618913,16.618913,16.675054,16.675054,16.831304,16.831304,16.831304,16.88163,16.88163,16.88163,17.318587,17.318587,17.318587,16.449946,16.449946,16.449946,16.78125,16.78125,17.368913,
364.0346,17.070888,16.644542,16.844857,16.841537,16.841537,16.718197,16.718197,16.718197,16.770096,16.770096,16.719857,16.719857,16.719857,16.927452,16.927452,16.927452,17.09541,17.09541,17.09541,16.540744,16.540744,16.540744,16.925792,16.925792,17.137815,
364.3161,17.1875,16.921133,16.78125,17.058698,17.058698,16.884922,16.884922,16.884922,16.947422,16.947422,16.746198,16.746198,16.746198,16.861276,16.861276,16.861276,16.910052,16.910052,16.910052,16.706185,16.706185,16.706185,17.089948,17.089948,16.797617,
364.5977,17.01727,17.024319,16.95148,17.215343,17.215343,16.986137,16.986137,16.986137,17.048637,17.048637,17.000117,17.000117,17.000117,16.576246,16.576246,16.576246,16.923637,16.923637,16.923637,16.725681,16.725681,16.725681,17.003407,17.003407,16.743069,
364.8792,16.681169,17.03125,17.104575,17.197713,17.197713,16.921569,16.921569,16.921569,17.245506,17.245506,16.827207,16.827207,16.827207,16.473856,16.473856,16.473856,17.172793,17.172793,17.172793,16.666463,16.666463,16.666463,16.838031,16.838031,17.063724,
365.1608,16.764812,16.891438,16.397977,17.578974,17.578974,17.0181,17.0181,17.0181,17.057551,17.057551,16.529588,16.529588,16.529588,16.664487,16.664487,16.664487,17.414487,17.414487,17.414487,16.264776,16.264776,16.264776,16.11344,16.11344,16.901301,
365.4424,16.811025,16.726127,16.401824,17.505901,17.505901,16.733503,16.733503,16.733503,16.644179,16.644179,16.827521,16.827521,16.827521,16.538627,16.538627,16.538627,17.645923,17.645923,17.645923,16.21875,16.21875,16.21875,16.418321,16.418321,16.875,
365.7239,16.62533,16.469411,16.563822,17.435187,17.435187,16.438161,16.438161,16.438161,16.251652,16.251652,17.15592,17.15592,17.15592,16.783233,16.783233,16.783233,17.497026,17.497026,17.497026,16.752644,16.752644,16.752644,16.782902,16.782902,16.782572,
366.0055,16.664768,16.552545,16.706666,17.203843,17.203843,16.525554,16.525554,16.525554,16.425416,16.425416,17.116482,17.116482,17.116482,16.987916,16.987916,16.987916,17.210232,17.210232,17.210232,17.00213,17.00213,17.00213,16.943889,16.943889,16.910509,
366.2870,16.773406,16.84375,16.972672,16.988233,16.988233,16.902456,16.902456,16.902456,16.707111,16.707111,16.9647,16.9647,16.9647,17.261767,17.261767,17.261767,17.113361,17.113361,17.113361,17.003794,17.003794,17.003794,17.03125,17.03125,16.960906,
366.5686,16.770127,16.855167,16.977166,16.90625,16.90625,17.082333,17.082333,17.082333,16.860876,16.860876,16.707333,16.707333,16.707333,17.309499,17.309499,17.309499,17.204332,17.204332,17.204332,16.755415,16.755415,16.755415,17.019833,17.019833,16.883416,
366.8502,17.082373,16.891273,16.837558,16.943692,16.943692,16.993808,16.993808,16.993808,16.877593,16.877593,16.678715,16.678715,16.678715,17.126296,17.126296,17.126296,16.880185,16.880185,16.880185,16.395162,16.395162,16.395162,16.938796,16.938796,16.721343,
367.1317,17.047367,16.93637,16.903989,17.099548,17.099548,16.810166,16.810166,16.810166,16.73381,16.73381,16.685166,16.685166,16.685166,17.012726,17.012726,17.012726,16.555572,16.555572,16.555572,16.034714,16.034714,16.034714,16.89006,16.89006,16.503464,
367.4133,16.354779,17.079046,17.2114,17.154413,17.154413,16.7886,16.7886,16.7886,16.887867,16.887867,16.575367,16.575367,16.575367,17.001837,17.001837,17.001837,16.852937,16.852937,16.852937,16.056983,16.056983,16.056983,16.955883,16.955883,16.503675,
367.6949,16.41337,16.84797,16.86643,16.95306,16.95306,17.03125,17.03125,17.03125,17.05828,17.05828,16.63067,16.63067,16.63067,17.03692,17.03692,17.03692,17.16904,17.16904,17.16904,16.24433,16.24433,16.24433,16.78547,16.78547,16.66337,
367.9764,16.497839,16.71875,16.893284,16.75,16.75,16.813083,16.813083,16.813083,17.114778,17.114778,16.550117,16.550117,16.550117,17.029089,17.029089,17.029089,17.1875,17.1875,17.1875,16.266706,16.266706,16.266706,16.612617,16.612617,16.747839,
368.2580,16.547543,16.800213,17.077457,16.570781,16.570781,16.432159,16.432159,16.432159,16.966079,16.966079,16.467415,16.467415,16.467415,16.915866,16.915866,16.915866,16.926818,16.926818,16.926818,16.298878,16.298878,16.298878,16.529915,16.529915,16.618324,
368.5395,16.544466,16.947138,16.882155,16.424284,16.424284,16.528914,16.528914,16.528914,16.942319,16.942319,16.473569,16.473569,16.473569,16.745181,16.745181,16.745181,16.615362,16.615362,16.615362,16.253578,16.253578,16.253578,16.572138,16.572138,16.46875,
368.8211,16.45217,17,16.73023,16.39796,16.39796,16.8852,16.8852,16.8852,16.96875,16.96875,16.32207,16.32207,16.32207,16.65944,16.65944,16.65944,16.66135,16.66135,16.66135,16.24681,16.24681,16.24681,16.70408,16.70408,16.44898,
369.1027,16.40625,16.935502,16.869245,16.332002,16.332002,16.978501,16.978501,16.978501,17.076246,17.076246,16.261748,16.261748,16.261748,16.560502,16.560502,16.560502,16.740249,16.740249,16.740249,16.324248,16.324248,16.324248,16.728501,16.728501,16.480498,
369.3842,17.102916,16.511473,16.891056,16.567944,16.567944,17.200972,17.200972,17.200972,16.823111,16.823111,16.420583,16.420583,16.420583,16.299028,16.299028,16.299028,16.494556,16.494556,16.494556,16.483083,16.483083,16.483083,16.834861,16.834861,16.662555,
369.6658,17.019545,16.624389,16.725367,16.955516,16.955516,17.131617,17.131617,17.131617,16.71875,16.71875,16.618383,16.618383,16.618383,16.493078,16.493078,16.493078,16.730455,16.730455,16.730455,16.855455,16.855455,16.855455,16.924878,16.924878,16.9432,
369.9473,16.9375,16.740799,16.660851,17.164496,17.164496,17.067101,17.067101,17.067101,16.692101,16.692101,16.789496,16.789496,16.789496,16.722396,16.722396,16.722396,17.212239,17.212239,17.212239,17.124045,17.124045,17.124045,17.124045,17.124045,17.079948,
370.2289,17.306095,16.66494,16.854724,16.875612,16.875612,17.232621,17.232621,17.232621,16.60244,16.60244,16.869207,16.869207,16.869207,16.438112,16.438112,16.438112,17.423017,17.423017,17.423017,17.212957,17.212957,17.212957,17.15625,17.15625,16.980336,
370.5105,17.193493,17.016866,17.32577,16.753596,16.753596,17.310103,17.310103,17.310103,17.164725,17.164725,16.754795,16.754795,16.754795,16.376199,16.376199,16.376199,17.527654,17.527654,17.527654,16.888185,16.888185,16.888185,17.096147,17.096147,16.938699,
370.7920,16.99162,17.276814,17.624014,16.999014,16.999014,17.2778,17.2778,17.2778,17.028293,17.028293,16.753943,16.753943,16.753943,16.6875,16.6875,16.6875,17.342271,17.342271,17.342271,16.907236,16.907236,16.907236,17.061514,17.061514,17.402307,
371.0736,16.46875,16.967329,17.558144,16.920076,16.920076,17.058144,17.058144,17.058144,16.835038,16.835038,17.004356,17.004356,17.004356,16.663541,16.663541,16.663541,17.243466,17.243466,17.243466,16.981818,16.981818,16.981818,17.004356,17.004356,17.136647,
371.3552,16.480321,16.619961,17.426717,16.741498,16.741498,17.019285,17.019285,17.019285,16.772748,16.772748,17.031644,17.031644,17.031644,16.413176,16.413176,16.413176,17.098395,17.098395,17.098395,17.183249,17.183249,17.183249,17.093356,17.093356,16.871143,
371.6367,16.551441,17.172584,16.91178,17.252183,17.252183,17.139661,17.139661,17.139661,17.095423,17.095423,16.790381,16.790381,16.790381,16.895191,16.895191,16.895191,16.68197,16.68197,16.68197,17.303114,17.303114,17.303114,17.3125,17.3125,16.83822,
371.9183,16.514393,16.798107,17.002266,17.692629,17.692629,17.026519,17.026519,17.026519,16.891659,16.891659,16.694696,16.694696,16.694696,16.78618,16.78618,16.78618,16.620269,16.620269,16.620269,16.889591,16.889591,16.889591,17.262126,17.262126,16.776519,
372.1998,16.571357,16.794283,17.139041,17.036938,17.036938,16.93282,16.93282,16.93282,17.244816,17.244816,16.754176,16.754176,16.754176,16.54061,16.54061,16.54061,16.464574,16.464574,16.464574,16.65157,16.65157,16.65157,17.076037,17.076037,16.62968,
372.4814,16.625282,16.895739,16.905968,16.719315,16.719315,17.084086,17.084086,17.084086,17.447728,17.447728,16.738642,16.738642,16.738642,16.437782,16.437782,16.437782,16.396022,16.396022,16.396022,16.624153,16.624153,16.624153,16.978696,16.978696,16.541478,
372.7630,16.723976,16.777729,16.795115,16.770797,16.770797,17.286476,17.286476,17.286476,17.272503,17.272503,16.421821,16.421821,16.421821,16.621588,16.621588,16.621588,16.534771,16.534771,16.534771,16.559088,16.559088,16.559088,16.911476,16.911476,16.560794,
373.0445,16.864054,16.707804,16.773953,16.504442,16.504442,17.34375,17.34375,17.34375,17.159105,17.159105,16.305203,16.305203,16.305203,16.660692,16.660692,16.660692,16.728902,16.728902,16.728902,16.653395,16.653395,16.653395,16.941149,16.941149,16.587247,
373.3261,16.96875,17.059483,17.044423,16.883648,16.883648,17.282004,17.282004,17.282004,17.559106,17.559106,16.668292,16.668292,16.668292,16.345259,16.345259,16.345259,16.765814,16.765814,16.765814,16.484941,16.484941,16.484941,16.829068,16.829068,16.546309,
373.6076,17.019948,17.039444,16.789217,17.315156,17.315156,17.116354,17.116354,17.116354,17.502429,17.502429,16.71276,16.71276,16.71276,16.781929,16.781929,16.781929,17.279047,17.279047,17.279047,16.966547,16.966547,16.966547,17.125453,17.125453,16.730278,
373.8892,17.137258,16.644294,16.574456,17.1875,17.1875,16.881734,16.881734,16.881734,17.181371,17.181371,16.406552,16.406552,16.406552,17.343448,17.343448,17.343448,17.494476,17.494476,17.494476,17.238044,17.238044,17.238044,17.157157,17.157157,16.787681,
374.1708,17.309341,16.612478,16.870262,17.268728,17.268728,16.821864,16.821864,16.821864,17.176557,17.176557,16.384364,16.384364,16.384364,17.325022,17.325022,17.325022,17.181295,17.181295,17.181295,16.942238,16.942238,16.942238,16.785988,16.785988,16.831228,
374.4523,17.396918,16.809677,16.683814,17.334418,17.334418,17.216359,17.216359,17.216359,16.968318,16.968318,16.493923,16.493923,16.493923,16.996314,16.996314,16.996314,16.984159,16.984159,16.984159,16.865668,16.865668,16.865668,16.819009,16.819009,16.896918,
374.7339,17.382727,17.039663,16.515453,17.296703,17.296703,17.51614,17.51614,17.51614,16.827953,16.827953,16.766483,16.766483,16.766483,16.616243,16.616243,16.616243,16.749313,16.749313,16.749313,17.133757,17.133757,17.133757,17.22785,17.22785,17.04739,
375.0155,17.400122,17.244485,16.927082,17.331495,17.331495,17.46201,17.46201,17.46201,16.787378,16.787378,16.818628,16.818628,16.818628,16.43076,16.43076,16.43076,16.813112,16.813112,16.813112,17.268995,17.268995,17.268995,17.34375,17.34375,17.143995,
