,Live Spectrum 26-10-2023 13:31:25,Live Spectrum 26-10-2023 13:31:27,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.5625,16.65625,16.65625,16.6875,16.09375,16.09375,16.78125,16.78125,17,17,17,17.34375,17.34375,17.34375,16.625,16.59375,16.59375,16.59375,17.125,17.125,17.125,
361.2189,16.76146,16.77934,16.77934,16.53316,16.53889,16.53889,16.48472,16.48472,17.06632,17.06632,17.06632,17.34566,17.34566,17.34566,16.75,16.550349,16.550349,16.550349,16.45347,16.45347,16.45347,
361.5005,16.941313,16.769067,16.769067,16.566313,16.637183,16.637183,16.23856,16.23856,17.117373,17.117373,17.117373,17.348307,17.348307,17.348307,16.734747,16.84375,16.84375,16.84375,16.26451,16.26451,16.26451,
361.7821,16.98017,16.8777,16.8777,16.633721,16.562811,16.562811,16.207641,16.207641,17.108181,17.108181,17.108181,17.15625,17.15625,17.15625,16.63642,16.8723,16.8723,16.8723,16.662271,16.662271,16.662271,
362.0636,16.993248,16.711998,16.711998,16.8049,16.912153,16.912153,16.498302,16.498302,17.297299,17.297299,17.297299,17.118248,17.118248,17.118248,16.649498,17,17,17,16.907948,16.907948,16.907948,
362.3452,16.856032,16.574782,16.574782,16.866606,17.191388,17.191388,16.791824,16.791824,17.278452,17.278452,17.278452,16.981032,16.981032,16.981032,16.502798,16.962064,16.962064,16.962064,16.652362,16.652362,16.652362,
362.6267,16.801139,16.485806,16.485806,17.0625,17.252861,17.252861,16.985806,16.985806,17.321028,17.321028,17.321028,16.960222,16.960222,16.960222,16.448861,16.806833,16.806833,16.806833,16.454556,16.454556,16.454556,
362.9083,16.662165,16.538567,16.538567,16.943415,17.080518,17.080518,16.853323,16.853323,17.188628,17.188628,17.188628,17.092622,17.092622,17.092622,16.257043,16.515488,16.515488,16.515488,16.61317,16.61317,16.61317,
363.1899,16.590574,16.597984,16.597984,16.871824,17.017213,17.017213,16.826537,16.826537,17.153074,17.153074,17.153074,17.097984,17.097984,17.097984,16.149899,16.477494,16.477494,16.477494,16.892213,16.892213,16.892213,
363.4714,16.941799,16.434843,16.434843,17.002657,16.934843,16.934843,17.010626,17.010626,17.266953,17.266953,17.266953,16.816171,16.816171,16.816171,16.767582,16.857033,16.857033,16.857033,16.860703,16.860703,16.860703,
363.7530,17.28788,16.425054,16.425054,17.012446,17.000272,17.000272,17.143804,17.143804,17.074402,17.074402,17.074402,16.649891,16.649891,16.649891,17.237826,17.037609,17.037609,17.037609,16.912609,16.912609,16.912609,
