,Live Spectrum 26-10-2023 13:29:46,Live Spectrum 26-10-2023 13:29:48,Live Spectrum 26-10-2023 13:29:49,Live Spectrum 26-10-2023 13:29:49,Live Spectrum 26-10-2023 13:29:49,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:50,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:51,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:52,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:53,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:54,Live Spectrum 26-10-2023 13:29:55,Live Spectrum 26-10-2023 13:29:55,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.4375,16.84375,16.6875,16.6875,16.34375,16.34375,16.625,16.625,16.78125,16.78125,16.78125,17.28125,17.28125,16.15625,16.15625,16.15625,16.5625,16.5625,16.3125,16.3125,15.9375,15.9375,15.9375,15.96875,15.96875,16.75,16.75,16.59375,
361.2189,16.95156,16.875,16.42795,16.42795,16.495489,16.495489,16.36736,16.36736,17.04653,17.04653,17.04653,16.87309,16.87309,16.16007,16.16007,16.16007,16.55868,16.55868,16.36927,16.36927,16.23212,16.23212,16.23212,16.274829,16.274829,16.5625,16.5625,16.46493,
361.5005,16.672247,16.871187,16.296503,16.296503,16.925317,16.925317,16.26144,16.26144,17.273623,17.273623,17.273623,16.847563,16.847563,16.226377,16.226377,16.226377,16.48856,16.48856,16.296503,16.296503,16.39174,16.39174,16.39174,16.66769,16.66769,16.535807,16.535807,16.410063,
361.7821,16.57392,16.792359,16.451931,16.451931,17.07392,17.07392,16.406561,16.406561,17.155939,17.155939,17.155939,16.914971,16.914971,16.26983,16.26983,16.26983,16.42338,16.42338,16.40625,16.40625,15.965428,15.965428,15.965428,16.77855,16.77855,16.383721,16.383721,16.488891,
362.0636,16.663002,16.5701,16.671451,16.671451,17.102199,17.102199,16.717901,16.717901,16.875,16.875,16.875,17.08615,17.08615,16.203549,16.203549,16.203549,16.545602,16.545602,16.429051,16.429051,15.561651,15.561651,15.561651,16.875849,16.875849,16.615702,16.615702,16.733951,
362.3452,16.752798,16.603234,16.804106,16.804106,16.993314,16.993314,16.8125,16.8125,16.808612,16.808612,16.808612,16.96766,16.96766,16.10883,16.10883,16.10883,16.6875,16.6875,16.556904,16.556904,15.864897,15.864897,15.864897,16.790734,16.790734,16.809702,16.809702,16.790734,
362.6267,16.732944,16.636361,17.045444,17.045444,16.838083,16.838083,16.755695,16.755695,16.690333,16.690333,16.690333,16.590945,16.590945,15.920472,15.920472,15.920472,16.732944,16.732944,16.732944,16.732944,16.480083,16.480083,16.480083,16.789778,16.789778,16.897722,16.897722,16.767056,
362.9083,16.958048,16.603323,16.847135,16.847135,16.705518,16.705518,16.695945,16.695945,16.525062,16.525062,16.525062,16.577133,16.577133,16.01942,16.01942,16.01942,16.746342,16.746342,16.666952,16.666952,16.533507,16.533507,16.533507,16.895548,16.895548,16.61994,16.61994,16.740427,
363.1899,17.15625,16.727494,16.559324,16.559324,16.627117,16.627117,16.734904,16.734904,16.384803,16.384803,16.384803,16.877117,16.877117,16.434324,16.434324,16.434324,16.626059,16.626059,16.438559,16.438559,16.356729,16.356729,16.356729,17.003176,17.003176,16.232787,16.232787,16.948362,
