,Live Spectrum 26-10-2023 13:32:31,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.90625,17.03125,17.09375,16.4375,16.4375,17.0625,17.0625,17.1875,17.1875,17.1875,16.84375,16.84375,16.96875,16.96875,16.96875,17.09375,17.09375,17.09375,17.1875,17.1875,16.375,16.375,16.375,16.65625,16.65625,16.96875,16.96875,16.96875,17.0625,
361.2189,16.539581,16.80295,16.76788,16.12882,16.12882,16.76597,16.76597,16.977081,16.977081,16.977081,16.77361,16.77361,16.96493,16.96493,16.96493,16.82205,16.82205,16.82205,16.883331,16.883331,16.34566,16.34566,16.34566,16.55486,16.55486,16.76979,16.76979,16.76979,17.09375,
361.5005,16.202753,16.637183,16.558687,16.22182,16.22182,16.54269,16.54269,16.609747,16.609747,16.609747,16.640997,16.640997,16.902437,16.902437,16.902437,17.00307,17.00307,17.00307,16.546503,16.546503,16.40932,16.40932,16.40932,16.433687,16.433687,16.601377,16.601377,16.601377,17.089937,
361.7821,16.398151,16.51713,16.565511,16.520141,16.520141,16.693521,16.693521,16.52855,16.52855,16.52855,16.54838,16.54838,16.86929,16.86929,16.86929,17.27284,17.27284,17.27284,16.6848,16.6848,16.719061,16.719061,16.719061,16.42909,16.42909,16.67909,16.67909,16.67909,17.08534,
362.0636,16.849653,16.608951,16.688349,16.658796,16.658796,17.106404,17.106404,16.671451,16.671451,16.671451,16.647801,16.647801,16.84375,16.84375,16.84375,17.321798,17.321798,17.321798,16.873302,16.873302,17.022801,17.022801,17.022801,16.53885,16.53885,16.796451,16.796451,16.796451,17.149498,
362.3452,17.071984,16.637282,16.631686,16.498292,16.498292,17.39008,17.39008,16.652362,16.652362,16.652362,16.775654,16.775654,16.834266,16.834266,16.834266,17.137282,17.137282,17.137282,17.024564,17.024564,17.065298,17.065298,17.065298,16.5625,16.5625,16.834266,16.834266,16.834266,17.021766,
362.6267,17.002861,16.536945,16.6165,16.928944,16.928944,17.224445,17.224445,16.454556,16.454556,16.454556,16.883528,16.883528,16.789778,16.789778,16.789778,17.230083,17.230083,17.230083,16.857972,16.857972,16.943195,16.943195,16.943195,16.585222,16.585222,16.8125,16.8125,16.8125,16.988639,
362.9083,16.804055,16.59628,16.463963,17.068415,17.068415,17.177927,17.177927,16.388232,16.388232,16.388232,16.84375,16.84375,16.82939,16.82939,16.82939,17.032105,17.032105,17.032105,16.851067,16.851067,16.711433,16.711433,16.711433,16.294208,16.294208,16.746342,16.746342,16.746342,16.796738,
363.1899,16.719809,16.70683,16.650957,16.996824,16.996824,17.280191,17.280191,16.40625,16.40625,16.40625,16.84375,16.84375,16.771447,16.771447,16.771447,16.588457,16.588457,16.588457,17.091633,17.091633,16.485963,16.485963,16.485963,15.994707,15.994707,16.701537,16.701537,16.701537,16.698362,
363.4714,16.721407,16.610703,17.032893,17.161563,17.161563,17.3125,17.3125,16.609689,16.609689,16.609689,16.979376,16.979376,16.525937,16.525937,16.525937,16.834766,16.834766,16.834766,17.003671,17.003671,16.38664,16.38664,16.38664,16.512269,16.512269,16.817813,16.817813,16.817813,16.911563,
363.7530,16.580761,16.643804,17.331576,17.181141,17.181141,17.368913,17.368913,16.743641,16.743641,16.743641,17.056141,17.056141,16.713206,16.713206,16.713206,16.887446,16.887446,16.887446,16.74337,16.74337,16.381359,16.381359,16.381359,16.962935,16.962935,16.987826,16.987826,16.987826,17.119185,
364.0346,16.551346,16.904037,17.323654,17.259494,17.259494,17.241059,17.241059,16.636154,16.636154,16.636154,17.175792,17.175792,16.895649,16.895649,16.895649,16.833702,16.833702,16.833702,16.305219,16.305219,16.530143,16.530143,16.530143,17.083149,17.083149,17.021202,17.021202,17.021202,16.702528,
364.3161,16.88608,17.143685,17.146328,17.267526,17.267526,17.088789,17.088789,16.571263,16.571263,16.571263,17.227513,17.227513,16.726354,16.726354,16.726354,16.767526,16.767526,16.767526,16.125,16.125,16.661211,16.661211,16.661211,17.048776,17.048776,16.865078,16.865078,16.865078,16.325065,
364.5977,16.732496,17.1875,16.850564,17.152726,17.152726,16.916589,16.916589,16.659774,16.659774,16.659774,17.097157,17.097157,16.729206,16.729206,16.729206,16.944548,16.944548,16.944548,16.197956,16.197956,16.882048,16.882048,16.882048,16.958294,16.958294,16.64227,16.64227,16.64227,16.183976,
364.8792,16.185663,17.082925,16.624388,17.046569,17.046569,16.848856,16.848856,16.635213,16.635213,16.635213,17.167075,17.167075,17.063724,17.063724,17.063724,17.261437,17.261437,17.261437,16.480187,16.480187,17.172793,17.172793,17.172793,16.963644,16.963644,16.567606,16.567606,16.567606,16.051675,
365.1608,16.317449,17.0625,16.761524,16.555889,16.555889,16.480239,16.480239,17.072398,17.072398,17.072398,17.019726,17.019726,17.152962,17.152962,17.152962,16.948989,16.948989,16.948989,17.034573,17.034573,16.799314,16.799314,16.799314,16.8569,16.8569,17.121748,17.121748,17.121748,16.394761,
365.4424,16.641497,17.002951,16.721701,16.559549,16.559549,16.526824,16.526824,17.035676,17.035676,17.035676,16.970225,16.970225,16.858503,16.858503,16.858503,16.90625,16.90625,16.90625,16.766229,16.766229,16.869099,16.869099,16.869099,16.992623,16.992623,16.859979,16.859979,16.859979,16.497049,
365.7239,16.99967,16.905589,16.685848,16.68783,16.68783,16.685517,16.685517,16.970402,16.970402,16.970402,16.969741,16.969741,16.46842,16.46842,16.46842,16.843089,16.843089,16.843089,16.279598,16.279598,16.904598,16.904598,16.904598,17.126322,17.126322,16.721394,16.721394,16.721394,16.533894,
366.0055,16.947455,16.852268,16.526991,16.72088,16.72088,16.485093,16.485093,17.097316,17.097316,17.097316,17.056111,17.056111,16.43963,16.43963,16.43963,16.806804,16.806804,16.806804,16.131389,16.131389,16.735093,16.735093,16.735093,17.235093,17.235093,16.951714,16.951714,16.951714,16.794027,
366.2870,16.660172,16.972672,16.50405,16.738233,16.738233,16.285172,16.285172,16.671683,16.671683,16.671683,16.960906,16.960906,16.472672,16.472672,16.472672,17.164094,17.164094,17.164094,16.242283,16.242283,16.511639,16.511639,16.511639,16.999872,16.999872,16.671683,16.671683,16.671683,16.953061,
366.5686,16.761711,17.03996,16.727166,16.679084,16.679084,16.363877,16.363877,16.355167,16.355167,16.355167,16.832039,16.832039,16.471457,16.471457,16.471457,17.207333,17.207333,17.207333,16.44621,16.44621,16.41496,16.41496,16.41496,16.74129,16.74129,16.389418,16.389418,16.389418,16.866584,
366.8502,17.153657,17.241215,16.677419,16.796227,16.796227,16.623704,16.623704,16.541042,16.541042,16.541042,16.425116,16.425116,16.283843,16.283843,16.283843,17.163738,17.163738,17.163738,16.632488,16.632488,16.586262,16.586262,16.586262,16.517569,16.517569,16.698588,16.698588,16.698588,16.946285,
