,Live Spectrum 26-10-2023 13:33:34,Live Spectrum 26-10-2023 13:33:35,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:44,Live Spectrum 26-10-2023 13:33:44,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,15.90625,16.65625,16.90625,16.90625,16.125,16.125,16.4375,16.4375,16.4375,16.875,16.875,16.875,16.90625,16.90625,16.90625,17.1875,17.1875,17.1875,16.34375,16.125,16.125,16.21875,16.21875,16.25,16.25,16.25,16,16,16.8125,16.8125,16.8125,16.84375,16.84375,16.5,16.5,16.5,16.9375,
361.2189,15.95087,16.71302,16.68559,16.68559,16.19514,16.19514,16.20538,16.20538,16.20538,16.40052,16.40052,16.40052,16.43177,16.43177,16.43177,16.98472,16.98472,16.98472,16.32778,16.1033,16.1033,16.28698,16.28698,16.36927,16.36927,16.36927,15.96684,15.96684,16.83229,16.83229,16.83229,16.59375,16.59375,16.16962,16.16962,16.16962,16.70278,
361.5005,16.163877,16.598307,16.660063,16.660063,16.316313,16.316313,16.030506,16.030506,16.030506,16.339193,16.339193,16.339193,16.36663,16.36663,16.36663,16.769067,16.769067,16.769067,16.543433,16.253813,16.253813,16.36356,16.36356,16.25837,16.25837,16.25837,15.952753,15.952753,16.65625,16.65625,16.65625,16.574683,16.574683,16.367373,16.367373,16.367373,16.94894,
361.7821,16.24159,16.42909,16.68179,16.68179,16.33233,16.33233,16.289971,16.289971,16.289971,16.51983,16.51983,16.51983,16.571221,16.571221,16.571221,16.90054,16.90054,16.90054,16.446221,16.28125,16.28125,16.2527,16.2527,16.0652,16.0652,16.0652,16.07392,16.07392,16.66196,16.66196,16.66196,16.511731,16.511731,16.32963,16.32963,16.32963,16.996989,
362.0636,16.35135,16.53125,16.686651,16.686651,16.258449,16.258449,16.491551,16.491551,16.491551,16.423148,16.423148,16.423148,16.658796,16.658796,16.658796,16.8826,16.8826,16.8826,16.602199,16.334452,16.334452,16.155401,16.155401,15.9451,15.9451,15.9451,16.155401,16.155401,16.710301,16.710301,16.710301,16.881752,16.881752,16.459452,16.459452,16.459452,16.729745,
362.3452,16.375,16.607122,16.838154,16.838154,16.168532,16.168532,16.5625,16.5625,16.5625,16.395058,16.395058,16.395058,16.384484,16.384484,16.384484,16.85883,16.85883,16.85883,16.53125,16.613808,16.613808,16.363808,16.363808,15.997202,15.997202,15.997202,16.240516,16.240516,16.809702,16.809702,16.809702,17.085356,17.085356,16.700872,16.700872,16.700872,16.412936,
362.6267,16.363639,16.838055,16.923306,16.923306,16.090917,16.090917,16.630667,16.630667,16.630667,16.769861,16.769861,16.769861,16.451694,16.451694,16.451694,16.727278,16.727278,16.727278,16.53125,16.943167,16.943167,16.715889,16.715889,16.085222,16.085222,16.085222,16.252833,16.252833,16.897722,16.897722,16.897722,17.28125,17.28125,16.897722,16.897722,16.897722,16.613611,
362.9083,16.396677,16.963963,16.856982,16.856982,16.19003,16.19003,16.657378,16.657378,16.657378,17.034908,17.034908,17.034908,16.544482,16.544482,16.544482,16.674268,16.674268,16.674268,16.332775,16.98311,16.98311,16.79561,16.79561,16.270548,16.270548,16.270548,16.590365,16.590365,16.897805,16.897805,16.897805,17.228323,17.228323,17.003658,17.003658,17.003658,16.825732,
363.1899,16.498941,16.89433,16.890096,16.890096,16.376059,16.376059,16.561441,16.561441,16.561441,17.064617,17.064617,17.064617,16.607787,16.607787,16.607787,16.626059,16.626059,16.626059,16.288936,16.920287,16.920287,16.672404,16.672404,16.453654,16.453654,16.453654,16.96875,16.96875,16.73808,16.73808,16.73808,17.141154,17.141154,17.033367,17.033367,17.033367,16.768271,
363.4714,16.446484,16.73039,17.075783,17.075783,16.275937,16.275937,16.610703,16.610703,16.610703,16.745701,16.745701,16.745701,16.791876,16.791876,16.791876,16.610703,16.610703,16.610703,16.53125,16.96875,16.96875,16.60539,16.60539,16.674846,16.674846,16.674846,16.934843,16.934843,16.421561,16.421561,16.421561,17.006327,17.006327,16.86703,16.86703,16.86703,16.551874,
363.7530,16.356196,16.668696,17.105924,17.105924,16.124728,16.124728,16.700217,16.700217,16.700217,16.512446,16.512446,16.512446,16.943859,16.943859,16.943859,16.530978,16.530978,16.530978,16.437228,17.043967,17.043967,16.43087,16.43087,16.950217,16.950217,16.950217,16.943859,16.943859,16.287609,16.287609,16.287609,16.868641,16.868641,16.762446,16.762446,16.762446,16.456304,
364.0346,16.405697,16.614952,17.03125,17.03125,16.310287,16.310287,16.791298,16.791298,16.791298,16.417404,16.417404,16.417404,16.886154,16.886154,16.886154,16.406803,16.406803,16.406803,16.395649,17.073101,17.073101,16.240506,16.240506,17.082596,17.082596,17.082596,16.948101,16.948101,16.518989,16.518989,16.518989,16.823101,16.823101,16.770649,16.770649,16.770649,16.571994,
364.3161,16.459987,16.751159,16.896328,16.896328,16.482474,16.482474,16.879961,16.879961,16.879961,16.464948,16.464948,16.464948,16.84375,16.84375,16.84375,16.285052,16.285052,16.285052,16.608633,16.995039,16.995039,16.41237,16.41237,17.012565,17.012565,17.012565,17.027448,17.027448,16.804896,16.804896,16.804896,16.902448,16.902448,16.893685,16.893685,16.893685,16.692461,
364.5977,16.590343,17.007048,16.989661,16.989661,16.475681,16.475681,17.003524,17.003524,17.003524,16.645911,16.645911,16.645911,16.868069,16.868069,16.868069,16.25,16.25,16.25,16.565907,16.920113,16.920113,16.5,16.5,16.920113,16.920113,16.920113,16.965226,16.965226,16.875,16.875,16.875,16.791589,16.791589,16.986137,16.986137,16.986137,16.767387,
364.8792,16.677287,17.297793,17.188112,17.188112,16.416463,16.416463,17.057394,17.057394,17.057394,16.922793,16.922793,16.922793,16.927287,16.927287,16.927287,16.066994,16.066994,16.066994,16.269813,16.958537,16.958537,16.160132,16.160132,16.827819,16.827819,16.827819,17.042075,17.042075,16.718138,16.718138,16.718138,16.854575,16.854575,17.052287,17.052287,17.052287,16.833537,
365.1608,16.156214,16.560803,16.603577,16.603577,16.629949,16.629949,16.698989,16.698989,16.698989,16.800976,16.800976,16.800976,16.909538,16.909538,16.909538,15.891438,15.891438,15.891438,17.02966,16.828938,16.828938,16.652998,16.652998,16.784538,16.784538,16.784538,17.118425,17.118425,16.296026,16.296026,16.296026,17.014812,17.014812,16.447327,16.447327,16.447327,16.84375,
365.4424,16.361722,16.558074,16.561025,16.561025,16.447827,16.447827,16.775349,16.775349,16.775349,16.930123,16.930123,16.930123,16.965799,16.965799,16.965799,16.113197,16.113197,16.113197,17.095225,16.8125,16.8125,17.016497,17.016497,16.453729,16.453729,16.453729,16.767704,16.767704,16.398873,16.398873,16.398873,17.090799,17.090799,16.523873,16.523873,16.523873,16.784201,
365.7239,16.845072,16.592428,16.657902,16.657902,16.186509,16.186509,16.594741,16.594741,16.594741,16.813822,16.813822,16.813822,16.966437,16.966437,16.966437,16.219741,16.219741,16.219741,16.905589,16.782572,16.782572,17.155259,17.155259,16.625661,16.625661,16.625661,16.781911,16.781911,16.714454,16.714454,16.714454,17.188161,17.188161,16.71842,16.71842,16.71842,16.685848,
