,Live Spectrum 26-10-2023 13:34:48,Live Spectrum 26-10-2023 13:34:50,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:52,Live Spectrum 26-10-2023 13:34:52,Live Spectrum 26-10-2023 13:34:53,Live Spectrum 26-10-2023 13:34:53,Live Spectrum 26-10-2023 13:34:54,Live Spectrum 26-10-2023 13:34:54,Live Spectrum 26-10-2023 13:34:55,Live Spectrum 26-10-2023 13:34:55,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:57,Live Spectrum 26-10-2023 13:34:57,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.78125,17.0625,17.0625,16.5625,16.5,16.5,16.75,16.78125,16.59375,17.375,17.375,16.34375,16.59375,16.84375,16.0625,16.34375,16.34375,16.5625,
361.2189,16.385241,17.02743,17.06823,16.5625,16.313191,16.313191,16.66962,16.55295,16.82587,17.11736,17.11736,16.48403,16.166491,16.84184,16.1658,16.44132,16.44132,16.42413,
361.5005,16.077753,16.95731,17.148623,16.5625,15.851377,15.851377,16.855933,16.402437,17.023623,16.969494,16.969494,16.734003,15.847563,16.781994,16.339193,16.5,16.5,16.23019,
361.7821,16.244601,16.88071,17.036649,16.57963,16.014742,16.014742,16.7473,16.40355,16.923069,16.73858,16.73858,16.900851,15.960651,16.499689,16.50841,16.534261,16.534261,16.352471,
362.0636,16.5076,16.91385,16.826852,16.671451,16.591204,16.591204,16.890201,16.554051,16.673148,16.657099,16.657099,17.133449,16.419753,16.256752,16.40625,16.740702,16.740702,16.576852,
362.3452,16.493314,16.909048,16.978234,16.737718,16.856032,16.856032,16.994404,16.691388,16.502798,16.581468,16.581468,17.081468,16.741606,16.498292,16.396766,16.915734,16.915734,16.699782,
362.6267,16.338083,16.900555,17.068167,16.758528,16.778417,16.778417,17.113639,16.764222,16.448861,16.670444,16.670444,17.113639,16.926139,16.860778,16.352278,16.971583,16.971583,16.610806,
362.9083,16.179055,17.145548,17.002257,16.745213,16.692287,16.692287,16.987897,16.70439,16.495213,16.961707,16.961707,16.829117,16.893018,16.814757,16.246342,16.885702,16.885702,16.584177,
363.1899,16.306149,17.177697,16.689617,16.856729,16.610963,16.610963,16.84375,16.752117,16.652016,17.370766,17.370766,16.514037,16.890096,16.622883,16.141154,16.883744,16.883744,16.671346,
363.4714,16.686486,16.881327,16.591093,17.073126,16.579453,16.579453,16.928516,16.73836,16.798203,17.330467,17.330467,16.61336,16.80453,16.63664,16.22672,17.14461,17.14461,16.568827,
363.7530,16.862554,16.950489,16.393261,17.131087,16.556141,16.556141,17.094022,16.762446,16.662065,16.811414,16.811414,16.78788,16.756359,16.518533,16.406522,17.037065,17.037065,16.20549,
364.0346,16.668511,17.0625,16.425792,16.928559,16.489952,16.489952,16.949761,16.956489,16.314713,16.356011,16.356011,16.875,16.78125,16.510048,16.695888,16.875553,16.875553,15.948654,
364.3161,16.540013,16.747683,16.612435,16.708828,16.491237,16.491237,16.888724,16.995039,16.075065,16.47487,16.47487,16.897487,16.758763,16.441302,16.902448,16.978672,16.978672,16.176093,
364.5977,16.604206,16.576363,16.82648,16.65625,16.451363,16.451363,16.492835,16.871476,16.225798,16.757048,16.757048,16.954887,16.701363,16.284657,16.961819,16.958294,16.958294,16.427161,
364.8792,16.860293,16.876224,17.005719,16.630106,16.542075,16.542075,16.191994,16.765319,16.411969,16.917075,16.917075,16.7596,16.582925,16.328431,16.655026,16.519201,16.519201,16.46875,
365.1608,16.654588,16.9375,16.527927,16.205564,16.143064,16.143064,16.687536,16.134827,16.213801,16.462139,16.462139,17.52966,16.143064,17.15466,16.845412,16.856936,16.856936,16.496712,
365.4424,16.625,17.026824,16.766497,16.215799,16.421271,16.421271,16.898873,16.300697,16.276824,16.584898,16.584898,17.297479,16.421271,17.011803,16.726127,16.787151,16.787151,16.291577,
365.7239,16.688822,17.06283,16.622687,16.532902,16.8125,16.8125,16.875991,16.688822,16.15658,16.68717,16.68717,16.78125,16.71875,16.559856,16.095733,16.779598,16.779598,16.3125,
366.0055,16.816759,17.100139,16.40412,16.696018,16.803982,16.803982,16.973009,16.8125,16.208795,16.649861,16.649861,16.789768,16.710232,16.31463,16.304675,16.644166,16.644166,16.316759,
366.2870,16.886767,17.183578,16.422067,16.816422,16.663967,16.663967,17.046939,16.832111,16.5,16.542889,16.542889,16.949394,16.554528,16.386894,16.640689,16.910172,16.910172,16.351467,
366.5686,16.934499,17.133416,16.795668,16.872293,16.517126,16.517126,17.167667,16.997293,16.522834,16.394833,16.394833,17.227166,16.28125,16.670374,16.755709,16.943209,16.943209,16.216043,
366.8502,16.826181,17.016273,16.917627,17.029954,16.623704,16.623704,17.21875,17.177419,16.617512,16.336262,16.336262,17.087558,16.28125,16.646169,16.676412,16.96875,16.96875,16.298819,
367.1317,16.940964,16.87613,16.600678,16.967547,16.820632,16.820632,17.246536,17.084415,16.714156,16.155047,16.155047,17.033584,16.244202,16.738404,16.575299,16.783511,16.783511,16.20256,
367.4133,16.830883,16.722425,16.46875,16.450371,17.084558,17.084558,17.235296,16.534925,16.988971,15.869483,15.869483,17.154413,16.244483,16.518383,16.959563,16.354779,16.354779,16.356617,
367.6949,16.60931,16.88212,16.54549,16.11076,17.11221,17.11221,16.88911,16.74578,17.01991,16.01846,16.01846,16.95306,16.43183,16.36076,16.68183,16.38779,16.38779,16.47587,
367.9764,16.478972,16.922956,16.670794,16.1309,17.122839,17.122839,16.608294,16.904089,17.064661,16.145445,16.145445,16.706367,16.483294,16.279089,16.791472,16.508061,16.508061,16.560339,
368.2580,16.627671,16.612983,16.720085,16.444176,17.009616,17.009616,16.462074,16.774574,16.933494,16.491719,16.491719,16.737713,16.385952,16.540597,16.760952,16.722756,16.722756,16.59375,
368.5395,16.813741,16.145371,16.786069,16.521612,16.784828,16.784828,16.402672,16.534828,16.789647,16.638216,16.638216,16.794466,16.227147,16.894276,16.566078,16.758397,16.758397,16.575716,
368.8211,16.76786,15.90115,16.89158,16.66645,16.65944,16.65944,16.40944,16.46875,16.63138,16.34822,16.34822,16.66263,16.06888,17,16.22322,16.73852,16.73852,16.52296,
369.1027,16.429509,15.822251,16.958999,17.06074,16.539003,16.539003,16.353501,16.382753,16.412005,16.037005,16.037005,16.443255,16.150495,17.042998,16.320491,16.771499,16.771499,16.478501,
369.3842,16.823388,16.671721,16.782972,16.839167,16.569667,16.569667,16.76175,16.808194,16.483083,16.688638,16.688638,16.885888,16.822527,17.108944,16.948388,16.618695,16.618695,16.817083,
369.6658,17.124694,16.893933,16.768628,16.693811,16.743383,16.743383,16.532167,16.844056,16.930272,16.762928,16.762928,16.862989,16.931495,17.100061,17.249694,16.687194,16.687194,16.762928,
369.9473,17.076302,16.875,16.541407,16.634201,16.994444,16.994444,16.464149,16.839149,16.924653,16.798698,16.798698,16.679254,16.959549,16.933854,17.254601,17.038541,17.038541,16.585504,
370.2289,16.637199,16.988414,16.41494,16.625,16.691009,16.691009,16.695577,16.985517,16.566009,17.010974,17.010974,16.769664,16.713569,16.82119,17.221647,17.150457,17.150457,16.590853,
370.5105,16.744007,17.060103,16.376199,16.625,16.626199,16.626199,17.16952,17.601027,16.591353,17.03125,17.03125,16.901455,16.6875,16.722346,17.068493,17.066096,17.066096,16.774058,
370.7920,17.317922,17.217271,16.312007,16.779771,17.089807,17.089807,17.115142,17.716285,16.898856,16.92912,16.92912,16.999507,16.813979,16.625,16.7778,16.9028,16.9028,16.564965,
371.0736,17.64536,17.120644,16.285606,16.6875,16.826326,16.826326,16.467329,17.540719,16.407007,16.399716,16.399716,16.95786,16.921496,16.629356,16.549432,16.694034,16.694034,16.703504,
371.3552,17.442145,17.016216,16.390034,16.710642,16.562894,16.562894,16.038964,17.207573,16.107996,16.335642,16.335642,16.77393,17.074859,16.722213,16.382714,16.773536,16.773536,16.546284,
371.6367,17.009131,16.704089,16.707691,16.841822,16.34928,16.34928,16.160107,16.922839,16.902649,16.50553,16.50553,16.511059,16.72428,16.957691,16.4375,16.729809,16.729809,16.863941,
371.9183,16.819895,16.788446,16.65625,16.658715,16.360607,16.360607,16.533516,17.035981,16.988072,16.617605,16.617605,16.569696,16.699626,16.870269,16.430304,16.78125,16.78125,16.862874,
372.1998,16.55782,16.8125,16.585397,16.61564,16.330213,16.330213,16.741143,17.173963,16.728614,16.90625,16.90625,16.611463,16.55782,16.69686,16.45939,16.790107,16.790107,16.986967,
372.4814,16.561935,16.8125,16.427272,16.707957,16.364489,16.364489,16.519045,16.95598,16.500565,16.843185,16.843185,16.65625,16.656532,16.594032,16.59375,16.844032,16.844032,16.896022,
372.7630,16.449659,16.836818,16.493068,16.527729,16.34375,16.34375,16.125,16.388865,16.685794,16.706591,16.706591,16.644091,16.694432,16.65625,16.569432,16.90625,16.90625,17.010453,
373.0445,16.316942,16.999206,16.558851,16.250794,16.302348,16.302348,16.069797,16.353902,16.57424,16.701301,16.701301,16.583598,16.435439,16.65625,16.489848,16.878649,16.878649,17.207804,
373.3261,16.047818,17.248869,16.59375,16.047441,16.265436,16.265436,16.154364,16.498869,16.127263,16.765059,16.765059,16.577559,15.971013,16.532759,16.375754,16.920932,16.920932,17.405119,
373.6076,16.548995,17.019496,16.559618,16.08533,16.178854,16.178854,16.790349,16.542552,16.415349,16.693038,16.693038,17.000453,16.395627,16.952363,16.602622,16.812274,16.812274,17.022151,
373.8892,16.881734,16.693931,16.381734,16.100181,16.205887,16.205887,16.963226,16.742964,16.625605,16.518992,16.518992,16.882641,16.794113,17.181976,16.82506,16.618871,16.618871,16.568931,
374.1708,16.720329,16.554716,16.220329,16.001579,16.484319,16.484319,16.568817,17.210853,16.398466,16.448443,16.448443,16.370374,16.535988,16.889102,16.710966,16.553136,16.553136,16.632784,
374.4523,16.599827,16.434246,16.1875,15.946832,16.681423,16.681423,16.284073,17.309246,16.387586,16.590927,16.590927,16.469182,16.371746,16.856336,16.65625,16.575086,16.575086,16.862845,
374.7339,16.609547,16.453297,16.446257,16.196257,16.554087,16.554087,16.312843,17.06954,16.500343,16.703297,16.703297,16.77421,16.367273,17.15728,16.58568,16.970123,16.970123,17.266827,
375.0155,16.625,16.56924,16.606617,16.38174,16.349265,16.349265,16.645219,16.673408,16.63174,16.794117,16.794117,16.64277,16.375,17.325367,16.46201,17.143995,17.143995,17.425245,
375.2970,16.705146,16.486888,16.91887,16.646689,16.365931,16.365931,16.879043,16.754043,16.576104,16.785785,16.785785,16.353311,16.562008,17.130026,16.571077,17.102819,17.102819,17.170345,
375.5786,16.548935,16.610262,16.96875,16.91392,16.318395,16.318395,17.01946,16.89446,16.534198,16.78125,16.78125,16.482315,16.48054,16.754121,16.537145,16.725818,16.725818,16.89858,
375.8601,16.591017,16.89395,16.908983,16.399599,16.521684,16.521684,16.314049,16.697066,15.814049,16.990434,16.990434,16.858601,16.438867,17.525601,16.6209,17.673652,17.673652,16.755466,
376.1417,16.531666,16.778959,17.062708,16.751666,16.532708,16.532708,16.47229,16.653543,16.221665,17.030209,17.030209,16.905417,16.532708,17.498959,16.594583,17.061875,17.061875,16.813541,
376.4233,16.59908,16.4375,17.095527,17.023099,16.75533,16.75533,17.003554,16.260661,16.665134,16.86967,16.86967,16.770589,16.74467,17.336643,16.725857,16.990072,16.990072,16.97408,
376.7048,16.697518,16.447518,17.094945,17.392892,16.867126,16.867126,17.042464,16.447518,16.795803,16.734498,16.734498,16.590411,16.636214,17.171998,16.840411,17.340411,17.340411,17.039124,
376.9864,16.820418,16.550834,16.838854,17.271458,17.033124,17.033124,16.855416,16.570418,16.646458,16.34375,16.34375,16.572292,16.463854,16.751874,16.783124,17.248853,17.248853,16.81927,
377.2679,17.037697,16.63691,16.8125,17.19941,16.836321,16.836321,16.737107,16.774803,16.606643,16.36309,16.36309,16.60566,16.469733,16.658215,16.599214,16.92559,16.92559,16.635928,
377.5495,17.0625,16.530536,16.892411,17.156964,16.639553,16.639553,16.743438,16.757991,16.680223,16.445491,16.445491,16.53125,16.609732,16.938214,16.444062,17.087902,17.087902,16.373571,
377.8311,16.986262,16.637624,16.839109,17.087995,16.585767,16.585767,16.877661,16.838428,16.587995,16.525928,16.525928,16.731374,16.818255,17.069369,16.433725,17.33422,17.33422,16.339975,
378.1126,16.768251,17.038438,16.397685,16.90681,16.648502,16.648502,16.823562,16.957688,16.285124,16.634125,16.634125,17.010502,17.110064,17.034564,16.803375,17.246126,17.246126,16.742812,
