,Live Spectrum 26-10-2023 13:37:32,Live Spectrum 26-10-2023 13:37:33,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:36,Live Spectrum 26-10-2023 13:37:36,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.15625,17.09375,16.84375,16.5,16.5,16.4375,16.4375,16.4375,16.9375,16.9375,16.9375,16.65625,16.65625,16.65625,
361.2189,16.883331,16.86736,16.67413,16.40052,16.40052,16.49427,16.49427,16.49427,16.94132,16.94132,16.94132,16.59184,16.59184,16.59184,
361.5005,16.55413,16.734747,16.44587,16.316313,16.316313,16.40625,16.40625,16.40625,17.003813,17.003813,17.003813,16.547247,16.547247,16.547247,
361.7821,16.770141,16.61358,16.384032,16.429401,16.429401,16.38912,16.38912,16.38912,17.01983,17.01983,17.01983,16.483181,16.483181,16.483181,
362.0636,17,16.5549,16.874151,16.835301,16.835301,16.365702,16.365702,16.365702,16.96115,16.96115,16.96115,16.748302,16.748302,16.748302,
362.3452,16.962064,16.540734,16.978234,16.95367,16.95367,16.521766,16.521766,16.521766,17.051308,17.051308,17.051308,16.994404,16.994404,16.994404,
362.6267,16.77275,16.539778,17,17.0625,17.0625,16.511361,16.511361,16.511361,17.369305,17.369305,17.369305,17.170444,17.170444,17.170444,
362.9083,16.845152,16.65878,16.775062,16.969878,16.969878,16.438628,16.438628,16.438628,17.23058,17.23058,17.23058,16.998598,16.998598,16.998598,
363.1899,17.066734,16.799521,16.514037,16.828654,16.828654,16.342691,16.342691,16.342691,16.966633,16.966633,16.966633,16.731729,16.731729,16.731729,
363.4714,16.717107,16.583124,16.596407,16.846407,16.846407,16.510626,16.510626,16.510626,16.844764,16.844764,16.844764,16.795547,16.795547,16.795547,
363.7530,16.324402,16.562772,16.719022,16.856196,16.856196,16.700217,16.700217,16.700217,16.6875,16.6875,16.6875,16.743641,16.743641,16.743641,
364.0346,16.290744,16.790191,16.863846,16.84375,16.84375,16.729351,16.729351,16.729351,16.666851,16.666851,16.666851,16.615506,16.615506,16.615506,
364.3161,16.658567,16.897487,16.996198,16.821263,16.821263,16.606315,16.606315,16.606315,16.65625,16.65625,16.65625,16.629961,16.629961,16.629961,
364.5977,16.975798,16.954887,17.03125,16.447722,16.447722,16.465226,16.465226,16.465226,16.65625,16.65625,16.65625,16.899436,16.899436,16.899436,
364.8792,17.109681,16.96875,17.083537,16.526756,16.526756,16.280638,16.280638,16.280638,16.603963,16.603963,16.603963,17.099469,17.099469,17.099469,
365.1608,16.929263,16.940788,17.121712,16.646387,16.646387,16.613511,16.613511,16.613511,16.034502,16.034502,16.034502,17.180925,17.180925,17.180925,
365.4424,16.876475,17.026824,17.005901,16.477602,16.477602,16.507377,16.507377,16.507377,16.177173,16.177173,16.177173,17.068401,17.068401,17.068401,
365.7239,16.810848,17.060517,16.998017,16.722054,16.722054,16.53125,16.53125,16.53125,16.564813,16.564813,16.564813,17.125,17.125,17.125,
366.0055,16.664768,16.855834,16.803982,17.039768,17.039768,16.53125,16.53125,16.53125,16.77912,16.77912,16.77912,17.12287,17.12287,17.12287,
366.2870,16.789094,16.585906,16.679656,17.117028,17.117028,16.543017,16.543017,16.543017,16.734311,16.734311,16.734311,17.085906,17.085906,17.085906,
