,Live Spectrum 26-10-2023 13:38:20,Live Spectrum 26-10-2023 13:38:23,Live Spectrum 26-10-2023 13:38:23,Live Spectrum 26-10-2023 13:38:24,Live Spectrum 26-10-2023 13:38:25,Live Spectrum 26-10-2023 13:38:25,Live Spectrum 26-10-2023 13:38:26,Live Spectrum 26-10-2023 13:38:26,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:29,Live Spectrum 26-10-2023 13:38:29,Live Spectrum 26-10-2023 13:38:32,Live Spectrum 26-10-2023 13:38:32,Live Spectrum 26-10-2023 13:38:32,Live Spectrum 26-10-2023 13:38:33,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.5,16.40625,16.6875,16.53125,16.75,15.96875,16.75,16.34375,16.34375,16.71875,16.71875,16.71875,16.75,16.40625,16.40625,16.40625,16.78125,16.78125,16.6875,16.6875,16.6875,17.1875,
361.2189,17.127601,16.40052,16.63264,16.72639,16.81632,16.054169,16.6033,16.269099,16.269099,16.74618,16.74618,16.74618,16.59757,16.25191,16.25191,16.25191,16.39479,16.39479,16.78316,16.78316,16.78316,17.199651,
361.5005,16.695127,16.316313,16.742373,16.828497,16.859747,16.436756,16.77288,16.581567,16.581567,16.69894,16.69894,16.69894,16.65625,16.296503,16.296503,16.296503,16.256883,16.256883,16.8125,16.8125,16.8125,16.852864,
361.7821,16.77855,16.417981,16.65895,16.7473,16.681479,16.759032,16.95463,16.667359,16.667359,16.77554,16.77554,16.77554,16.67338,16.509032,16.509032,16.509032,16.605481,16.605481,16.81821,16.81821,16.81821,16.503011,
362.0636,16.936651,16.734799,16.546451,16.981404,16.397801,17.21875,17.084452,16.353897,16.353897,16.75,16.75,16.75,16.734799,16.97635,16.97635,16.97635,16.967901,16.967901,16.84375,16.84375,16.84375,16.770255,
362.3452,16.917442,16.678016,16.717042,17.255596,16.449782,17.17133,17.193096,16.23601,16.23601,16.787936,16.787936,16.787936,16.6875,16.95258,16.95258,16.95258,17.01508,17.01508,16.89117,16.89117,16.89117,17.134484,
362.6267,16.622167,16.644889,17.056805,16.863695,16.40625,17.028417,17.096583,16.801083,16.801083,16.909083,16.909083,16.909083,16.630695,16.798306,16.798306,16.798306,16.826722,16.826722,17.011361,17.011361,17.011361,17.076722,
362.9083,16.602195,16.70439,17.103323,16.789968,16.393018,16.796738,17.090092,17.258445,17.258445,16.80997,16.80997,16.80997,16.45186,16.679055,16.679055,16.679055,16.52872,16.52872,16.991555,16.991555,16.991555,16.646403,
363.1899,16.716633,16.631351,16.940676,17.237021,16.390096,16.577596,17,17.221926,17.221926,16.654133,16.654133,16.654133,16.419229,16.685383,16.685383,16.685383,16.3125,16.3125,16.952596,16.952596,16.952596,16.400957,
363.4714,16.798203,16.48836,16.877657,17.071484,16.45711,16.627657,16.94914,17.07414,17.07414,16.752657,16.752657,16.752657,16.533907,16.902579,16.902579,16.902579,16.397266,16.397266,16.91789,16.91789,16.91789,16.765939,
363.7530,16.54924,16.738098,16.925054,16.943587,16.405978,16.769076,16.755815,16.918424,16.918424,16.668424,16.668424,16.668424,16.581304,17.050054,17.050054,17.050054,16.46875,16.46875,16.837391,16.837391,16.837391,17.050326,
364.0346,16.519542,16.854351,16.875553,16.823654,16.385048,16.699208,15.954188,16.719857,16.719857,16.573101,16.573101,16.573101,16.59375,16.917958,16.917958,16.917958,16.489399,16.489399,16.8125,16.8125,16.8125,17.083702,
364.3161,16.796133,16.596394,16.708828,16.826224,16.361276,16.782409,15.683698,16.65625,16.65625,16.629961,16.629961,16.629961,16.548776,16.573907,16.573907,16.573907,16.477513,16.477513,16.790013,16.790013,16.790013,16.972552,
364.5977,16.680452,16.402726,16.631931,16.965343,16.100564,16.67352,15.937617,16.534657,16.534657,16.875117,16.875117,16.875117,16.288064,16.201246,16.201246,16.201246,16.347157,16.347157,16.78125,16.78125,16.78125,16.840226,
364.8792,16.468138,16.636437,16.729575,16.921569,16.057394,16.546569,16.339868,16.552287,16.552287,17.094362,17.094362,17.094362,16.088031,16.33415,16.33415,16.33415,16.286356,16.286356,16.755106,16.755106,16.755106,16.890931,
365.1608,16.185838,16.6875,16.554263,16.850325,16.621748,16.447363,16.5181,16.814162,16.814162,16.705564,16.705564,16.705564,16.398049,16.738511,16.738511,16.738511,16.504949,16.504949,16.722038,16.722038,16.722038,17.046062,
365.4424,16.334898,16.657725,16.441926,16.665102,16.598176,16.735247,16.114405,16.813975,16.813975,16.65625,16.65625,16.65625,16.467275,16.751475,16.751475,16.751475,16.709898,16.709898,16.927173,16.927173,16.927173,16.824303,
365.7239,16.471063,16.43783,16.533233,16.501983,16.564152,16.777615,16.129626,16.844411,16.844411,16.717759,16.717759,16.717759,16.591767,16.845072,16.845072,16.845072,17,17,16.967428,16.967428,16.967428,16.751322,
366.0055,16.68537,16.475139,16.737916,16.702407,16.723009,16.418334,16.579536,16.912639,16.912639,16.605834,16.605834,16.605834,16.40838,16.981527,16.981527,16.981527,17,17,16.856527,16.856527,16.856527,16.879259,
366.2870,16.644483,16.578189,17.007844,16.878794,16.808706,16.222928,16.781122,16.968622,16.968622,16.355517,16.355517,16.355517,16.441422,17.171939,17.171939,17.171939,16.992156,16.992156,17.011639,17.011639,17.011639,16.929656,
366.5686,16.539666,16.693209,17.045374,16.676083,17.011417,16.738877,16.528249,16.732874,16.732874,16.460334,16.460334,16.460334,16.525835,17.275541,17.275541,17.275541,16.943209,16.943209,16.91496,16.91496,16.91496,16.823623,
366.8502,16.422523,16.681308,16.946285,16.587558,17.047523,16.886377,16.434907,16.641273,16.641273,16.629896,16.629896,16.629896,16.773762,17.242512,17.242512,17.242512,16.976238,16.976238,17.131192,17.131192,17.131192,16.541331,
367.1317,16.439834,16.5625,16.708285,16.552108,16.962952,16.53238,16.560166,16.519654,16.519654,16.806702,16.806702,16.806702,16.898192,17.098344,17.098344,17.098344,17.083358,17.083358,17.212952,17.212952,17.212952,16.46762,
367.4133,16.604779,16.551471,16.367646,16.75,16.930146,16.235296,16.472425,16.465071,16.465071,16.663604,16.663604,16.663604,17.139709,16.779413,16.779413,16.779413,17.237133,17.237133,17.147058,17.147058,17.147058,16.6875,
367.6949,16.58663,16.60799,16.49433,16.77558,17.05683,16.10654,16.58096,16.84098,16.84098,16.35786,16.35786,16.35786,16.8096,16.74433,16.74433,16.74433,17.05393,17.05393,17.17471,17.17471,17.17471,16.57239,
367.9764,16.487617,16.704206,16.545794,16.841589,17.006483,16.241356,16.547956,17.004322,17.004322,16.077044,16.077044,16.077044,16.508644,16.853972,16.853972,16.853972,16.935339,16.935339,17.214428,17.214428,17.214428,16.362617,
368.2580,16.356037,16.736378,16.448452,16.842415,16.727031,16.521634,16.53125,16.562769,16.562769,16.142628,16.142628,16.142628,16.277244,17.002671,17.002671,17.002671,16.936165,16.936165,17.330128,17.330128,17.330128,16.263622,
368.5395,16.245181,16.853388,16.325716,16.848569,16.5625,16.836595,16.567319,16.074474,16.074474,16.34981,16.34981,16.34981,16.205534,16.936259,16.936259,16.936259,16.888216,16.888216,17.320897,17.320897,17.320897,16.182681,
368.8211,16.02105,16.6097,16.3125,16.71684,16.54273,16.96875,16.65306,15.92921,15.92921,16.66645,16.66645,16.66645,16.1199,16.5472,16.5472,16.5472,16.71684,16.71684,17.08355,17.08355,17.08355,16.27487,
369.1027,15.755755,16.458999,16.333999,16.560502,16.638746,16.904252,16.6875,16.164241,16.164241,16.78125,16.78125,16.78125,15.998002,16.203006,16.203006,16.203006,16.539003,16.539003,16.796756,16.796756,16.796756,16.472745,
369.3842,16.198388,16.306195,16.738527,16.763472,16.873278,16.758889,16.362389,16.908249,16.908249,17.19925,17.19925,17.19925,16.549305,16.496555,16.496555,16.496555,16.616111,16.616111,16.370417,16.370417,16.370417,15.99714,
369.6658,16.424878,16.050489,16.825122,16.694117,16.887622,16.818505,16.225061,17.050183,17.050183,17.194117,17.194117,17.194117,16.949511,16.874389,16.874389,16.874389,16.731067,16.731067,16.200122,16.200122,16.200122,16.136705,
369.9473,16.517448,16.159896,16.919097,16.842795,16.795052,16.897049,16.431944,17.004601,17.004601,17.049653,17.049653,17.049653,17.079948,17.017448,17.017448,17.017448,17.043142,17.043142,16.507291,16.507291,16.507291,16.405295,
370.2289,16.673017,16.442681,16.824086,17.215241,16.78125,17.076371,16.55381,17,17,17.002897,17.002897,17.002897,17.150457,16.974543,16.974543,16.974543,17.207164,17.207164,16.704267,16.704267,16.704267,16.409147,
370.5105,16.867808,16.739212,16.842551,17.280051,16.961558,17.063699,16.802911,17.090154,17.090154,17,17,17,16.675429,16.848545,16.848545,16.848545,17.369007,17.369007,16.838955,16.838955,16.838955,16.135788,
370.7920,16.9375,16.87155,16.908222,16.779771,16.844243,17.0278,16.905757,17.213328,17.213328,16.9028,16.9028,16.9028,16.469243,16.592271,16.592271,16.592271,17.151321,17.151321,16.719736,16.719736,16.719736,16.003943,
371.0736,16.935322,16.654072,17.035606,16.711459,16.872822,16.808144,16.890246,16.868466,16.868466,16.674432,16.674432,16.674432,16.51089,16.504356,16.504356,16.504356,16.83286,16.83286,16.766004,16.766004,16.766004,16.280493,
371.3552,16.956391,16.621143,17.05518,17.054392,16.785895,16.780856,17.05518,16.792821,16.792821,16.492286,16.492286,16.492286,16.57911,16.5625,16.5625,16.5625,16.691357,16.691357,16.589499,16.589499,16.589499,16.672072,
371.6367,17.262733,16.577161,16.770191,17.180042,16.397119,17.011059,16.808899,16.88053,16.88053,16.470678,16.470678,16.470678,16.086547,16.56803,16.56803,16.56803,16.768517,16.768517,16.792309,16.792309,16.792309,16.573559,
371.9183,17.024054,16.492804,16.754731,17.007196,16.55757,17.040911,16.908715,16.870269,16.870269,16.704159,16.704159,16.704159,16.394124,16.600946,16.600946,16.600946,17.028785,17.028785,16.908516,16.908516,16.908516,16.56743,
372.1998,17.035426,16.530746,16.910426,16.986967,16.794283,16.959893,16.750504,16.69686,16.69686,16.977607,16.977607,16.977607,16.571357,16.660426,16.660426,16.660426,17.07186,17.07186,17.089574,17.089574,17.089574,16.295291,
372.4814,17.167043,16.792608,16.957957,16.864489,16.885228,16.895457,16.509664,16.530968,16.530968,16.905403,16.905403,16.905403,16.394045,16.697446,16.697446,16.697446,16.769327,16.769327,16.957957,16.957957,16.957957,16.198858,
372.7630,17.237841,17.085112,16.814206,16.84375,16.782956,16.788182,16.34375,16.444432,16.444432,16.621479,16.621479,16.621479,15.951365,16.605909,16.605909,16.605909,16.364547,16.364547,16.826365,16.826365,16.826365,16.527838,
373.0445,17.122145,17.122145,16.635946,16.940355,16.508091,16.708598,16.247145,16.502855,16.502855,16.427348,16.427348,16.427348,15.764594,16.638801,16.638801,16.638801,16.263801,16.263801,16.611993,16.611993,16.611993,16.71875,
373.3261,16.969127,16.907381,16.484941,17.093373,16.173195,16.640814,16.140436,16.717619,16.717619,16.436746,16.436746,16.436746,15.733055,16.640814,16.640814,16.640814,16.342996,16.342996,16.576428,16.576428,16.576428,16.456331,
373.6076,17.056962,16.658906,16.556962,17.03967,15.943038,16.829792,16.873023,16.863698,16.863698,16.977849,16.977849,16.977849,16.202137,16.778594,16.778594,16.778594,16.389184,16.389184,17.077137,17.077137,17.077137,16.477622,
373.8892,17.006734,16.437802,16.731008,16.912681,16.030645,16.869173,17.151028,16.794113,16.794113,17.35631,17.35631,17.35631,16.593448,16.738044,16.738044,16.738044,16.35631,16.35631,17.337621,17.337621,17.337621,16.849577,
374.1708,16.825022,16.456228,16.862478,16.692238,16.237478,16.801557,16.551669,16.739057,16.739057,17.201602,17.201602,17.201602,16.595329,16.503159,16.503159,16.503159,16.34375,16.34375,17.271886,17.271886,17.271886,17.039034,
374.4523,16.737414,16.631509,16.818577,16.506077,16.215496,16.834418,16.321832,16.706164,16.706164,17.015409,17.015409,17.015409,16.628254,16.547091,16.547091,16.547091,16.34375,16.34375,17.271918,17.271918,17.271918,16.962241,
374.7339,16.977507,16.89921,16.78125,16.492273,16.422733,16.84375,16.336023,16.6875,16.6875,16.82761,16.82761,16.82761,16.65625,16.9466,16.9466,16.9466,16.649553,16.649553,17.304773,17.304773,17.304773,16.506353,
375.0155,17.0625,16.742648,16.831495,16.60049,16.349265,16.718138,16.54473,16.6875,16.6875,16.756128,16.756128,16.756128,16.731617,17.112745,17.112745,17.112745,16.925857,16.925857,17.387867,17.387867,17.387867,16.324755,
375.2970,17.115931,16.794362,16.897181,16.785293,16.633086,16.500492,16.193018,16.580638,16.580638,16.883577,16.883577,16.883577,16.509561,17.098285,17.098285,17.098285,16.995465,16.995465,17.299388,17.299388,17.299388,16.686517,
375.5786,16.926883,17.123827,16.991157,16.92571,16.942222,16.24233,16.040093,16.44929,16.44929,16.877948,16.877948,16.877948,16.383843,16.923935,16.923935,16.923935,16.971698,16.971698,17.366157,17.366157,17.366157,17.259444,
375.8601,16.846483,17.275784,16.91035,16.459366,16.640033,16.696884,15.85195,16.885751,16.885751,17.14395,17.14395,17.14395,17.032434,16.966017,16.966017,16.966017,16.669916,16.669916,17.225583,17.225583,17.225583,17.252733,
376.1417,17.063333,17.029792,16.937084,16.719166,16.782499,16.844791,15.879373,16.875,16.875,16.6875,16.6875,16.6875,16.90625,16.969166,16.969166,16.969166,16.500833,16.500833,17.405417,17.405417,17.405417,16.936667,
376.4233,17.198161,16.805393,16.862562,16.779473,16.982965,17.015991,16.547241,16.86967,16.86967,16.710599,16.710599,16.710599,16.883151,17.02592,17.02592,17.02592,16.63033,16.63033,17.268812,17.268812,17.268812,16.798285,
376.7048,17.351624,16.670803,16.649571,16.713267,17.215411,17.237838,16.839215,16.794608,16.794608,17.083732,17.083732,17.083732,16.493321,16.907445,16.907445,16.907445,16.702053,16.702053,17.00573,17.00573,17.00573,16.545803,
376.9864,17.146458,16.585106,16.608438,16.367082,17.182604,16.82604,17.03802,16.911146,16.911146,16.965728,16.965728,16.965728,16.403228,16.670938,16.670938,16.670938,16.58698,16.58698,16.516562,16.516562,16.516562,16.420938,
377.2679,16.951926,16.920126,16.739072,16.188483,17.149803,16.54316,16.92559,16.963286,16.963286,16.768357,16.768357,16.768357,16.231643,16.743553,16.743553,16.743553,16.680071,16.680071,16.4375,16.4375,16.4375,16.487107,
377.5495,16.398259,17.09375,16.945491,16.304509,17.093036,16.452768,17,17.078482,17.078482,16.766697,16.766697,16.766697,16.289241,16.734732,16.734732,16.734732,16.499286,16.499286,16.477456,16.477456,16.477456,16.453482,
377.8311,16.336881,16.922215,16.816275,16.462314,17.095297,16.634963,16.971411,17.067822,17.067822,16.91578,16.91578,16.91578,16.369678,16.609715,16.609715,16.609715,16.434839,16.434839,16.736696,16.736696,16.736696,16.662005,
378.1126,16.261062,16.53125,16.424501,16.764377,17.301438,17.089876,16.850938,16.9375,16.9375,16.860064,16.860064,16.860064,16.533187,16.240875,16.240875,16.240875,16.632748,16.632748,17.095687,17.095687,17.095687,17.009125,
378.3942,16.495263,16.455716,16.406695,16.486966,17.319017,16.918394,16.724822,16.975267,16.975267,16.680983,16.680983,16.680983,16.732229,16.356784,16.356784,16.356784,16.950534,16.950534,17.15625,17.15625,17.15625,16.943572,
378.6758,16.8125,16.34375,16.612878,16.40322,17.318561,16.85786,16.743939,16.960701,16.960701,16.766098,16.766098,16.766098,16.96572,16.49697,16.49697,16.49697,17.0625,17.0625,17.17036,17.17036,17.17036,16.863921,
378.9573,16.906247,16.546869,16.874996,16.624995,17.140628,16.984372,16.921872,16.796877,16.796877,16.984374,16.984374,16.984374,16.968751,16.609373,16.609373,16.609373,16.937504,16.937504,17.109377,17.109377,17.109377,16.765626,
379.2389,17,16.715733,17.119934,16.949567,16.894183,17.110883,17.099784,16.598816,16.598816,16.962716,16.962716,16.962716,16.9375,16.7389,16.7389,16.7389,16.743966,16.743966,16.962716,16.962716,16.962716,16.77015,
379.5204,16.850909,16.612954,17.21875,17.043864,16.967614,17.031818,17.174886,16.481364,16.481364,16.831704,16.831704,16.831704,16.7325,16.818523,16.818523,16.818523,16.967046,16.967046,16.794432,16.794432,16.794432,16.924318,
379.8020,16.790267,16.663167,17.118083,16.890316,17.395752,16.868083,17.086833,16.509017,16.509017,16.640316,16.640316,16.640316,16.553483,16.863883,16.863883,16.863883,17.236784,17.236784,16.77915,16.77915,16.77915,17.0604,
380.0836,16.769251,16.394381,16.889503,16.898998,17.259756,17.09362,16.836629,17.006991,17.006991,16.670623,16.670623,16.670623,16.639373,17.047997,17.047997,17.047997,17.173127,17.173127,16.726002,16.726002,16.726002,17.050501,
380.3651,16.611341,16.619758,16.904939,16.89128,17.07878,17.17253,16.75,17.056981,17.056981,16.69564,16.69564,16.69564,16.6875,16.893901,16.893901,16.893901,17.240549,17.240549,16.803049,16.803049,16.803049,16.869481,
380.6467,16.537911,16.946714,16.962089,16.875,16.964143,16.812001,16.774589,16.704929,16.704929,16.539965,16.539965,16.539965,16.564554,16.738732,16.738732,16.738732,17.355018,17.355018,16.991285,16.991285,16.991285,16.787911,
380.9282,16.453062,17,16.916624,16.796812,16.989626,16.796938,16.885501,16.755314,16.755314,16.552126,16.552126,16.552126,16.400936,17.00544,17.00544,17.00544,17.270749,17.270749,17.057313,17.057313,17.057313,16.624873,
381.2098,16.822926,16.724696,16.686007,16.643598,16.779757,16.977683,17.016372,17.001493,17.001493,16.617561,16.617561,16.617561,16.430061,16.869787,16.869787,16.869787,17.002226,17.002226,17.09003,17.09003,17.09003,16.511159,
