,Live Spectrum 26-10-2023 13:39:50,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:53,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.8125,17.125,16.0625,17.40625,16.25,17.125,16.53125,16.53125,17.09375,17.09375,17.09375,17.125,17.125,17.125,16.75,16.75,16.75,16.96875,16.96875,16.96875,16.625,16.625,16.71875,
361.2189,16.30677,16.92413,16.192539,16.978991,16.42153,17.09375,16.33802,16.33802,16.73854,16.73854,16.73854,16.977081,16.977081,16.977081,16.760241,16.760241,16.760241,17.12118,17.12118,17.12118,16.71684,16.71684,16.36736,
361.5005,16.214937,16.699683,16.742373,16.682943,16.640997,17.08231,16.280506,16.280506,16.554873,16.554873,16.554873,16.609747,16.609747,16.609747,16.441313,16.441313,16.441313,17.043433,17.043433,17.043433,16.645554,16.645554,16.21568,
361.7821,16.261731,16.59105,16.636109,16.954941,16.53696,17.02284,16.608492,16.608492,16.539971,16.539971,16.539971,16.50571,16.50571,16.50571,16.508721,16.508721,16.508721,16.8777,16.8777,16.8777,16.280939,16.280939,16.105792,
362.0636,16.631752,16.72635,16.368248,17.358102,16.547299,17.125,17.139352,17.139352,16.756752,16.756752,16.756752,16.592052,16.592052,16.592052,16.733102,16.733102,16.733102,16.719599,16.719599,16.719599,16,16,16.741551,
362.3452,16.806904,16.768968,16.373292,17.367224,16.54742,17.162936,17.214862,17.214862,16.846548,16.846548,16.846548,16.809702,16.809702,16.809702,16.941388,16.941388,16.941388,16.615516,16.615516,16.615516,16.085356,16.085356,16.840952,
362.6267,16.926139,16.767056,16.7585,16.846639,16.599445,17.272722,17.039778,17.039778,16.78125,16.78125,16.78125,16.931805,16.931805,16.931805,17.025583,17.025583,17.025583,16.616472,16.616472,16.616472,16.406222,16.406222,16.928972,
362.9083,16.90625,16.52872,16.924268,16.773078,16.645548,16.902318,16.880915,16.880915,16.953262,16.953262,16.953262,17.070945,17.070945,17.070945,16.721007,16.721007,16.721007,16.695945,16.695945,16.695945,16.664695,16.664695,16.80997,
363.1899,16.966633,16.221926,16.966633,17.278074,16.858846,16.570186,16.839516,16.839516,17.021447,17.021447,17.021447,17.064617,17.064617,17.064617,16.423463,16.423463,16.423463,16.719809,16.719809,16.719809,16.703654,16.703654,16.639037,
