,Live Spectrum 26-10-2023 13:40:57,Live Spectrum 26-10-2023 13:40:58,Live Spectrum 26-10-2023 13:40:59,Live Spectrum 26-10-2023 13:41:01,Live Spectrum 26-10-2023 13:41:02,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:04,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:06,Live Spectrum 26-10-2023 13:41:07,Live Spectrum 26-10-2023 13:41:08,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:11,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.21875,17.875,17.71875,18.375,18.25,17.3125,17.9375,17.40625,17.65625,17.875,17.5,17.5625,17.09375,18.21875,17.5,17.5,17.5,17.125,17.125,16.9375,16.9375,16.9375,17.75,17.75,
361.2189,17.44896,18.19132,17.85521,18.14479,17.90052,17.56632,18.19514,17.21302,17.24427,17.25,17.338711,17.50955,17.32969,17.942011,17.40434,17.40434,17.40434,17.11163,17.11163,16.52361,16.52361,16.52361,17.866669,17.866669,
361.5005,17.617373,18.188987,18.012183,17.942057,17.78962,17.586867,18.30106,17.151693,17.20201,17.303386,16.773623,17.660063,17.612817,17.515997,17.367373,17.367373,17.367373,16.921503,16.921503,16.444383,16.444383,16.444383,18.24163,18.24163,
361.7821,17.488269,17.73858,17.772218,17.75571,17.64213,17.29537,18.184489,17.383721,17.576931,17.773151,16.781561,17.744601,17.784261,17.451931,17.409572,17.409572,17.409572,17.094061,17.094061,16.815822,16.815822,16.815822,18.446221,18.446221,
362.0636,17.125849,17.6799,17.282099,17.750849,17.72635,17.188349,18.03125,17.600502,17.735648,18.087847,17.0549,18,17.960301,17.793056,17.889352,17.889352,17.889352,17.435802,17.435802,17.227199,17.227199,17.227199,18.647801,18.647801,
362.3452,17.097638,17.618314,17.32976,17.675218,17.759484,17.292913,18.021766,17.71875,17.479942,17.837064,17.012282,18,17.926926,18.247202,18.03125,18.03125,18.03125,17.625,17.625,17.070894,17.070894,17.070894,18.642878,18.642878,
362.6267,17.329528,17.497167,17.7585,17.752833,17.747167,17.829528,17.988639,17.6165,17.093778,17.681833,16.843778,18.034083,17.562528,18.085278,18.019889,18.019889,18.019889,17.590917,17.590917,16.897722,16.897722,16.897722,18.332417,18.332417,
362.9083,17.759847,17.530122,18.083048,17.719878,17.780122,18.167225,18.008445,17.305183,16.888232,17.588963,16.413293,17.948202,17.396677,17.700732,18.039695,18.039695,18.039695,17.412165,17.412165,16.884573,16.884573,16.884573,18.133445,18.133445,
363.1899,18.080771,17.641154,18.06991,17.608846,17.891154,18.195968,17.95683,17.245766,17.072303,17.700479,16.185383,17.780191,17.619707,17.764037,17.957888,17.957888,17.957888,17.325479,17.325479,16.872883,16.872883,16.872883,18.383744,18.383744,
363.4714,17.89828,17.67586,17.487731,17.57414,17.875,17.632341,17.691171,17.731019,17.19914,17.849063,16.436486,17.998986,17.83211,17.778593,17.829453,17.829453,17.829453,17.389297,17.389297,17.090079,17.090079,17.090079,18.64461,18.64461,
