Wavelength [nm]	Wavenumbers [1/cm]	Live Spectrum 26-10-2023 13:42:41	Live Spectrum 26-10-2023 13:42:47	Live Spectrum 26-10-2023 13:42:48	Live Spectrum 26-10-2023 13:42:49	Live Spectrum 26-10-2023 13:42:51	Live Spectrum 26-10-2023 13:42:52	Live Spectrum 26-10-2023 13:42:55	Live Spectrum 26-10-2023 13:42:56	Live Spectrum 26-10-2023 13:42:57	Live Spectrum 26-10-2023 13:42:58	Live Spectrum 26-10-2023 13:42:59	Live Spectrum 26-10-2023 13:42:59	Live Spectrum 26-10-2023 13:43:00	Live Spectrum 26-10-2023 13:43:01	Live Spectrum 26-10-2023 13:43:02	Live Spectrum 26-10-2023 13:43:03	Live Spectrum 26-10-2023 13:43:04	Live Spectrum 26-10-2023 13:43:06
360.937	27705.64	17.72	18.16	18.16	19.06	18.78	18.41	17.78	18.19	18	18.06	18.75	17.81	19.09	18.16	18.06	17.59	18.34	17.66
361.219	27684.04	17.36	18.12	18.27	18.46	18.73	18.03	17.99	18.05	17.91	17.99	18.82	17.83	18.89	18	17.96	17.9	18.21	17.63
361.501	27662.48	17.13	17.98	18.52	18.32	18.38	17.58	18.36	18.38	17.91	17.83	18.93	18.06	18.54	18.06	17.84	17.77	18.09	17.78
361.782	27640.95	17.23	18.07	18.74	18.63	17.94	17.76	18.44	18.43	18.01	17.95	18.81	18.08	18.42	18.31	18.1	17.5	18.13	17.8
362.064	27619.45	17.76	18.29	18.98	18.61	17.73	18.16	18.31	18.52	18.34	18.01	18.63	18.31	18.51	18.57	18.56	17.58	18.22	17.94
362.345	27597.99	18.14	18.3	18.83	18.58	18.01	18.42	18.18	18.31	18.28	18.06	18.56	18.45	18.51	18.32	18.64	17.82	17.92	18.21
362.627	27576.56	18.66	17.95	18.49	18.7	18.45	18.3	17.92	18	17.99	18.09	18.65	18.61	18.46	17.8	18.51	17.58	17.55	18.59
362.908	27555.17	18.5	17.9	18.39	18.76	18.5	18.02	17.91	18.07	17.88	18.22	18.22	18.44	18.5	17.6	18.52	17.97	17.68	18.2
363.190	27533.81	18.14	18.09	18.55	18.57	18.49	17.82	17.69	18.33	18.21	18.51	17.62	18.37	18.47	17.86	18.91	18.82	18.14	17.75
363.471	27512.48	18.28	18.31	18.56	18.38	18.89	18.31	17.73	18.21	18.29	18.51	17.79	18.71	18.31	18.34	19.28	18.6	18.24	17.89
363.753	27491.18	18.34	18.67	18.61	18.33	18.91	18.79	18.13	18.1	18.14	18.62	18.04	18.51	18.19	18.37	19.39	18.31	18.19	18.09
364.035	27469.92	18.54	18.86	18.47	18.51	18.49	18.85	18.79	18.02	17.68	18.7	18.04	17.95	18.04	18.29	19	18.13	18.19	18.34
364.316	27448.69	18.87	18.84	18.2	18.8	18.27	18.77	19.19	18.11	17.49	18.55	17.89	17.73	17.96	18.51	18.72	18.16	18.2	18.52
364.598	27427.49	18.7	18.74	18.1	18.92	18.35	18.53	18.93	18.2	17.86	18.11	17.94	17.89	17.96	18.69	18.54	18.09	18.43	18.56
364.879	27406.33	18.31	18.59	17.78	19.07	18.48	18.36	18.53	18.19	18.57	17.82	18.13	17.94	18.13	18.61	18.89	17.98	18.6	18.54
365.161	27385.20	18.03	18.39	17.66	18.98	18	18.18	18.44	18.72	17.79	18.14	18.1	18.44	18.21	18.37	18.77	18.44	18.35	18.08
365.442	27364.10	17.91	18.49	18.4	18.88	18.15	18.28	18.23	18.87	18.1	17.92	18.24	18.59	18.16	18.25	18.93	18.29	18.01	17.97
365.724	27343.03	18.13	19.06	18.71	19	18.78	18.44	18.03	18.53	18.53	17.81	18.34	18.66	18.19	18.22	18.75	18.47	17.66	18.28
366.005	27321.99	18.28	18.64	18.01	18.84	18.74	18.31	18.04	18.47	18.49	18	18.06	18.59	18.28	18.36	18.37	18.67	17.74	18.61
366.287	27300.99	18.27	18.34	17.82	18.79	18.61	18.26	18.58	18.02	18.79	17.95	17.61	18.09	18.34	18.6	17.91	18.46	18.07	18.37
366.569	27280.02	18.14	18.09	18.13	18.57	18.48	18.34	18.95	17.7	18.81	17.82	17.55	18.13	18.54	18.67	17.95	18.2	18.17	18.13
366.850	27259.09	18.1	18.11	18.32	18.43	18.35	18.48	19.04	17.49	18.42	18.1	17.79	18.36	18.77	18.79	18.24	18.5	18.14	18.41
367.132	27238.18	18.1	18.32	18.33	18.29	18.39	18.25	19.02	17.67	17.97	18.53	17.96	18.55	18.7	18.69	18.2	18.64	17.93	18.74
367.413	27217.31	17.93	18.51	18.29	18.31	18.39	17.73	18.85	18.21	17.9	18.68	18.33	18.55	18.13	18.21	17.63	18.13	18.12	18.51
367.695	27196.46	18.25	18.51	18.25	18.5	17.86	17.89	18.65	18.3	18.21	18.59	18.83	18.33	18.16	18.15	18.07	17.55	18.43	18.34
367.976	27175.65	18.53	18.6	18.25	18.63	18.12	18.07	18.46	18.18	18.09	18.55	18.63	17.91	18.48	17.94	18.45	17.36	18.69	18.09
368.258	27154.88	18.74	18.86	18.36	18.41	18.71	18.32	18.39	18.18	18.02	18.31	18.23	17.64	18.63	17.84	18.56	17.65	18.6	18
368.540	27134.13	18.73	18.84	18.59	18.02	18.64	18.47	18.3	18.48	18.27	18.17	18.53	17.86	18.43	17.83	18.47	17.7	18.19	18.2
368.821	27113.42	18.42	18.14	18.59	17.52	18.32	18.33	17.97	18.31	18.71	18.03	18.84	17.97	18.57	17.96	18.43	17.64	18.02	18.42
369.103	27092.73	18.04	17.57	18.45	17.33	18.44	18.15	17.64	17.8	18.93	18.11	18.57	17.79	19.05	18.14	18.44	17.73	18.24	18.48
369.384	27072.08	17.47	18.35	18.36	18.18	19	18.24	18.54	17.49	18.59	17.89	19.32	17.77	18.92	18.44	18.3	17.9	18.78	17.77
369.666	27051.46	17.41	18.48	18.32	18.49	19.21	18.03	18.63	17.76	18.34	18.13	19.15	17.98	18.94	18.68	18.35	18.29	19.09	17.83
369.947	27030.87	17.78	18.12	18.34	18.58	19.11	18.02	18.38	18.16	18.13	18.49	19.03	18.16	18.52	18.85	18.48	18.45	19.15	18.39
370.229	27010.32	18.16	18.2	18.26	18.65	18.95	18.51	18.29	18.13	18.26	18.36	19.06	18.41	17.93	18.9	18.36	18.16	19.1	18.89
370.510	26989.79	17.98	18.58	18.07	18.87	18.79	18.86	18.4	18.06	18.34	18.4	18.82	18.59	17.81	18.73	18.04	18.13	18.79	19.06
370.792	26969.30	17.73	18.65	18.06	18.65	18.84	18.78	18.53	18.28	18.4	18.72	18.4	18.53	18.19	18.28	17.87	18.28	18.53	18.93
371.074	26948.83	18.44	18.51	18.09	18.49	18.58	18.69	18.33	18.31	18.31	18.83	18.16	18.56	18.4	18.43	17.87	18.32	18.29	18.45
371.355	26928.40	18.89	18.31	18.1	18.35	18.44	18.61	18.21	18.33	18.34	18.54	18.25	18.54	18.23	18.3	18.31	18	18.34	18.13
371.637	26908.00	18.66	18.9	18.37	18.62	18.4	18.15	18.55	18.64	18.49	17.79	18.81	18.81	18.11	18.2	18.72	18.07	18.13	17.97
371.918	26887.63	19.08	18.47	18.11	18.54	18.06	18.48	18.56	18.33	18.42	18.06	18.24	18.6	18.36	18.14	18.6	18.41	18.26	17.97
372.200	26867.29	18.88	18.04	17.94	18.31	18.17	18.77	18.77	18.02	18.39	18.41	17.95	18.46	18.3	18.36	18.08	18.42	18.13	18.05
