,Live Spectrum 26-10-2023 13:44:50,Live Spectrum 26-10-2023 13:45:29,Live Spectrum 26-10-2023 13:45:59,Live Spectrum 26-10-2023 13:46:43,Live Spectrum 26-10-2023 13:47:13,Live Spectrum 26-10-2023 13:48:13,Live Spectrum 26-10-2023 13:49:37,Live Spectrum 26-10-2023 13:50:32,Live Spectrum 26-10-2023 13:51:07,Live Spectrum 26-10-2023 13:51:27,Live Spectrum 26-10-2023 13:52:16,Live Spectrum 26-10-2023 13:52:46,Live Spectrum 26-10-2023 13:52:55,Live Spectrum 26-10-2023 13:52:56,Live Spectrum 26-10-2023 13:52:57,Live Spectrum 26-10-2023 13:52:58,Live Spectrum 26-10-2023 13:52:59,Live Spectrum 26-10-2023 13:54:50,Live Spectrum 26-10-2023 13:55:15,Live Spectrum 26-10-2023 13:55:21,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.9375,16.6875,16.9375,16.21875,16.625,18.9375,16.9375,16.40625,16.84375,17.28125,16.46875,17.59375,17.59375,16.25,17.03125,17.34375,17,17.1875,16.21875,17.8125,
361.2189,16.81059,16.58993,16.84184,16.32847,16.383331,18.76979,16.91771,16.36736,16.78316,16.945831,16.15434,17.317011,17.45538,16.28316,16.8533,17.44323,17.28316,17.14288,16.11163,17.97639,
361.5005,16.754557,16.54269,16.839193,16.074683,16.06557,18.620443,17.08231,16.276693,16.804873,16.574683,16.132627,16.87193,17.23856,16.262927,16.992373,17.504557,17.297247,16.941313,15.913877,18.09375,
361.7821,16.58534,16.64213,17.094061,15.971761,16.363891,18.903861,16.960029,16.571532,16.784261,16.477471,16.250311,16.659261,17.16196,16.020452,16.93179,17.255399,17.21034,16.923069,16.031561,18.11659,
362.0636,16.740702,16.72635,17.435802,16.155401,16.639352,19.373302,16.766049,17.092052,16.922299,16.671451,16.554051,16.964506,17.217901,16.652855,16.845448,16.977199,17.259298,16.695949,16.342901,18.21875,
362.3452,16.95367,16.79742,17.634484,16.325872,16.800218,19.600436,16.804106,17.290734,16.893968,16.851526,16.625,17.399564,17.350436,17.154542,16.589862,16.944186,17.09375,16.549128,16.4375,18.294622,
362.6267,17.107944,16.928972,17.588083,16.568167,16.832389,19.755667,17.068167,17.289778,16.903417,17.178972,16.556833,17.176167,17.505667,17.380695,16.448861,17.099417,17.161917,16.352278,16.346611,18.480111,
362.9083,17.1875,17.008445,17.23058,16.674268,16.786037,20.060243,17.147805,17.263232,16.962835,17.165823,16.728597,16.85811,17.400062,17.016617,16.62753,16.874727,17.36064,16.524207,16.200732,18.327988,
363.1899,17.247883,17.002117,17.042112,16.641154,16.674521,20.433266,17.078654,17.205771,17.170287,17.108846,17.079713,16.719809,17.19942,16.86759,16.813559,16.51192,17.332888,16.842691,16.173463,18.139037,
363.4714,17.227734,16.920547,17.23836,16.692813,16.678516,20.748986,16.96078,16.904607,17.26961,17.091093,17.03125,16.670547,17.380313,17.161563,16.78125,16.794533,17.017967,16.807187,16.108047,18.153593,
363.7530,17.02462,17.075489,17.243641,16.712391,16.731196,21.019076,16.893804,16.699946,17.350109,16.949674,17.012446,16.562228,17.4375,17.237554,16.91288,16.975109,16.912609,16.712391,16.150163,18.125,
364.0346,16.896202,17.208149,16.826421,16.87334,16.780697,21.217643,16.864952,16.708149,17.436947,16.771756,16.876107,16.438053,17.334256,16.87832,17.18584,16.834809,17.040744,16.604904,16.208149,18.083702,
364.3161,16.942461,17.173776,16.580026,17.013724,16.879961,21.641041,16.911211,16.696263,17.288854,16.561341,16.700065,16.338789,17.123841,16.597552,17.461146,16.682539,17.161211,16.5625,16.286211,18.017526,
364.5977,17.284891,16.937383,16.659774,16.885339,16.979206,22.486488,16.888863,16.638863,16.975564,16.378407,16.558976,16.336819,17.086819,16.367952,17.409657,16.729206,17.114544,16.684093,16.385456,17.635222,
364.8792,17.741012,16.587419,16.739787,16.817606,17.052287,23.39338,16.848856,16.546569,16.644813,16.317606,16.400531,16.317606,17.224469,16.417075,17.244281,16.906862,16.858457,16.797181,16.484681,17.609681,
365.1608,17.057515,16.894761,16.945737,16.8125,16.139741,23.671062,16.9556,16.615137,17.069111,16.564162,16.458887,16.676011,17.166113,16.801011,16.40784,16.657876,16.840462,17.064162,16.080564,17.876662,
365.4424,16.790102,16.997049,17.028299,16.604077,16.358771,24.074571,17.028299,16.654775,16.916577,16.444877,16.647398,16.897398,16.977602,16.873525,16.580472,16.773873,16.933074,16.766229,16.061025,17.608503,
365.7239,16.592759,17.095733,17.15625,16.595072,16.78158,25.20204,17.029928,16.844411,16.778937,16.43783,16.778937,17.283563,16.907572,17.033233,17,16.96908,16.781911,16.373017,16.12533,17.467428,
366.0055,16.508518,17.27912,17.145602,16.748563,16.838054,26.583795,16.891343,16.90838,16.571018,16.492175,16.573148,17.510648,17.037639,17.223009,16.993611,16.99787,16.84588,16.191759,16.175416,17.34588,
366.2870,16.648533,17.242156,17.003922,17.195472,17.171811,26.9103,16.6875,16.929656,16.730644,16.804656,16.68345,17.660172,17.140689,17.28125,16.878794,16.96875,16.863233,16.257844,16.445344,17.394611,
366.5686,16.846751,17.130415,16.996999,17.451624,17.028249,27.190501,16.773128,16.852166,17.019833,16.761417,16.414666,17.72746,17.198623,17.224165,16.721751,16.963041,16.764124,16.358168,16.637004,17.519833,
366.8502,17,16.882488,16.873704,17.389977,16.807604,27.501007,17.193692,16.757488,16.998704,16.760081,16.364919,17.921227,16.953773,16.953773,16.867512,16.959965,16.642569,16.592454,17.294931,17.476238,
367.1317,16.916642,16.841416,16.996536,17.428238,16.621536,28.083358,17.238404,16.809036,17.019654,16.704894,16.494202,17.894654,16.989608,16.822892,16.871536,17.105346,16.648192,16.59488,17.233737,17.472214,
367.4133,16.71875,16.720587,17.106617,17.373163,16.797791,28.490804,17.018383,16.886029,16.876837,16.979779,16.439337,17.652575,17.154413,16.702204,16.794121,17.1489,17.077204,16.363971,16.761029,17.527571,
367.6949,16.7827,16.98589,17.17471,17.28692,16.97442,29.437759,16.96308,16.9702,16.98866,16.93605,16.47442,17.49288,17.11933,16.81817,16.44172,16.7144,17.24433,16.44607,16.69172,17.67326,
367.9764,16.991356,17.266706,17.127161,17.235456,16.9375,30.497256,16.985456,17.120678,17.178856,16.800117,16.422956,17.379322,17.039894,16.824883,16.457945,16.466589,17.106716,16.535572,16.489778,17.344333,
368.2580,17.222756,16.891562,16.930824,17.202457,16.872329,31.270029,17.017628,17.154915,17.426548,16.815171,16.389957,17.279915,16.938835,16.777244,16.592415,16.565171,16.873665,16.647969,16.504006,17.321847,
368.5395,17.258397,16.5625,16.673043,17.043224,16.8125,32.277819,17.080534,17.088931,17.459112,16.856966,16.266793,17.286069,16.96875,16.597328,16.418224,16.823379,16.771612,16.920707,16.647853,18.108353,
368.8211,16.9222,16.68112,16.63329,16.89796,16.6148,33.2806,17.15306,16.84503,17.16901,16.66582,16.14796,17.07526,16.85013,16.51148,16.3125,16.75128,16.83737,17.09885,16.86543,18.29401,
369.1027,16.513508,16.878995,16.849743,17.003995,16.328006,33.560502,17.166001,16.611254,16.816258,16.605498,16.060502,16.894502,16.78125,16.5,16.441495,16.410008,17.078244,17.177749,17.097745,17.661767,
369.3842,16.986805,16.798167,16.914278,16.807056,16.296444,34.506582,16.784695,16.817944,16.370417,16.880444,16.518916,16.666,17.245694,16.337445,16.941222,16.753722,16.784695,17.280389,16.598917,17.97161,
369.6658,17.41195,16.675183,16.831433,16.668872,16.237683,35.916121,16.65625,16.90625,16.374694,17.118383,16.587745,16.992772,17.481067,16.455822,17.068811,17.055883,16.780944,17.137928,16.506005,18.305883,
369.9473,17.628646,16.869444,16.839149,16.682899,16.325347,37.440016,16.629601,16.959549,16.992534,17.289496,16.615799,17.360243,17.659896,16.979687,17.035851,17.253646,17.158941,16.907205,16.557899,18.476996,
370.2289,17.542836,16.877897,16.75869,16.659147,16.42881,38.053198,16.568293,17.167224,17.433991,16.972259,16.398173,17.548017,17.60244,17.431095,16.94619,17.36631,17.30381,16.761586,16.505793,18.216466,
370.5105,17.110531,17.055308,16.719949,16.776455,16.677911,38.09375,16.532449,17.427911,17.498801,16.997603,16.344949,17.382192,17.774058,17.649058,16.847346,17.314897,17.102141,16.960359,16.439897,18.307705,
370.7920,16.875493,17.094736,16.753943,16.74655,16.8472,37.98403,16.562993,17.495564,17.464314,17.1528,16.381408,17.025828,17.713328,17.522378,16.877957,17.278293,16.906743,16.997535,16.37845,18.595722,
371.0736,16.910606,17.175853,17.008712,16.502935,17.064678,38.981061,16.578504,17.196969,17.159185,16.920076,16.774716,16.694034,17.366288,16.946969,17.0625,17.089394,16.924432,16.83286,16.600284,18.692613,
371.3552,17.00732,17.375788,17.098001,16.151999,17.062894,39.589499,16.455997,16.948677,16.842962,16.699071,16.745355,16.81982,17.269285,16.636965,17.077928,16.965681,16.792427,16.652787,16.718356,18.405462,
371.6367,17.303369,16.987267,16.823304,16.382458,16.827161,39.714893,17.009131,17.261059,17.292309,16.814428,17.15072,17.010804,17.417309,16.571886,17.18197,16.594005,17.104809,16.444958,16.94303,18.83822,
371.9183,17.370269,17.240339,16.4375,16.5625,16.778785,39.341484,16.827091,17.290911,17.307769,17.062301,17.074626,16.639393,17.461554,16.855876,17.134661,17.074428,17.09868,16.617804,16.882395,18.790911,
372.1998,17.19686,17.303643,16.543779,16.580213,16.84843,38.815019,16.53593,17.147897,17.152074,17.366143,16.835397,16.811493,17.446357,16.590077,17.018217,17.227607,16.85311,16.602607,16.56718,18.630184,
372.4814,16.988924,17.176142,16.8125,16.667043,16.707674,37.863077,16.447728,16.916196,17.115054,17.228131,16.666761,17.219597,17.363642,16.333239,16.864207,17.092338,16.676707,16.509381,16.468468,18.28012,
372.7630,16.782956,16.895797,16.715229,16.725682,16.526024,37.628521,16.430568,16.8125,17.230909,16.902729,16.6875,17.272503,17.131932,16.458406,16.78125,16.732615,16.654544,16.269091,16.40625,17.994774,
373.0445,16.673699,16.864054,16.36929,16.673699,16.427348,37.739848,16.579156,16.909105,17.04299,16.584392,16.604696,17.048699,17.010946,16.6875,16.919257,16.504442,16.860406,16.25,16.40625,17.965101,
373.3261,16.687123,17.076805,16.217619,16.579068,16.313254,37.517699,16.857678,17.092996,16.812123,16.344127,16.561746,17.170178,16.890814,16.502263,17.217241,16.466864,17.108055,16.311746,16.467996,18.154364,
373.6076,16.906476,16.846179,16.329566,16.192812,16.386528,37.190156,16.539217,16.90026,16.826684,16.534358,16.915122,17.193038,16.499547,16.739151,17.241354,16.88099,17.099288,16.340868,16.753108,18.346632,
373.8892,17.0625,16.824153,16.399819,15.993569,16.5,36.483125,16.436593,16.594052,16.8125,16.457097,16.950665,17.131129,16.374395,17.037681,17.13756,17.07506,16.887863,16.648911,16.787984,18.244173,
374.1708,17.0625,17.081228,16.782717,16.295239,16.540614,35.809454,16.665614,16.510943,16.934341,16.260943,16.710966,17.135943,16.743683,17.020307,17.104693,17.103114,16.853114,17.017148,16.646886,18.15625,
374.4523,17.040582,17.125,17.056423,16.525173,16.452909,35.152132,16.709418,16.5,17.153427,16.447263,16.89735,16.971573,16.940754,17.053168,17.027996,16.949655,16.831164,16.677305,16.909936,18.112414,
374.7339,17.24296,17.242617,17.140797,16.868303,16.523867,34.819883,16.906937,16.664663,17.35989,16.625343,17.117617,16.90625,17.439217,17.180117,16.882383,16.851477,16.88307,16.617617,17.078297,18.328983,
375.0155,17.287378,17.532474,17.281862,16.918505,16.637867,34.379291,17.119485,17.045342,17.180148,16.430148,16.905026,16.981617,17.49326,17.243872,16.919117,16.893995,17.157474,16.832107,16.968138,18.481617,
375.2970,17.414827,17.246449,17.3125,16.852819,16.95012,33.720225,17.182965,17.231862,16.804414,16.481862,16.950612,17.213724,17.46875,17.490439,17.071077,16.986396,17.619482,17.062008,16.9375,18.526715,
375.5786,17.32429,16.649753,17.284198,16.73054,17.254722,33.002346,17.130895,17.193395,16.580185,16.698117,17.08196,17.36321,17.525355,17.474645,17.150355,17.056605,18.027129,17.065448,17.220525,18.41804,
375.8601,16.983783,17.042001,17.251367,16.8084,17.0123,32.429482,16.885933,16.978316,16.950984,17.704902,16.735149,17.10605,17.650784,16.871082,16.767766,16.733783,16.508564,16.853316,16.562682,19.153335,
376.1417,17.094791,17.030209,17.310626,16.907083,16.875,32.123334,16.626249,17.063541,17.066457,16.778751,16.751041,17.093958,17.562708,17.156875,16.940624,16.845624,16.877707,16.936667,16.751666,19.09375,
376.4233,17.273099,16.894545,17.038357,17.038357,16.876777,31.84124,16.840929,17.21875,17.665134,16.447117,16.909804,17.125,17.59375,17.257107,17.408027,17.144545,17.279473,16.808946,17,19.08842,
376.7048,17.642892,17.238786,17.152911,17.15625,16.912929,31.257874,17.302482,17.208732,17.75907,17.161733,16.982108,17.118321,17.600429,17.344945,17.350676,17.462071,17.216606,16.743321,16.973285,18.913176,
376.9864,17.570418,17.450314,17.120104,17.141562,16.978542,30.949893,17.159998,17.110312,17.253748,17.405103,17.088854,17.072292,17.65625,17.059478,16.571144,17.367082,16.893436,16.667916,16.735312,18.050413,
377.2679,17.76191,17.700393,17.042178,17.049607,17.024803,30.292178,16.798624,16.999017,16.860142,17.023821,17.023821,17.125,17.649803,16.868553,16.268357,17.220715,16.682036,16.536714,16.733608,17.351179,
377.5495,17.703482,17.742009,16.803794,16.952053,16.992009,29.997857,16.680938,16.906964,16.474598,16.986875,16.882991,17.117009,17.640982,16.891697,16.210759,17.580625,16.829197,16.397544,17.135134,17.651831,
377.8311,17.769059,17.661572,16.706559,16.879208,16.844864,29.518626,16.881869,17.104827,16.409344,17.188614,16.858601,17.169988,17.544554,17.04078,16.225619,17.610829,16.863923,16.300309,17.294554,17.950804,
378.1126,17.867812,17.542312,16.716813,16.987001,16.529313,28.918689,16.990875,17.299501,16.921186,16.873063,16.761062,17.376937,17.262999,17.117812,16.400999,16.771565,16.680312,16.443311,17.001937,17.647125,
378.3942,17.943572,17.524733,16.631072,16.931428,16.443572,28.694017,16.993483,17.193572,17.112856,16.837678,16.844195,17.4375,17.293394,17.243928,16.763924,16.443572,16.856784,16.650178,17.150623,17.674911,
