,Live Spectrum 10-11-2023 10:09:49 - Spikes removed,Live Spectrum 10-11-2023 10:09:59 - Spikes removed,Live Spectrum 10-11-2023 10:10:00 - Spikes removed,Live Spectrum 10-11-2023 10:10:01 - Spikes removed,Live Spectrum 10-11-2023 10:10:02 - Spikes removed,Live Spectrum 10-11-2023 10:10:04 - Spikes removed,Live Spectrum 10-11-2023 10:10:05 - Spikes removed,Live Spectrum 10-11-2023 10:10:06 - Spikes removed,Live Spectrum 10-11-2023 10:10:07 - Spikes removed,Live Spectrum 10-11-2023 10:10:08 - Spikes removed,Live Spectrum 10-11-2023 10:10:09 - Spikes removed,Live Spectrum 10-11-2023 10:10:10 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,21.34375,20.15625,20.3125,19.78125,20.3125,19.71875,20.03125,19.625,19.625,20.5,20.0625,20.53125,
361.2189,21.443921,20.14219,20.23281,19.57014,19.83993,19.72448,20.09375,19.69132,19.5217,20.46875,20.13073,20.4375,
361.5005,21.047247,20.40625,20.00307,19.767579,19.842263,19.843006,20.124256,19.814826,19.447453,20.484003,20.245443,20.498513,
361.7821,20.988891,20.41196,20.341361,20.423691,20.395452,20.159572,20.395141,20.418292,20.048691,20.628011,20.4375,20.897529,
362.0636,21.45436,20.505903,20.886806,20.796451,20.974653,20.677353,20.761806,21.183256,20.581057,20.842052,20.536304,20.741551,
362.3452,22.320276,20.842042,21.416824,20.910138,21.130596,21.060792,21.253888,21.70367,21.229324,21.088154,21.071365,20.945276,
362.6267,22.647722,21.386305,21.701694,21.221555,21.034083,21.34375,21.485778,21.857944,21.502833,21.309639,21.775527,21.431777,
362.9083,22.819817,22.055457,22.045883,21.645548,21.305457,21.648078,21.677927,21.567013,21.469878,21.574603,22.675943,21.776463,
363.1899,23.075479,22.796622,22.708165,22.251335,22.1221,22.288936,21.991532,21.651233,21.736239,21.990473,23.529133,21.91817,
363.4714,23.25797,23.518596,23.455082,22.857033,22.755313,22.938129,22.555159,22.637269,22.427502,22.603362,23.49203,22.285549,
363.7530,23.418967,23.869185,24.263804,23.244456,23.056956,23.694945,23.207391,23.012717,23.069945,23.194673,23.876358,23.06413,
364.0346,24.02627,24.34043,24.583149,23.881174,23.817567,24.464323,23.778483,23.289638,23.90127,23.922472,24.37334,24.098264,
364.3161,25.099543,25.295806,24.998515,24.867069,24.552252,25.168489,24.342265,24.260754,24.727187,24.817135,24.648646,24.9547,
364.5977,26.451948,26.298988,25.229206,25.521028,25.034891,25.805803,25.035008,25.10444,25.399553,25.40296,25.180803,25.739895,
364.8792,27.194443,26.578431,25.406862,25.546569,26.04003,26.355799,25.68423,25.302287,25.7404,25.630719,26.070667,25.932394,
365.1608,27.309212,27.152998,26.647407,26.398085,26.973735,25.850289,26.284573,25.787861,26.648085,26.299385,26.777998,25.993425,
365.4424,28.533261,27.546271,26.933626,27.333691,26.407457,26.22787,27.207215,26.528567,26.660676,26.345225,27.141497,26.297747,
365.7239,29.560517,28.004626,27.695761,28.287528,27.082988,27.103333,27.909554,27.510574,27.16352,27.320761,27.536537,27.073074,
366.0055,29.415461,28.446018,28.483657,28.889907,29.019166,28.025554,28.229398,28.568145,27.899118,28.157636,28.050416,28.10935,
366.2870,30.117794,28.5978,28.738489,29.160428,29.163583,28.422067,28.473056,29.543144,28.730772,29.117539,28.351722,28.800989,
366.5686,31.298963,29.077799,29.259297,29.790547,28.509297,29.024009,29.27042,29.895127,29.369879,29.924257,28.81909,29.241878,
366.8502,31.922523,30.417049,30.28456,30.785857,29.669352,30.616933,29.871111,30.154954,30.085972,31.053426,29.904664,29.744815,
367.1317,32.134335,31.038105,30.872593,31.556702,31.111144,31.64232,29.971011,30.268524,30.628464,31.320485,30.565964,30.495479,
367.4133,32.838233,30.676462,30.422787,31.534925,31.198534,31.334558,30.170941,30.477937,30.794112,30.76102,30.963224,31.077213,
367.6949,33.332539,31.791399,31.27571,31.93763,31.06685,31.797069,31.906509,31.484699,31.653609,31.76292,31.96598,30.82542,
367.9764,34.132478,32.539311,31.98055,32.445561,32.02734,32.915306,32.602394,32.805434,32.615773,32.303856,32.362034,31.93359,
368.2580,34.744389,32.851762,32.655981,33.067572,33.317572,33.956194,32.289531,33.107372,33.097756,32.698182,32.937231,33.012017,
368.5395,35.185164,33.373905,33.360689,34.090319,33.853388,34.393034,32.305345,33.621569,33.34981,33.09981,33.227147,33.786215,
368.8211,35.26467,34.43557,33.50638,34.5,33.82717,34.46556,32.89221,34.5255,33.84438,34.20725,32.9898,34.37372,
369.1027,35.197251,35.207239,33.029014,34.22051,34.168236,34.650495,33.392742,34.447013,34.470986,35.275733,33.240487,33.532534,
369.3842,35.744833,36.272638,34.399637,35.208415,34.529528,35.322527,34.24311,34.536694,35.004583,35.732222,35.008581,34.696081,
369.6658,36.511094,36.942894,34.9375,35.868078,35.491549,35.730761,34.72445,35.348227,35.34945,35.612989,35.33805,35.823594,
369.9473,37.37578,36.977951,35.283941,36.124045,36.571527,35.994444,34.994444,36.25078,36.019183,35.828993,35.387847,36.368489,
370.2289,37.755181,36.713569,35.882465,36.042836,36.548629,36.399845,35.428198,36.516767,36.465241,36.470422,35.831551,36.35244,
370.5105,37.480737,37.108219,36.147859,36.421917,36.350942,36.677911,36.310187,36.951969,37.611899,36.08048,36.385873,36.644263,
370.7920,37.285193,37.219243,35.882394,36.752465,36.82778,36.63338,36.502957,37.381408,37.910686,35.451302,36.411179,36.72713,
371.0736,37.555209,37.265246,36.35464,36.882291,37.818277,37.164962,36.672254,37.783428,38.1875,36.39091,36.71875,37.223863,
371.3552,37.851858,37.569032,36.573283,36.500788,38.270073,37.423959,36.530462,37.88964,38.210642,37.422072,36.815175,37.036993,
371.6367,37.676441,38.209364,36.999745,36.134386,37.913453,38.393262,37.012988,38.315846,38.286525,37.340149,37.5,38.121143,
371.9183,37.675374,37.810234,36.576893,36.634264,37.584287,38.137126,37.297909,37.714019,37.687897,37.598283,37.665514,37.726145,
372.1998,37.640048,37.390048,36.394728,37.098934,37.175474,37.862471,37.429651,37.558324,37.000504,38.048963,38.209893,37.295794,
372.4814,36.851719,36.938065,35.780968,36.896022,36.87613,37.614772,37.104261,37.59488,36.696599,37.95711,38.124435,37.021586,
372.7630,36.093641,36.940912,35.633638,36.779435,37.003412,37.473868,37.161476,37.685685,36.126597,37.468641,37.732506,37.272612,
373.0445,35.763801,36.694797,35.624206,36.241436,36.633091,36.99429,36.928936,37.051081,35.618497,36.641976,37.257297,37.033631,
373.3261,35.78125,36.393454,35.734941,35.458217,36.082085,36.53389,35.929607,36.253772,35.639305,35.768831,37.094881,36.006789,
373.6076,35.78125,36.41224,35.994688,34.877656,35.442812,35.800519,35.776165,35.544981,36.00599,35.994915,37.08533,36.222537,
373.8892,35.538286,36.045625,35.764073,34.675242,34.944536,34.945141,35.626815,34.620686,35.82627,36.275423,36.614254,36.594657,
374.1708,34.7861,34.884589,35.132897,34.218862,34.273578,34.493795,34.722021,33.995374,35.196976,35.903204,35.498645,35.837657,
374.4523,33.701615,34.205732,34.661896,32.991765,33.210946,34.05556,34.327909,33.677737,34.473964,35.048619,34.589632,34.807951,
374.7339,33.23386,34.046703,34.24897,32.63307,32.710337,33.97682,33.951923,34.15831,33.873627,34.25601,34.30443,34.170673,
375.0155,33.08701,33.654413,33.503066,32.832107,32.806985,33.673408,33.215689,33.916668,33.197306,33.616424,34.256128,33.735908,
375.2970,32.822061,33.161768,32.969733,33.008577,32.496449,33.246449,32.76863,33.465199,33.0625,33.152699,33.608829,33.95012,
375.5786,32.186898,32.188071,32.90625,32.012362,31.560124,33.045988,32.633843,33.17983,32.892685,32.839028,33.047161,33.632068,
375.8601,32.184767,32.0041,32.218932,31.846483,31.797467,31.955448,31.579082,32.439049,32.78535,32.125182,32.91035,32.786899,
376.1417,31.87146,31.684585,31.74646,31.900003,31.463961,32.249375,30.470416,32.183335,32.026461,31.559585,32.150419,31.683752,
376.4233,31.302883,31.214464,31.188544,30.933214,30.746446,32.102945,30.731188,31.537624,31.287624,31.114339,31.252821,31.121446,
376.7048,30.581588,30.601624,30.63073,30.323714,30.717555,31.138605,30.787227,31.081588,30.885018,30.930821,30.78125,31.075858,
376.9864,30.150207,30.362186,30.028955,30.024059,30.753328,30.414894,29.472498,30.611039,30.900207,30.742809,30.73229,31.074893,
377.2679,29.755464,30.112107,29.305071,29.067532,29.419694,30.034749,29.220715,30.037697,30.389426,29.953892,30.410731,30.404285,
377.5495,29.592321,30.086473,29.164241,28.132991,28.933795,29.559642,29.300937,29.926651,29.747857,29.624286,30.035669,30.188214,
377.8311,29.025062,30.051423,29.092203,28.318255,29.287686,29.206559,28.783911,29.445483,29.259096,29.617017,29.450804,29.976299,
378.1126,28.089876,29.646565,28.808626,28.654313,28.786501,29.095127,28.685563,29.150439,28.714876,29.790375,29.235623,29.192751,
378.3942,28.119818,29.091969,28.574199,28.543394,28.373219,28.522952,28.448754,28.792504,28.606339,29.321973,28.959117,28.842415,
378.6758,28.400189,28.492994,28.222823,28.158335,27.534378,27.811555,27.975854,28.333713,28.582671,28.433524,27.826707,28.350854,
378.9573,28.29688,27.87501,27.796881,27.640629,26.953125,27.234382,27.71875,27.796883,28.250008,27.95313,27.343749,28.062501,
379.2389,27.713798,27.102914,27.388149,27.534267,26.971767,26.931466,27.753017,27.191598,27.31768,27.78125,27.083732,27.928449,
379.5204,27.244545,26.489091,27.088295,27.338863,27.037273,26.651363,27.594886,26.47159,26.445795,27.594886,26.694659,27.84375,
379.8020,27.15625,26.453434,26.959733,26.905632,26.901433,26.520133,27.045948,25.934782,26.15835,27.186882,27.036686,27.823617,
380.0836,26.788632,25.796014,26.569882,26.295884,26.57463,26.639373,26.704377,26.439613,26.622366,27.117748,27.367748,27.034015,
380.3651,26.925428,26.000277,26.221371,25.723992,26.49186,26.410182,26.748689,26.372102,26.589542,26.647833,27.198261,26.895489,
380.6467,27.055839,26.728463,25.934947,25.347858,26.549178,25.943661,26.510768,26.077875,26.081983,25.952376,26.829929,26.870393,
380.9282,26.541245,26.770749,25.770749,25.359438,26.432186,25.869813,26.046559,25.770622,25.760248,25.656123,26.593623,26.348558,
381.2098,25.611587,25.951618,25.584817,25.622774,26.130946,25.875,25.363081,25.360854,25.608628,25.377226,26.039422,25.919635,
381.4914,25.210078,25.118944,25.330562,25.743227,25.658866,25.701047,25.28125,24.848624,25.622742,24.82189,25.823789,25.932984,
381.7729,25.065707,24.636225,24.520846,25.689104,25.442311,25.474362,25.159457,24.995189,25.472759,24.78125,24.868605,26.089741,
382.0545,24.79759,24.735738,23.862549,25.389395,25.555369,25.197224,24.766206,25.275416,25.142637,25.056017,24.578706,25.575465,
382.3360,24.112581,24.075054,24.726984,24.562365,25.189457,25.649973,25.476849,24.997908,24.502092,24.743723,25.31655,26.139376,
382.6176,24.254959,24.204102,24.307393,24.079102,24.703576,25.498949,24.637546,24.91226,24.513597,24.620944,24.884541,25.334586,
382.8992,23.23309,23.704783,23.471693,23.748529,24.02923,24.940443,24.004963,24.414156,24.379963,24.313971,24.419119,24.21673,
383.1807,22.972245,22.904852,23.226538,23.861521,23.629992,24.61861,23.929013,24.176118,24.323183,24.105132,24.111521,23.86861,
383.4623,23.515643,22.726546,23.624972,23.539096,23.453114,24.59375,23.414089,24.382811,23.914082,23.7969,23.859393,23.835939,
383.7439,23.078281,22.9375,23.833934,22.909233,23.575298,24.3262,22.942564,24.341669,23.416377,23.321136,23.431257,23.775597,
384.0254,22.721373,22.809877,23.107807,22.479385,23.520615,23.315266,22.603074,24.027971,22.716127,22.947479,22.830492,23.634324,
384.3070,23.004867,22.490267,22.300205,22.247183,22.994366,22.690061,22.150872,23.441855,22.46875,23.098873,22.682889,23.459017,
384.5885,23.183431,22.361563,22.165618,21.830313,22.52342,22.937808,21.607187,22.946253,22.361255,23.245008,22.780942,23.195945,
384.8701,23.150973,22.180631,22.210289,21.693868,22.864947,22.751091,21.580513,22.57842,22.025973,22.73467,22.478302,22.658933,
385.1517,22.613191,22,21.867915,21.594931,22.328398,22.033295,21.417742,22.055415,21.666561,22.22788,22.346112,22.119095,
385.4332,21.94298,21.841634,21.405961,21.607404,21.603172,21.423557,21.118942,21.857404,21.355288,21.763365,22.388654,21.722403,
385.7148,21.751106,21.585951,21.149557,21.44198,21.609348,21.351549,20.854922,21.900664,21.123894,21.512279,22.318086,21.569193,
385.9963,21.873522,21.357616,20.880913,21.038641,21.496481,21.478181,20.618525,21.327282,21.103181,21.398297,22.220228,20.963191,
386.2779,21.797729,21.368067,20.272506,20.701366,21.083298,21.434887,20.618067,20.370575,21.211817,21.34375,22.209204,20.603296,
386.5595,21.404065,20.691319,20.892743,20.763374,21.176311,21.383188,20.379502,20.301311,21.688184,21.574373,21.642192,21.008871,
386.8410,21.061518,20.315427,21.260744,20.666012,20.88378,21.00878,20.452153,20.594732,21.624018,21.460933,21.559573,21.327153,
387.1226,20.845432,20.152443,20.972114,20.444671,20.575159,20.287978,20.5,20.553205,21.459455,21.148637,21.59375,21.323477,
387.4042,20.649886,20.585741,20.608124,20.324943,20.477045,20.400172,20.337386,20.477045,21.32909,20.822726,21.160112,21.149886,
387.6857,20.539687,20.514061,20.278122,19.971246,20.241247,20.494376,20.170311,20.241247,20.65843,20.354683,20.297491,20.669995,
387.9673,20.53125,20.142789,20.279768,19.907732,19.772236,20.351162,20.007412,19.742468,20.296074,20.014824,20.069912,20.357091,
388.2488,20.313607,20.000633,19.690506,19.844066,19.967643,19.815189,19.968908,19.563291,19.441771,19.533623,20.093592,20.219383,
388.5304,20.525449,20.308944,19.131961,19.964109,20.315981,19.494274,20.141168,19.464109,19.236153,19.549813,20.421257,20.178219,
388.8120,20.370054,19.418615,19.327338,19.821493,20.398831,20.158723,19.762365,19.346223,19.71223,20.026304,20.004946,19.949865,
389.0935,20.270918,19.577621,19.51134,19.517138,20.289819,20.1875,19.91759,19.393901,19.981099,19.942289,19.994458,20.09753,
389.3751,19.963668,19.682418,19.548014,19.1875,20.140245,20.172255,19.979673,19.541413,19.777687,19.709346,19.479673,20.104673,
389.6566,19.860966,19.605228,19.261478,19.206633,20.148594,20.106506,19.804844,19.574617,19.418367,19.512756,19.285711,19.923466,
389.9382,19.5625,19.352572,19.0625,19.258245,19.882668,20.11024,19.492909,19.438654,19.382091,19.5625,18.89149,19.548317,
390.2198,19.544594,19.241219,19.259471,19.133781,19.888344,19.906077,19.383953,19.232094,19.338842,19.607266,18.812673,19.419939,
390.5013,19.540931,19.456861,19.831861,18.938604,19.833517,19.59651,19.436948,19.136337,18.732847,19.677819,19.091542,19.738663,
390.7829,19.648013,19.314324,19.873428,19.019617,19.628396,19.166185,19.384935,19.088783,18.8418,19.490191,19.401283,19.924296,
391.0645,19.66195,18.794025,19.490177,19.34945,19.3636,19.198698,19.225825,19.353573,19.635026,19.376374,19.436126,19.973076,
391.3460,19.610962,18.826538,19.081547,19.115972,19.577877,19.587401,19.225099,19.46741,19.187995,19.524901,19.273561,19.703373,
391.6276,19.59375,18.78257,18.691459,18.706754,19.81118,19.533889,19.079775,19.083074,18.950816,19.486684,19.202795,19.485365,
391.9091,19.527562,18.71875,18.682017,18.564344,19.593702,19.257327,18.536685,18.876844,19.194876,19.391547,19.284938,19.404406,
392.1907,19.504337,18.523023,18.89713,18.771683,19.059056,19.160587,17.982653,18.995217,19.41926,19.530803,19.201403,19.232653,
392.4723,19.512216,18.336931,19.127843,18.753976,18.919887,19.073294,17.798863,18.948294,19.385794,19.605966,19.055681,18.953692,
392.7538,19.317573,18.150342,19.554046,18.250856,19.272796,18.736494,17.790539,18.591224,19.109803,19.269435,18.950171,18.661323,
393.0354,19.19725,18.83649,19.890748,18.00975,18.921507,19.023744,18.199495,18.738496,18.656005,19.07225,18.734252,18.132506,
393.3169,18.960257,18.960257,19.65061,18.227243,18.823846,19.468717,18.261379,19.124967,18.5,19.085224,18.997114,18.119294,
393.5985,18.683453,18.755283,19.219986,18.551934,18.755283,19.035745,18.242693,19.242693,18.35634,18.854316,19.101057,18.474821,
