,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.03125,17.1875,16.65625,17.21875,16.75,17.46875,17.09375,17.09375,16.75,16.96875,
361.2189,16.635241,17.06059,16.82205,16.81059,16.53125,17.14288,17.1467,17.1467,16.80677,16.55677,
361.5005,16.316313,17.015997,16.972563,16.800317,16.569383,16.91462,16.98856,16.98856,16.75307,16.476377,
361.7821,16.378011,16.860569,17.034261,16.95463,16.895141,16.801391,16.89483,16.89483,17.01142,16.599771,
362.0636,16.584452,16.641049,17.1875,16.955247,17.033796,17.061651,16.866551,16.866551,17.100502,16.91385,
362.3452,16.759484,16.660138,17.196984,16.728234,16.712064,17.137282,16.98492,16.98492,17.161846,16.9375,
362.6267,16.758528,16.880667,17.184667,16.840889,16.681805,17.09375,17.105111,17.105111,16.917639,16.971583,
362.9083,16.71875,17.013232,17.032378,16.973537,16.913567,17.01436,16.979452,16.979452,16.824603,17.044482,
363.1899,16.703654,16.895388,17.072303,17.04317,17.184324,16.996824,16.856729,16.856729,16.86308,17.002117,
363.4714,16.670547,16.733047,17.419533,17.224063,17.264297,17.178516,16.98836,16.98836,16.580467,16.971407,
363.7530,16.581033,16.624728,17.581304,17.243641,17.061957,17.137174,17.050054,17.050054,16.399891,17.206848,
364.0346,16.428006,16.665744,17.098177,17.053559,16.978798,16.959256,16.938607,16.938607,16.436947,17.364399,
364.3161,16.330026,16.786211,16.61888,16.878802,17.089948,16.883763,16.852513,16.852513,16.581185,17.375,
364.5977,16.385456,16.909774,16.628524,16.770794,17.027726,16.923637,16.941024,16.941024,16.527726,16.961585,
364.8792,16.510825,16.859069,16.813112,16.828431,16.555557,17.042075,17.151756,17.151756,16.578431,16.451594,
365.1608,16.363476,16.871712,17.291148,16.815788,17.16781,16.726951,17.495086,17.495086,16.677637,16.934248,
365.4424,16.581947,16.934549,17.284201,16.931599,17.220225,16.747049,17.620574,17.620574,16.836373,16.702253,
365.7239,16.970072,16.966767,17.18717,17.063491,17.281911,16.720072,17.21908,17.21908,17.032241,16.501322,
366.0055,17.089491,16.77912,17.15838,17.15838,17.34588,16.830973,17.226575,17.226575,17.118611,16.633518,
366.2870,17.046939,16.734311,17.1875,17.191422,17.371078,16.668017,16.90625,16.90625,16.99595,16.726467,
366.5686,17.11629,16.659251,17.130415,17.213041,17.309499,16.692915,16.889124,16.889124,16.687206,16.5625,
366.8502,16.959965,16.849942,16.912442,17.209965,17.133785,16.452477,16.857431,16.857431,16.353831,16.65985,
367.1317,16.994202,16.931702,16.827487,17.160844,16.988404,16.490738,16.86107,16.86107,16.409787,16.885392,
367.4133,16.983454,16.854779,16.354779,17.018379,16.878675,16.479779,16.696687,16.696687,16.981617,16.742646,
367.6949,16.88199,16.93895,16.57964,17.31962,17.10232,16.44884,17.02558,17.02558,17.04971,16.89491,
367.9764,16.40035,17.074883,16.933178,17.258644,17.322722,16.375,17.004322,17.004322,17.045794,17.085106,
368.2580,16.266293,17.125,17.032585,17.092415,17.389957,16.342415,16.774574,16.774574,16.981037,17.235043,
368.5395,16.479629,17.179103,17.080534,17.22481,17.158586,16.3125,16.570897,16.570897,16.816078,17.231966,
368.8211,16.58546,17.23852,17.03444,17.28444,16.98023,16.43112,16.8278,16.8278,16.59184,17.1199,
369.1027,16.519502,17.207002,17,17.013508,16.839755,16.564498,17.150495,17.150495,16.671994,17.019502,
369.3842,16.639333,16.7695,17,16.929472,16.804472,16.825972,17.125861,17.125861,16.866111,17.185778,
369.6658,16.812194,16.774633,17,17.186889,16.787561,17.080822,17.043872,17.043872,16.731678,17.200122,
369.9473,16.84375,16.865799,17.026649,17.596441,16.994444,17.444791,16.898004,16.898004,16.847396,17.107552,
370.2289,16.75869,16.875,17.087957,17.74131,17.144664,17.443293,16.704879,16.704879,17.158534,17.09375,
370.5105,16.870205,16.875,16.943493,17.539641,17.246404,17.377397,16.777654,16.777654,17.1875,17.123801,
370.7920,16.910686,16.780757,16.936021,17.215793,17.437993,17.21875,16.818415,16.818415,17.28125,16.999014,
371.0736,17.202746,16.736932,16.856818,17.024716,17.46875,17.214394,17.194034,17.194034,17.287784,16.930966,
371.3552,17.410107,16.604927,17.023536,16.9375,17.407038,17.148536,17.261965,17.261965,17.367286,16.901605,
371.6367,17.409851,16.878601,16.957691,16.954089,16.952161,17.104809,17.163708,17.163708,17.295911,17.295911,
371.9183,17.230876,16.742804,16.96382,16.966484,16.795841,17.091484,17.365339,17.365339,17.240339,17.168376,
372.1998,17.044787,16.763033,17.173963,16.714574,16.58439,16.892713,17.41093,17.41093,17.277074,16.938004,
372.4814,16.936935,16.990619,17.21875,16.530403,16.655685,16.832392,17.175577,17.175577,17.166478,16.770739,
372.7630,16.836818,17.194432,17.121479,16.392385,16.628521,16.637159,16.795115,16.795115,17.149318,16.701365,
373.0445,16.944003,17.073446,16.830743,16.496351,16.698446,16.683851,16.71875,16.71875,17.256503,16.721605,
373.3261,17.077559,16.891568,16.548195,16.608432,16.532004,16.765059,16.780496,16.780496,17.328314,16.874623,
373.6076,17.193264,17.085556,16.881217,16.448576,16.46875,17.000226,17.133872,17.133872,17.175972,16.974514,
373.8892,17.119173,17.275121,17.025726,16.25,16.543508,16.988044,17.281552,17.281552,17.118569,17.04994,
374.1708,16.929716,17.310921,16.875,16.290614,16.695284,16.935921,17.137522,17.137522,17.257784,17.042193,
374.4523,16.787327,17.299914,17.072263,16.290582,16.75,17.078341,17.027996,17.027996,17.268664,17.162759,
374.7339,17.008757,17.116587,17.273867,16.91638,16.75,17.219093,17.023523,17.023523,17.438187,17.336367,
