,Live Spectrum 10-11-2023 10:08:46 - Spikes removed,Live Spectrum 10-11-2023 10:08:50 - Spikes removed,Live Spectrum 10-11-2023 10:08:51 - Spikes removed,Live Spectrum 10-11-2023 10:08:52 - Spikes removed,Live Spectrum 10-11-2023 10:08:54 - Spikes removed,Live Spectrum 10-11-2023 10:08:55 - Spikes removed,Live Spectrum 10-11-2023 10:08:56 - Spikes removed,Live Spectrum 10-11-2023 10:08:57 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.03125,16.65625,16.8125,16.96875,17.21875,17.4375,17.21875,16.34375,
361.2189,17.15625,16.79271,16.56632,16.8967,16.89861,17.29722,16.914581,16.633859,
361.5005,17.152437,16.953497,16.632627,16.734747,16.788877,17.0625,16.558687,17.26144,
361.7821,17.13642,16.929401,16.733181,16.59645,16.85517,17.04537,16.5598,17.309489,
362.0636,17.149498,17.3049,17.005903,16.521952,16.89865,17.021952,16.748302,17.110648,
362.3452,17.021766,17.42351,17.228234,16.696984,16.893968,17.149564,16.975436,16.92133,
362.6267,16.965917,17.818167,17.25,16.752833,16.869333,17.0625,17.051139,16.823861,
362.9083,17.104725,17.567013,17.09122,16.693415,16.67061,17.14189,16.79308,16.76436,
363.1899,17.329713,17.077596,16.935383,16.682207,16.698362,17.234904,16.664994,16.671346,
363.4714,17.23039,17.178516,17.033907,16.860703,16.996329,17.303516,17.027579,16.823126,
363.7530,17.206304,17.174783,17.137717,16.893804,16.880544,17.356196,17.231467,16.918696,
364.0346,17.053559,17.021756,17.084256,16.72041,16.801346,17.281803,17.033463,16.864952,
364.3161,17.103672,17.058698,17.03125,16.557539,17.06862,17.092591,16.928737,16.753802,
364.5977,17.131931,17.118069,16.933976,16.555569,17.131931,16.958294,17.132048,16.694431,
364.8792,17.151144,17.33415,16.775531,16.745506,16.941994,16.885213,17.39665,16.582925,
365.1608,16.848664,17.039451,16.582226,16.138115,17.297724,16.539451,17.073989,16.590462,
365.4424,16.782725,16.851127,16.651824,15.943401,17.135327,16.708423,16.793053,16.742623,
365.7239,16.780589,16.71842,16.876322,16.03125,17.061178,16.876983,16.564152,17.001652,
366.0055,16.693196,16.676852,16.993611,16.050416,16.950277,17.051852,16.729398,17.160509,
366.2870,16.331983,16.570472,16.910172,16.351722,17.132844,16.90625,16.886767,17.210906,
366.5686,16.301377,16.878001,16.948917,16.647834,17.216043,16.923376,16.957333,17.127707,
366.8502,16.553715,17.076181,16.992512,16.787442,17.313796,17.044931,16.891273,16.962558,
367.1317,16.810239,17.07982,16.802035,16.795106,17.376203,17.215286,16.741868,16.871536,
367.4133,17.194854,16.683825,16.615804,16.608454,17.584563,17.259192,16.488971,16.80515,
367.6949,17.00422,16.61366,17.28138,16.72442,17.11498,17.16759,16.5327,16.53692,
367.9764,16.918633,16.891123,17.6875,16.643867,16.845911,17.064661,16.741356,16.747256,
368.2580,16.936165,17.059829,17.508281,16.512287,16.845085,16.949787,17.005341,17.129006,
368.5395,16.924284,16.747517,17.18144,16.401431,16.965172,16.838931,17.143034,17.074474,
368.8211,16.56187,16.42411,16.88457,16.41454,17.05102,16.89158,17.03763,16.85013,
369.1027,16.279252,16.408248,16.78125,16.587995,16.976503,16.894502,16.775257,16.974743,
369.3842,16.830555,17.157388,16.456139,16.795583,17.1465,16.619556,16.246278,16.8535,
369.6658,16.981372,17.206739,16.5682,16.968444,17.21875,16.655944,16.517711,16.881005,
369.9473,16.96875,17.076302,16.971441,17.079948,17.138802,16.900694,17.131336,16.90625,
370.2289,17.025457,17.034147,17.314784,17.17881,17.323474,16.795733,16.850155,16.849543,
370.5105,17.091353,17.03125,17.463955,17.127397,17.433904,16.751199,17.052911,16.633391,
370.7920,17.093257,17.093257,17.373028,17.05905,17.49655,16.655757,17.156743,16.750986,
