,Live Spectrum 10-11-2023 10:06:14 - Spikes removed,Live Spectrum 10-11-2023 10:06:20 - Spikes removed,Live Spectrum 10-11-2023 10:06:21 - Spikes removed,Live Spectrum 10-11-2023 10:06:22 - Spikes removed,Live Spectrum 10-11-2023 10:06:27 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,
360.9374,17.34375,17.09375,17.5,16.71875,16.5625,
361.2189,17.07847,16.96684,17.23472,16.88455,16.66389,
361.5005,16.847563,16.952753,16.984747,17.038877,16.773623,
361.7821,16.909261,17.108181,16.920681,17.09375,16.73588,
362.0636,17.108102,17.327701,17.140201,17.063349,16.782099,
362.3452,17.193096,17.356032,17.28234,16.864426,16.73492,
362.6267,16.982972,17.267056,17.431833,16.602278,16.889194,
362.9083,16.989298,17.134573,17.299268,16.681585,17.074603,
363.1899,17.1875,17.032309,17.251059,16.84375,17.173463,
363.4714,17.170547,17.118673,17.184843,16.877657,16.989374,
363.7530,17.099837,17.275163,17.193859,17.03788,16.893804,
364.0346,16.773416,17.271202,17.280697,17.166298,17.009494,
364.3161,16.804896,17.317461,17.447422,17.165013,17.129961,
364.5977,16.826363,17.34375,17.5,17.083294,17.034657,
364.8792,16.838644,17.396037,17.630719,17.036356,17.026144,
365.1608,16.675976,17.208854,17.292739,17.115137,16.9194,
365.4424,16.65625,17.155456,17.279775,16.976127,16.90625,
365.7239,16.501983,17.12467,17.469741,16.87467,16.906911,
366.0055,16.698148,17.09375,17.543334,16.848009,16.97088,
366.2870,16.847672,17.109439,17.24595,16.90625,17.019611,
366.5686,16.886417,17.195916,17.005709,16.883416,17.184793,
366.8502,16.907546,17.056308,16.993808,16.743808,17.305012,
367.1317,16.969953,16.965286,17.078763,16.67131,17.225678,
367.4133,17.266546,16.998163,17.595587,16.825367,16.994488,
367.6949,17.04826,16.91192,17.65625,16.90625,16.65902,
367.9764,16.908411,16.933178,17.568983,16.920794,16.539311,
368.2580,16.907585,17.146634,17.436165,16.904915,16.754006,
368.5395,16.973569,17.317319,17.352147,16.947138,16.951957,
368.8211,17.01977,17.00766,17.21365,17.05931,16.97194,
369.1027,17.052749,16.554509,17.328244,17.244245,16.701008,
369.3842,17.0625,17.087721,17.220472,17.3125,16.38475,
369.6658,17.162255,17.063111,17.081433,17.3125,16.337439,
369.9473,17.320746,17.159896,17.089149,17.152604,16.476996,
370.2289,17.400457,17.612801,17.377284,17.380181,16.698474,
370.5105,16.985531,17.475942,17.766866,17.496404,16.869007,
370.7920,16.74655,17.242606,17.680599,17.339807,16.682078,
371.0736,16.522538,16.78125,17.217329,17.08286,16.319791,
371.3552,16.44482,16.81982,16.815963,16.991498,16.088711,
371.6367,16.71875,17.08822,17.073559,17.397119,16.696631,
371.9183,16.697161,17.048107,17.081822,17.435234,16.629731,
372.1998,16.695853,17.02657,16.955213,17.059331,16.811996,
372.4814,16.980108,17.156815,16.978978,16.645739,16.979261,
372.7630,17.163182,17.329885,16.925341,16.807382,16.939206,
373.0445,17.097399,17.378649,16.768243,17.217956,16.63674,
373.3261,17.170555,17.312877,16.485695,17.297818,16.174327,
373.6076,17.264184,17.468976,16.579792,16.96276,16.395401,
373.8892,17.324758,17.419415,16.862137,16.75,16.675242,
374.1708,17.192238,16.95634,17.079648,16.790614,16.625,
374.4523,16.786896,16.671659,17.134332,16.659073,16.734591,
374.7339,16.562157,16.860233,17.148523,16.617273,16.92239,
375.0155,16.782474,17.063112,17.05576,16.52451,16.893383,
375.2970,17.084189,17.334189,16.977819,16.713724,16.741423,
375.5786,17.01179,17.459907,16.912145,16.919815,16.49233,
375.8601,16.970117,16.811316,17.205084,16.817966,16.767584,
376.1417,17.061042,16.782083,17.028959,17.095208,16.658124,
376.4233,16.84908,16.934679,16.683946,17.310723,16.930393,
376.7048,16.944179,17.412929,16.651715,17.261214,16.815839,
376.9864,16.990208,17.41979,16.928856,17.059478,16.824166,
377.2679,16.969733,17.15625,17.244536,16.907233,16.680071,
377.5495,17.085759,17.180223,17.383706,17.055223,16.499286,
