,Live Spectrum 10-11-2023 10:22:00 - Spikes removed,Live Spectrum 10-11-2023 10:22:01 - Spikes removed,Live Spectrum 10-11-2023 10:22:03 - Spikes removed,Live Spectrum 10-11-2023 10:22:07 - Spikes removed,Live Spectrum 10-11-2023 10:22:10 - Spikes removed,Live Spectrum 10-11-2023 10:22:12 - Spikes removed,Live Spectrum 10-11-2023 10:22:14 - Spikes removed,Live Spectrum 10-11-2023 10:22:16 - Spikes removed,Live Spectrum 10-11-2023 10:22:18 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,16.40625,17.1875,16.375,16.96875,17.5,16.9375,16.9375,17.25,17.1875,
361.2189,16.48212,17.1467,16.839239,17.135241,16.95347,16.875,16.73281,17.17604,17.09184,
361.5005,16.718006,16.980933,17.257627,16.785807,16.772136,16.894067,16.487817,16.992373,17.03962,
361.7821,16.988891,16.83233,17.249689,16.59946,17.201931,17.082641,16.687811,16.988891,16.89213,
362.0636,17.195949,16.77365,16.862346,16.693403,17.368248,17.3049,17.014352,17.264352,16.983951,
362.3452,17.058612,16.683612,16.521766,16.991606,17.183612,17.290734,17.118314,17.368314,17.059702,
362.6267,16.826722,16.508528,16.556805,17.267028,17.03125,17.221611,16.985806,17.201722,17.113639,
362.9083,16.780122,16.773078,16.762103,17.181312,16.978323,16.890488,17.184115,17.102195,17.133445,
363.1899,16.876059,17.112021,16.845867,16.965574,16.921346,16.716633,17.366256,17.337399,17.021447,
363.4714,16.94547,16.946484,16.916876,16.892967,16.920547,16.88297,16.918904,17.53125,16.84375,
363.7530,17.087663,16.912609,17.050054,16.862826,16.943859,17.137989,16.775163,17.305598,17.182228,
364.0346,17.166298,17.020096,17.0625,16.669065,16.865506,17.06416,16.957042,17.15625,17.59209,
364.3161,17.120039,17.107474,17.0625,16.598711,16.992396,16.901289,17.121198,17.38112,17.642526,
364.5977,16.899202,17.027726,17.208411,16.576363,17.159774,16.70477,16.961702,17.420113,17.381814,
364.8792,16.530026,16.947713,17.119281,16.588644,17.370506,16.577819,16.749388,17.144813,17.469362,
365.1608,17.111885,17.301011,16.506539,17.236885,16.763115,16.45065,16.578938,16.925976,16.884827,
365.4424,16.979077,17.373525,16.645923,17.133852,16.568401,16.348176,16.711373,16.995574,16.782725,
365.7239,16.967428,17.1875,16.96875,17.000991,16.784224,16.43717,16.970402,17.15625,16.875991,
366.0055,16.850139,17.198148,16.953843,17.110786,17.085925,16.423286,17.135648,17.147732,16.964491,
366.2870,16.968878,17.355517,16.722544,17.347672,17.40625,16.671939,17.269483,17.007717,16.94155,
366.5686,17.181791,17.403249,16.536959,17.363583,17.326331,16.826918,17.170374,16.849459,17.210334,
366.8502,17.178715,17.197581,16.5625,17.342454,16.946285,17.076181,17.108727,16.875,17.342454,
367.1317,17.138856,17.299847,16.553238,17.224475,16.810166,17.228012,17.082154,16.884262,17.418976,
367.4133,16.852942,17.816179,16.509192,16.685663,16.590075,17.238971,16.939337,16.90625,17.264709,
367.6949,16.86366,17.41469,16.5327,16.63779,16.44317,17.21875,17.02558,16.86788,16.98576,
367.9764,16.879322,17.112617,16.770445,16.699883,16.391706,17.189661,17.077044,16.841589,16.918633,
368.2580,16.763622,17.095085,17.002671,16.994389,16.472756,17.139957,16.78419,16.809829,17.033921,
368.5395,16.628578,17.125,17.098569,17.308922,16.72481,17.106966,16.445897,16.731966,17.183922,
368.8211,16.58227,17.20408,16.84822,17.23661,17.10076,17.03444,16.54464,16.71875,17.11161,
369.1027,16.722745,17.228501,16.515506,16.919758,17.314498,17.021499,16.753995,16.675752,16.880755,
369.3842,16.641917,16.986528,16.716166,17.114389,16.948973,16.82225,16.487389,16.672752,16.742833,
369.6658,16.793261,16.931189,16.662867,16.969361,16.712745,17.099144,16.449817,16.620638,16.843444,
369.9473,17.296788,17.070746,16.598351,16.852951,16.660851,17.214149,17.001736,16.628646,16.981597,
370.2289,17.119819,17.292224,16.650457,17.155638,16.599543,17.048629,17.292224,16.599543,17.255181,
370.5105,16.673031,17.492808,16.806507,17.728424,17.014469,17.121404,16.981935,16.383391,17.161045,
370.7920,16.564472,17.43405,16.998521,17.897378,16.966285,17.249014,16.936514,16.2847,17.093257,
371.0736,16.728883,17.194791,16.904072,17.317613,16.803788,17.161363,16.877178,16.519603,17.047254,
371.3552,17.277393,16.890428,16.859572,16.910895,16.722213,16.85107,16.894679,16.804392,16.828322,
371.6367,17.222351,17.033178,16.788708,16.560827,16.985339,17.125,16.751673,16.990869,16.71875,
371.9183,16.993002,17.216285,16.997535,16.865339,17.048107,17.110607,16.403984,17.09375,16.783516,
372.1998,16.62968,17.321357,17.084893,16.928643,16.955717,17.000504,16.205213,17.084893,17.017713,
372.4814,16.604543,17.333239,16.946881,16.874718,16.917326,16.864772,16.38664,16.957392,16.999435,
372.7630,16.723976,17.251706,16.743068,16.824659,17.232723,16.90625,16.753521,16.713524,16.753412,
373.0445,16.698446,17.073446,16.864054,17.009358,17.472399,16.892449,16.961453,16.683851,16.521098,
373.3261,16.562877,16.937877,17.107678,17.388551,17.252263,16.890436,17.077559,16.749623,16.422441,
373.6076,16.838438,16.701458,16.755085,17.101717,17.045434,16.73559,16.766613,16.832448,16.767519,
373.8892,17.018992,16.53125,16.455887,16.812198,17.068629,16.556371,16.393992,16.912379,17.131129,
374.1708,16.948443,16.653091,16.795239,16.956228,17.215591,16.551557,16.160988,17.039034,17.075022,
374.4523,16.981336,16.850259,16.915582,16.956164,17.259332,16.540582,16.106336,17.291013,16.877823,
374.7339,17.117617,17.023867,16.788633,16.913977,17.226477,16.554773,16.642513,17.492617,16.718407,
375.0155,17.131128,16.911765,16.775122,16.90625,17.143383,16.637867,16.91299,17.581495,16.813112,
375.2970,17.231862,17.008577,16.941543,16.959681,16.964707,17.003551,17.071077,17.620465,17.110905,
375.5786,17.193395,16.974645,17.166867,17.025355,16.767685,17.0625,17.235262,17.709907,17.241157,
375.8601,16.978316,17.387117,16.799016,17.091017,16.720117,17.0625,17.4293,16.970089,16.98105,
376.1417,16.906042,17.185834,16.84375,16.843958,16.96875,17.220208,17.061042,16.467396,17.030834,
376.4233,16.88033,16.935723,16.829535,16.887438,16.975857,17.4375,16.856188,16.15625,16.972304,
376.7048,16.952053,16.90625,16.573714,17.070374,17.090411,17.414124,16.989033,16.203002,17.03125,
376.9864,16.817396,16.925834,16.401354,16.821144,17.067396,17.213854,16.321144,16.608438,17.060626,
377.2679,16.830857,17.024803,16.413679,16.518357,17.106643,17.1875,16.076376,16.713286,17.212303,
377.5495,16.797232,16.976027,16.610447,16.548661,17.116294,17.219464,16.297947,16.788527,17.195491,
377.8311,16.872339,16.820483,16.873886,16.838428,17.057178,17.179084,16.4375,16.766399,17.113923,
378.1126,16.992812,16.591813,17.112001,16.924501,17.099001,16.852875,16.470687,16.841813,16.897125,
378.3942,17.055983,16.518661,16.930538,16.780805,16.912322,16.799911,16.644551,16.718305,16.950089,
378.6758,16.844793,16.5,16.78125,16.743939,16.832671,16.738921,16.911268,16.681439,17.039299,
378.9573,16.65625,16.796867,16.812499,16.765626,16.796875,16.749998,17.093748,16.890621,17.203123,
379.2389,16.810451,17.196551,16.980817,16.890084,16.743966,16.8639,17.173383,17.014117,17.384051,
379.5204,16.9375,17.28125,17.112386,16.919432,16.631591,17.055341,17.075682,17.018636,17.431477,
379.8020,16.716032,17.240983,17.205534,16.763216,16.674284,17.337451,16.979867,16.950716,17.245183,
380.0836,16.918119,17.132252,17.228375,16.653876,16.610627,17.178005,16.882252,16.90625,17.329247,
380.3651,16.923841,17.11686,16.895212,16.625,16.678049,17.08561,17.097958,17.068019,17.244481,
380.6467,16.629108,17.125,16.707482,16.403697,16.964642,17.09375,17.408803,16.903697,16.966197,
380.9282,16.536437,17.203188,16.817814,16.448001,17.135501,17.09375,17.416624,16.739499,17.062627,
381.2098,16.448659,17.108628,16.87128,16.578872,17.211311,17.148811,17.158476,16.553567,17.341524,
381.4914,16.640446,17.151734,16.643062,16.419797,17.305727,17.098266,16.86407,16.937141,17.490969,
381.7729,16.686698,17.125802,16.472759,16.162664,17.373396,17.124198,16.721957,16.816509,17.104173,
382.0545,16.905602,17.151064,16.846343,15.834541,17.577544,17.250648,16.779953,16.552128,16.779953,
382.3360,16.872908,16.916712,16.972935,16.332383,16.843885,17.272881,16.716658,16.0897,16.71875,
382.6176,16.826097,17.066031,17.027719,16.37853,17.28125,17.152719,16.701622,16.489934,16.697566,
382.8992,16.697426,17.118566,16.985111,16.676102,17.211767,17.139889,16.827389,16.641361,16.556066,
383.1807,16.75,17.288339,16.855132,16.845148,16.875699,17.21236,16.925419,16.473043,16.706669,
383.4623,16.773432,17.406257,16.625007,17.132804,17.039054,17.249986,17.015621,16.093757,16.78125,
383.7439,16.917557,17.257145,16.586605,17.240774,17.230057,17.4375,17.090178,16.083033,16.790476,
384.0254,17.104385,17.029283,16.750656,17.133668,17.331803,17.4375,17.188156,16.408873,16.823135,
384.3070,16.667521,16.915983,16.908811,16.872439,17.163422,17.2208,17.298156,16.800717,16.783555,
384.5885,16.071868,17.004376,16.780327,16.785934,17.138437,16.848126,17.254069,17.07156,16.633753,
384.8701,16.383461,17.072553,16.524882,17.02329,17.141421,16.871816,17.019605,17.302948,16.651474,
385.1517,16.725835,17.219931,16.996775,17.252362,17.141215,17.002362,16.905069,17.483785,16.75,
385.4332,16.783077,16.968461,17.17173,17.3125,17.173846,16.939327,16.716634,17.486346,16.785192,
385.7148,16.630586,16.712057,16.739989,17.350443,17.1875,16.919635,16.669635,17.386172,16.622787,
385.9963,16.451366,16.6875,16.510909,17.436022,17.268862,16.948409,16.759431,17.190456,16.540681,
386.2779,16.353296,16.796021,16.80386,17.555567,17.377613,16.9375,16.911476,17.016479,16.453979,
386.5595,16.758871,17.14356,16.753002,17.155566,16.945004,17.398746,16.530566,16.991812,16.498499,
