,Live Spectrum 10-11-2023 10:12:45 - Spikes removed,Live Spectrum 10-11-2023 10:12:47 - Spikes removed,Live Spectrum 10-11-2023 10:12:47 - Spikes removed,Live Spectrum 10-11-2023 10:12:48 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,
360.9374,16.46875,16.5,17.59375,16.59375,
361.2189,16.764589,16.67344,17.55868,16.51719,
361.5005,17.472563,16.94894,17.45424,16.785063,
361.7821,17.48287,17.05409,17.11358,16.78966,
362.0636,17.368248,17.125849,17.0549,16.672299,
362.3452,17.212064,16.993314,17.069186,16.653452,
362.6267,17.147722,16.883528,17.190333,16.730111,
362.9083,17.161037,17.00253,16.998598,16.895548,
363.1899,17.094809,17.203654,16.641154,16.912601,
363.4714,17.181173,17.051874,16.540234,16.701797,
363.7530,17.375272,16.899891,16.637989,16.6875,
364.0346,17.334256,16.771756,16.873893,16.811393,
364.3161,17.213789,16.741237,16.982474,17.009922,
364.5977,16.919996,16.774319,16.562266,16.673403,
364.8792,16.660744,16.755106,16.4375,16.510213,
365.1608,16.51315,16.63815,16.409538,16.779624,
365.4424,16.5,16.744099,16.376475,16.872049,
365.7239,16.532902,16.909885,16.439813,16.907241,
366.0055,16.704536,17.256389,16.690323,16.970187,
366.2870,16.925733,17.351594,17.175861,16.566422,
366.5686,16.838041,17.389124,17.323917,16.559499,
366.8502,16.790035,17.349942,17.330069,16.421227,
367.1317,16.71875,17.218677,17.215286,16.496536,
367.4133,16.696692,16.680146,17.215075,16.584558,
367.6949,16.65625,16.83241,17.04259,16.54826,
367.9764,16.699883,16.920794,17.012383,16.495678,
368.2580,16.798878,16.888622,17.078793,16.595085,
368.5395,16.897853,16.825716,17.165888,16.570897,
368.8211,16.75957,16.67411,17.10013,16.57079,
369.1027,16.570253,16.529252,16.923754,16.357258,
369.3842,16.879583,16.894777,16.735667,16.900221,
369.6658,17.124694,16.856678,16.837133,17.299572,
369.9473,17.342795,16.759201,17.088194,17.370399,
370.2289,17.318293,16.693293,17.238414,17.063112,
370.5105,16.86173,16.897859,17.189897,17.211558,
370.7920,16.685528,17.091285,17.124507,17.525828,
371.0736,16.569034,16.930966,17.102462,17.146117,
371.3552,16.606109,16.731897,17.238035,16.636177,
371.6367,16.294238,16.048094,17.319703,16.920911,
371.9183,16.586355,16.663248,17.048107,16.814965,
372.1998,16.875,17.008857,17.017713,16.71875,
372.4814,16.959086,16.947164,17.146586,16.697728,
372.7630,17.076365,16.659662,17.397612,16.668409,
373.0445,16.986199,16.537753,17.310439,16.728902,
373.3261,16.96875,16.825673,16.923195,16.796686,
373.6076,17.05408,16.826458,16.880764,16.846632,
373.8892,17.050242,16.65625,16.825363,16.837621,
374.1708,16.979693,16.676557,16.709386,16.853114,
