,Live Spectrum 10-11-2023 10:13:32 - Spikes removed,Live Spectrum 10-11-2023 10:13:34 - Spikes removed,Live Spectrum 10-11-2023 10:13:35 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,18.5625,18.15625,17.96875,17.25,17.96875,18,
361.2189,18.26979,18.33229,18.13073,17.241669,17.64861,18.04913,
361.5005,18.078497,18.09905,18.237817,17.631883,17.56557,17.813244,
361.7821,18.008721,17.67037,18.36929,17.92338,17.881021,17.536649,
362.0636,18.225502,17.692554,18.305748,17.923997,18.210301,17.258449,
362.3452,18.29633,18.113808,18.159048,17.649564,18.271766,17.206468,
362.6267,18.1875,18.363639,18.082389,17.392084,18.193195,17.284083,
362.9083,18.041952,18.092348,18.168353,17.239298,17.736495,17.092348,
363.1899,17.873941,17.780191,18.463457,17.4375,17.310383,17.021723,
363.4714,17.889297,17.744687,18.692813,17.522266,17.42586,17.651566,
363.7530,17.668152,17.668696,18.75,17.650163,17.543967,17.975109,
364.0346,17.675792,17.65625,18.337022,17.604904,17.59375,17.834809,
364.3161,17.997356,17.566302,17.855157,17.584987,17.796133,17.592591,
364.5977,18.118069,17.628524,16.89885,17.788298,17.947956,17.53125,
364.8792,17.837419,17.65625,16.603963,17.948325,18.256331,17.661969,
365.1608,17.585513,17.796062,17.628359,18.164487,18.088801,18.246748,
365.4424,18.068669,17.693401,18.166845,18.157725,17.705204,17.746781,
365.7239,18.369382,17.280589,18.59342,18.125661,17.091437,17.25,
366.0055,17.833102,17.235786,18.519909,18.178982,16.887777,17.269166,
366.2870,17.679656,17.476594,17.894356,18.054656,17.0978,17.56655,
366.5686,17.676377,17.474165,17.599459,17.925789,17.366584,17.85246,
366.8502,17.876296,17.203773,17.714861,17.541331,17.453773,18.1286,
367.1317,17.744202,17.045106,18.064834,17.430572,17.26732,18.122593,
367.4133,17.667279,16.836396,18.141546,17.551471,16.9375,17.286767,
367.6949,17.67471,17.09098,17.89768,17.58241,16.95029,17.125,
367.9764,17.670794,17.4434,17.648189,17.65625,16.881483,17.299534,
368.2580,17.817841,17.707798,17.352031,17.688835,16.895298,17.581463,
368.5395,17.847328,17.8125,17.295707,17.682681,17.180345,17.584112,
368.8211,17.86033,17.69388,17.49362,17.69579,17.41135,17.55102,
369.1027,18.013746,17.388508,17.498002,17.632753,17.619245,17.755993,
369.3842,17.598056,17.977916,17.724194,17.918861,18.407388,17.681195,
369.6658,17.686889,17.969361,17.737683,17.931495,18.381922,17.699817,
369.9473,17.936545,18.119444,17.745399,17.746354,17.966059,17.958593,
370.2289,18.110517,18.24131,18.061888,17.576983,17.594362,17.971647,
370.5105,18.004795,17.829281,18.183904,17.382192,17.322089,17.878596,
370.7920,17.905757,17.094736,18.151814,17.5,17.463328,17.808557,
371.0736,17.872822,17.180209,17.844507,17.508712,17.122822,17.555966,
371.3552,17.832179,17.46143,17.460642,17.655856,17.128463,17.403181,
371.6367,17.694703,17.209619,17.658178,17.858411,17.386059,16.992797,
371.9183,17.502266,17.326893,17.855678,17.774054,17.545444,17.206822,
372.1998,17.931309,17.410426,17.902577,17.829709,17.897393,16.991647,
372.4814,18.384664,17.37387,17.498588,18.094315,17.896022,16.801989,
372.7630,17.926938,17.076365,17.163182,18.206591,17.852388,16.854203,
373.0445,17.510152,17.055203,17.290608,18.049493,17.870558,16.706537,
373.3261,17.963847,17.263928,17.793292,17.766945,18.047064,16.081708,
373.6076,18.323802,17.611042,18.196146,17.673316,17.792326,16.685749,
373.8892,18.075665,17.78125,17.870081,17.575363,17.444234,17.474879,
374.1708,17.673511,17.78125,17.614057,17.479693,17.465591,17.520307,
374.4523,17.618923,17.649741,17.997609,17.359159,17.377823,17.597004,
374.7339,18.0091,17.970123,18.062157,17.147837,17.3125,17.719093,
375.0155,18.32598,18.445464,17.729781,17.068628,17.488357,17.624388,
375.2970,18.428431,18.290811,17.682965,17.196077,17.53125,17.513604,
375.5786,18.267685,17.627346,18.168642,17.388565,17.64446,17.38679,
375.8601,18.489067,18.040634,17.860149,17.525784,17.536716,18.211735,
376.1417,18.123751,17.747085,17.686459,17.813125,17.782083,17.841876,
376.4233,17.946384,17.31783,17.522366,17.886705,17.902696,17.5625,
376.7048,18.053677,17.422947,17.378339,17.539124,17.817035,17.575858,
376.9864,17.650207,17.567396,17.440522,17.329062,17.564374,17.643436,
377.2679,17.274803,17.619536,17.64434,17.308019,17.40625,17.361124,
377.5495,17.369867,17.710759,17.710759,17.635134,17.40625,17.099598,
377.8311,17.594864,17.639851,17.535025,17.813614,17.492017,16.900928,
378.1126,17.367812,17.464876,17.198562,17.575499,17.753874,16.865315,
378.3942,17.707942,17.368928,17.382407,17.65625,17.975712,16.612856,
378.6758,18.04839,17.674336,17.723768,17.515152,18.13911,16.631061,
378.9573,17.953127,18.046874,17.859375,17.187504,18.078127,16.859367,
379.2389,17.857867,17.836749,17.909267,17.014117,17.931466,17.327584,
379.5204,17.918296,17.550454,17.900227,17.316819,17.819091,17.487386,
379.8020,18.129817,17.459733,17.915267,17.813118,17.922184,17.359066,
380.0836,18.240375,17.329377,18.196995,18.20662,17.697256,17.259625,
380.3651,18.042011,17.604788,18.104511,18.058292,17.747379,17.134451,
380.6467,17.624501,18.087589,17.883715,17.624501,17.787911,16.970804,
380.9282,17.296685,18.135374,17.869813,17.296685,17.572748,17.328441,
381.2098,17.194939,17.877226,18.260426,17.25,17.035702,17.791676,
381.4914,17.361453,17.785766,18.57343,17.336977,16.910766,17.756773,
381.7729,17.770827,17.933491,18.532854,17.495991,16.754009,17.141036,
382.0545,18.022823,17.934259,18.405735,17.394581,17.080003,17.031898,
382.3360,17.587338,17.789619,17.80156,16.850027,17.904158,17.049946,
382.6176,17.044847,17.920372,17.874088,16.948092,17.843224,16.878531,
382.8992,16.980697,17.96673,17.616545,17.075918,17.549082,16.926102,
383.1807,17.515576,17.586661,17.41264,17.331669,17.31889,17.069589,
383.4623,18.000014,17.492175,17.499986,17.398439,17.414046,17.179696,
383.7439,17.794048,17.674702,17.752081,17.375,17.588097,16.933338,
384.0254,17.781906,17.676209,17.853074,17.375,17.372377,16.508012,
384.3070,17.759478,17.641906,17.689805,17.736167,16.944416,16.570184,
384.5885,17.651874,17.75906,17.63406,18.097511,16.804055,16.910319,
384.8701,17.643013,17.768013,17.628184,17.545578,17.207606,16.838974,
385.1517,17.59375,17.702535,17.351699,17.185138,17.61587,16.888854,
385.4332,17.540961,17.6875,17.138654,17.160192,17.869231,16.949327,
385.7148,17.5,17.763385,17.371626,17.301328,17.861615,17.107135,
385.9963,17.438978,17.48705,17.693975,17.415681,17.731138,17.4817,
386.2779,17.384546,17.247387,17.716137,17.459204,17.600683,17.786476,
386.5595,17.568045,17.310999,17.6875,16.938317,17.078192,17.267192,
386.8410,17.627889,17.050774,17.638671,17.165049,16.930665,17.086915,
387.1226,17.700159,17.200602,17.599239,17.513102,17.426966,17.042227,
387.4042,17.520738,17.548126,17.70216,17.426988,17.829376,16.949943,
387.6857,17.329373,17.878128,17.690312,17.15031,17.903438,16.738435,
387.9673,17.461338,17.965785,17.6875,16.976162,17.370433,16.778285,
388.2488,17.717484,18.093117,17.469857,16.937658,17.188291,16.998893,
388.5304,17.878481,18.550898,17.31134,17.071707,17.506961,17.324102,
388.8120,17.973696,18.254946,17.266412,16.532148,17.727067,17.617581,
389.0935,18.03503,18.263358,17.10509,16.985633,18.202621,17.489668,
389.3751,18.067582,17.870678,17.177337,17.587909,18.215947,17.167173,
389.6566,17.985328,17.6301,17.207911,17.750639,17.686861,17.081633,
389.9382,17.524159,17.383245,17.569591,17.805985,17.600841,17.225265,
390.2198,17.352531,17.231921,17.705406,17.584797,17.71875,17.518079,
390.5013,17.157354,16.990319,17.637441,17.521569,17.677819,17.800611,
390.7829,17.077276,17.044328,17.095574,17.149837,17.59375,17.531502,
391.0645,17.220124,17.115177,16.728573,16.70735,17.606525,16.960098,
391.3460,17.340575,16.804811,17.165278,16.90759,17.681151,17.373165,
391.6276,17.34441,16.77993,17.452135,17.230746,17.71941,17.5625,
391.9091,17.130483,17.05886,17.516547,17.505532,17.637859,17.413577,
392.1907,16.86199,17.445727,17.37111,17.575957,17.504783,17.263457,
392.4723,16.838353,17.631819,17.154829,17.486363,17.418466,17.725857,
392.7538,16.814191,17.615711,17.11402,17.396961,17.487329,18.315026,
393.0354,17.297243,17.421752,17.167999,17.912493,17.961244,17.952757,
393.3169,17.394904,17.752787,17.278397,18.088077,17.815386,17.832371,
393.5985,17.27192,18.121741,17.264613,17.91884,17.184689,17.898943,
393.8801,17.124214,17.58373,17.325471,17.573115,16.880307,17.956564,
394.1616,17.251942,17.4375,17.34375,17.289077,16.922846,17.810558,
394.4432,17.474228,17.685614,17.564296,17.387841,16.9375,17.753682,
394.7248,17.672595,17.661218,17.564984,17.808971,17.081329,17.95136,
395.0063,17.777374,16.907304,17.412711,18.143328,17.273497,18.208413,
395.2879,18.279563,17.684759,17.997997,17.657937,17.592696,16.754955,
395.5694,18.216599,17.310349,17.809273,17.910553,17.344826,16.841599,
395.8510,18.115722,17.268012,17.714247,18.008735,17.402019,16.778998,
396.1326,17.538998,17.510266,17.666516,17.729016,17.76711,16.753422,
396.4141,17.079989,17.538705,17.75,17.862958,17.855792,16.790424,
396.6957,17.022988,17.230244,17.646556,18.121769,17.551006,16.91846,
396.9772,17.180211,17.288151,17.104684,17.879032,17.534507,17.298309,
397.2588,17.391101,17.328601,16.909106,17.5625,17.575745,17.525103,
397.5404,17.483472,17.319834,17.196694,17.590083,17.380527,17.549585,
397.8219,17.562751,17.25983,17.239416,17.676916,17.489416,17.187751,
398.1035,17.419737,17.566776,17.361513,17.821945,17.53125,17.205263,
398.3851,17.306438,18.020068,17.638536,17.974812,17.266773,17.318562,
398.6666,17.508352,18.445852,17.884901,17.896349,16.806416,17.144081,
398.9482,17.807756,18.493072,17.83366,17.710241,16.778087,16.983584,
399.2297,17.730838,18.153035,17.527392,17.51466,16.955376,17.127572,
399.5113,17.528393,18.085268,17.565446,17.656339,17.539998,17.574017,
399.7929,17.590776,18.083629,17.695534,17.721724,17.647016,17.752974,
400.0744,17.771761,17.973495,17.714005,17.386725,17.225731,17.571989,
400.3560,18.169239,18.018872,17.729657,16.994976,17.480268,17.438971,
400.6375,18.472325,18.148217,17.4616,17.110721,17.901792,17.341962,
400.9191,18.39619,18.11997,17.43379,17.668951,17.842429,17.3125,
401.2007,17.777691,17.857892,17.46875,17.890922,17.33312,17.336086,
401.4822,17.248561,17.707281,17.567375,17.659687,17.088875,17.368406,
401.7638,17.413467,17.6875,17.490863,17.568028,17.011057,16.809122,
402.0453,17.46875,17.633936,17.281277,17.375027,17.241037,16.848192,
402.3269,17.691446,17.485815,17.027304,17.288076,17.420435,17.042022,
402.6085,17.920958,17.699845,16.62447,17.425685,17.293065,17.235821,
402.8900,17.967432,17.658887,16.863135,17.25791,17.251318,17.369727,
403.1716,17.782922,17.687221,17.401513,17.002229,17.188057,17.096258,
403.4532,17.495465,17.752267,17.304942,17.23311,17.508314,16.997733,
403.7347,17.344631,17.825899,17.033917,17.785724,17.834825,16.918746,
404.0163,17.875,17.553724,17.604987,17.329704,17.718402,17.122191,
404.2978,17.875,17.777422,17.67281,17.179843,18.027422,17.132034,
404.5794,17.85563,17.691891,17.319538,17.086261,17.961261,17.42562,
404.8610,17.691486,17.486176,17.193351,16.869149,17.668081,17.501993,
405.1425,17.430645,18.016737,17.355855,16.878026,17.319355,17.313303,
405.4241,17.437666,18.156084,17.851604,17.078541,17.469415,17.117312,
405.7056,17.584337,17.947477,17.777673,17.374435,17.817206,17.346762,
405.9872,17.767933,17.59723,17.50174,17.59027,17.464737,17.612287,
406.2688,17.86418,17.522852,17.405039,17.686289,16.908672,17.366602,
406.5503,17.784754,17.742991,17.284754,17.636799,17.220036,17.33896,
406.8319,17.6875,18.052455,17.238591,17.630704,17.646205,17.112227,
407.1135,17.660017,18.314941,17.381208,17.607492,17.661343,17.286131,
407.3950,17.654411,18.4375,17.46875,17.683821,17.204055,17.781239,
407.6766,17.6875,18.312188,17.484414,17.656016,16.859258,18.031172,
407.9581,17.770589,18.054558,17.433529,17.5625,17.045149,17.750734,
408.2397,17.668084,18.200998,17.252034,17.544933,17.495932,17.724482,
408.5213,17.568271,18.165615,17.415396,17.605292,17.483886,17.708406,
408.8028,17.613199,17.922203,17.943837,17.65625,17.129808,17.418706,
409.0844,17.808449,17.854617,18.135867,17.737783,16.8777,17.1902,
409.3659,18.055436,18.056873,17.890565,17.823875,17.068247,17.125,
409.6475,18.102764,18.222959,17.603359,17.84375,17.276446,17.147236,
409.9291,17.862194,18.018444,17.600717,17.377871,17.451434,17.248872,
410.2106,17.70904,17.696801,17.57686,17.158479,17.379651,17.37753,
410.4922,17.637541,17.600021,17.037935,16.931437,17.493626,17.08152,
410.7738,17.314395,17.412564,17.061553,17.133838,18.023042,17.155303,
411.0553,17.142866,17.160733,17.415151,17.616034,18.366051,17.294634,
411.3369,17.346425,17.291069,17.717853,17.632144,17.769652,17.3125,
411.6184,17.860657,17.283932,18.121385,17.396456,16.887595,17.255364,
411.9000,17.90625,17.310703,17.979531,17.227735,16.665235,17.308906,
412.1816,18.118583,17.251833,17.665417,17.461416,16.959583,17.160834,
412.4631,18.249835,17.093957,17.312955,17.780837,17.187211,17.281085,
412.7447,17.879974,17.003316,17.832972,17.24088,17.350383,17.211288,
413.0262,18.054027,17.128389,17.429027,16.919807,17.620864,16.930721,
413.3078,17.873029,17.192611,17.288916,17.212469,18.080973,16.84061,
413.5894,17.506823,17.246589,17.415937,17.860807,17.944323,17.183541,
413.8709,17.613651,17.227275,17.762788,17.880647,17.995737,17.380674,
414.1525,17.983481,17.342558,17.813096,17.068801,17.943205,17.21875,
414.4341,18.171145,17.626497,17.608645,16.864559,17.71729,17.272306,
414.7156,17.758338,17.5,17.453762,17.381649,17.332862,17.432125,
414.9972,17,17.530478,17.685957,17.892554,17.490065,17.141783,
415.2787,17.008447,17.675682,17.976363,17.571781,17.842916,17.025341,
415.5603,17.114676,17.914465,18.231461,17.306672,18.08448,17.242062,
415.8419,17.342762,18.095726,17.985752,17.2591,17.931364,17.603837,
416.1234,17.395349,17.870645,17.518898,17.332849,17.569046,17.450591,
416.4050,17.269619,17.628955,17.390664,17.148574,17.394541,17.054746,
416.6865,17.018674,17.543763,17.350038,16.812436,17.462589,16.950013,
416.9681,17.065991,17.722241,17.379627,17.211284,17.59375,17.394725,
417.2497,17.238932,18.064454,17.498917,17.80447,17.819447,17.799477,
417.5312,17.172604,18.174063,17.538543,17.629376,18.004376,17.415002,
417.8128,17.297376,18.015235,17.265235,17.452847,17.529914,17.312834,
418.0944,17.635032,17.708718,17.238555,17.407922,17.106867,17.702547,
418.3759,17.691844,17.393357,17.484866,17.471973,17.441706,18.141116,
418.6575,17.503712,17.371288,17.715038,17.698084,17.984099,18.137189,
418.9390,17.362404,17.568918,17.555962,17.956394,17.987284,17.918606,
419.2206,16.863179,17.812535,17.425786,17.933572,17.425679,17.413965,
419.5022,16.979313,18.149763,17.762184,17.793829,17.176543,17.237421,
419.7837,17.503179,18.028707,18.084817,17.539547,17.313772,17.386476,
420.0653,17.547284,17.383215,18.003698,17.415707,17.418586,17.677224,
420.3468,17.364782,16.930886,17.712136,17.496396,17.505109,17.600959,
420.6284,17.475425,17.076501,17.694825,17.647625,17.5778,17.228674,
420.9100,17.555259,17.276296,17.982851,17.567454,17.665777,17.269055,
421.1915,17.389329,17.114591,18.359364,17.53125,17.786455,17.68358,
421.4731,16.477988,17.317136,17.80091,17.327541,17.736109,17.195587,
421.7546,16.516906,17.532104,17.65625,17.071778,17.404542,17.036316,
422.0362,17.127396,17.992897,17.65625,16.923651,17.478249,17.08505,
422.3178,17.660528,18.200556,17.545806,17.182361,17.776111,17.204194,
422.5993,17.747068,18.388657,17.474614,17.700154,17.642593,17.388657,
422.8809,17.6049,18.23213,17.52679,18.098241,17.363819,17.43527,
423.1625,17.147983,18.040443,17.471814,18.214153,17.61121,17.526653,
423.4440,16.912123,17.72714,17.499161,18.036284,18.020343,17.409606,
423.7256,17.186147,17.74985,17.5,18.124549,17.440356,16.753157,
424.0071,17.279649,18.155182,17.439635,18.154115,17.439101,17.003203,
