,Live Spectrum 10-11-2023 09:54:06 - Spikes removed,Live Spectrum 10-11-2023 09:54:11 - Spikes removed,Live Spectrum 10-11-2023 09:54:12 - Spikes removed,Live Spectrum 10-11-2023 09:54:13 - Spikes removed,Live Spectrum 10-11-2023 09:54:14 - Spikes removed,Live Spectrum 10-11-2023 09:54:15 - Spikes removed,Live Spectrum 10-11-2023 09:54:16 - Spikes removed,Live Spectrum 10-11-2023 09:54:17 - Spikes removed,Live Spectrum 10-11-2023 09:54:18 - Spikes removed,Live Spectrum 10-11-2023 09:54:18 - Spikes removed,Live Spectrum 10-11-2023 09:54:20 - Spikes removed,Live Spectrum 10-11-2023 09:54:21 - Spikes removed,Live Spectrum 10-11-2023 09:54:22 - Spikes removed,Live Spectrum 10-11-2023 09:54:23 - Spikes removed,Live Spectrum 10-11-2023 09:54:23 - Spikes removed,Live Spectrum 10-11-2023 09:54:24 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.75,17.6875,17.1875,17.625,16.5625,17.0625,17.46875,17.84375,16.84375,16.15625,18.3125,17.6875,16.28125,17.375,17.84375,17.75,
361.2189,17.78507,17.21684,17.28889,17.449651,16.62309,17.26719,17.53698,17.283851,17.13264,16.208509,17.754511,17.46302,16.08802,17.70087,17.60781,17.81632,
361.5005,17.87807,17.218006,17.41769,17.13337,16.597563,17.515997,17.625,16.874256,17.234747,16.580823,17.278924,17.34068,16.01144,17.87193,17.29799,17.848307,
361.7821,18.125,17.45463,17.539971,16.9402,16.63642,17.40054,17.61358,17.139431,17.090739,17.011731,16.82392,17.036649,16.167981,17.516508,16.95162,17.570599,
362.0636,18.125,17.432446,17.695949,16.858102,16.634298,17.314198,17.532099,17.34375,16.876698,17.328549,16.890201,16.766049,16.591204,16.947647,16.844599,17.1799,
362.3452,18.07758,17.03016,17.606032,17.009484,16.51617,17.134484,17.456468,17.362718,16.877179,17.300218,16.975436,16.756686,16.92242,16.696984,16.84484,17.184702,
362.6267,17.900583,16.801139,17.528417,17.110778,16.647722,17.167611,17.568167,17.383528,17.448833,17.264222,17.051139,16.889194,17.076694,16.832361,17.0625,17.340889,
362.9083,17.873872,16.70186,17.045337,17.32939,16.780122,17.319817,17.541952,17.10558,17.581647,16.979452,16.938628,16.929055,16.851922,17.309115,17.274207,17.394147,
363.1899,17.984904,16.639037,16.589516,17.301638,16.966633,17.39433,17.298463,16.947303,17.33183,16.766154,16.767213,16.965574,16.377117,17.566734,17.275681,17.189617,
363.4714,18.01961,16.907893,17.074769,16.969764,17.149923,16.891325,17.114374,17.02328,17.083124,16.64828,16.650937,17.147266,16.431173,17.149294,16.86703,17.362346,
363.7530,17.912065,17.206576,17.375,16.850109,17.231196,16.449674,17.094022,16.730652,16.874728,16.656522,16.612554,17.181141,16.738098,16.868641,16.875272,17.449674,
364.0346,17.709256,17.363846,17.18916,17.06084,17.21875,16.457596,17.321441,16.345963,16.833149,16.780697,16.769542,16.991059,17.226031,16.740506,16.75166,17.457596,
364.3161,17.543815,17.361276,17.206185,17.178737,17.196263,17.0172,17.473711,16.646002,16.933698,16.834987,17.001159,16.861276,17.428737,16.822422,16.633763,17.455026,
364.5977,17.524319,17.34375,17.322956,16.944314,17.260456,17.194431,17.256814,17.15296,16.993069,16.478972,17.111137,16.941024,17.072722,17.020911,16.625,17.510456,
364.8792,17.635825,17.239175,17.579043,16.744281,17.228963,16.97835,17.082925,17.171569,16.843138,16.061276,17.098856,17.099469,16.576594,17.167075,17.043299,17.452819,
365.1608,17.069039,17.414487,18.044436,16.858562,16.883201,17.245086,16.978613,17.016438,16.952312,16.223699,17.345412,17.488511,16.472038,17.634898,16.957226,16.878252,
365.4424,16.910676,17.675697,17.349383,16.845225,17.022398,17.311025,17.087849,16.970225,17.236722,16.488197,17.315451,17.471701,16.587849,17.508852,16.967275,16.901824,
365.7239,16.877974,17.908563,17.414181,17.03158,17.283563,17.470402,17.434526,17.345402,17.374009,16.78158,17.342428,17.186178,16.847715,17.217759,16.778606,16.87467,
366.0055,17.186063,18.12713,18.166898,17.071018,17.491482,17.62287,17.15412,17.5,17.272732,16.806111,17.21875,17.06463,17.208102,17.139907,16.526991,16.858657,
366.2870,17.589828,18.136639,18.226211,17.195344,17.347544,17.581983,17.125,17.484311,17.15625,16.71875,17.210906,17.078061,17.086033,17.34375,16.46875,17.148789,
366.5686,17.5625,17.954332,17.550789,17.267126,17.167667,17.494291,17.170668,17.369291,17.190501,16.781544,17.150541,16.934499,17.28996,17.315207,16.531544,17.75,
366.8502,17.540035,17.705069,17.241215,17.313796,17.226238,17.461262,17.412442,17.336262,17.373704,17.144873,17.125,16.78125,17.491215,17.202477,16.872407,17.65265,
367.1317,17.181629,17.627334,17.321762,17.200226,17.101808,17.4375,17.596084,17.192094,17.218677,17.211749,17.208358,16.809036,17.432832,17.29631,17.090286,17.288178,
367.4133,16.610291,17.670959,17.255517,17.134192,16.794117,17.404413,17.639709,16.972425,16.75735,16.783087,17.373163,16.808825,17.169117,17.384192,17.134192,17.2886,
367.6949,16.90203,17.32806,17.00422,17.08096,16.78547,17.39491,17.50145,17.09375,17.02558,16.88212,17.26134,16.64913,17.28837,17.22864,17.26002,17.55683,
367.9764,17.074883,17.197722,17.0059,17.091589,16.685339,17.541472,17.782828,17.122839,17.077044,16.995678,17.0566,16.59375,17.401928,17.047956,17.485456,17.346494,
368.2580,17.125,17.379006,17.270298,17.271634,16.604702,17.559829,17.869659,17.319176,17.028579,16.948452,16.792202,16.658921,17.46875,17.129006,17.224361,16.964744,
368.5395,17.215172,17.613026,17.465172,17.24394,16.481966,17.536069,17.569655,17.703198,17.058922,16.735543,16.741603,16.790888,17.378578,17.200716,16.801621,16.965172,
