,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:26,Live Spectrum 10-11-2023 09:49:28,Live Spectrum 10-11-2023 09:49:31,Live Spectrum 10-11-2023 09:49:33,Live Spectrum 10-11-2023 09:49:36,Live Spectrum 10-11-2023 09:49:37,Live Spectrum 10-11-2023 09:49:38,Live Spectrum 10-11-2023 09:49:40,Live Spectrum 10-11-2023 09:49:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
360.9374,17.1875,16.75,16.28125,16.5,16.625,16.65625,17,16.5625,16.78125,17.03125,16.625,
361.2189,16.99236,16.75764,16.06632,16.63264,16.91007,16.85521,17.0408,16.63073,16.89861,16.70729,16.66007,
361.5005,16.867373,16.878813,16.144067,16.746187,16.91155,17.03125,17.145554,16.737817,16.777437,16.527437,16.737817,
361.7821,16.79537,16.963351,16.395452,16.70733,16.534261,17.03125,16.798069,16.90355,16.73287,16.52855,16.909261,
362.0636,16.756752,17.188349,16.891049,16.610648,16.740702,16.978048,16.624151,17.069252,16.66385,16.679051,17.032099,
362.3452,16.884484,17.150654,16.682523,16.506686,16.896766,16.71766,16.756686,17.206468,16.573692,16.731032,16.98492,
362.6267,16.974417,17.28125,16.198889,16.639194,16.738667,16.431833,16.866472,17.272722,16.323861,16.676139,17.082389,
362.9083,17.067287,17.387103,16.330792,16.679055,16.724938,16.616828,17.06503,17.166952,16.50253,16.65625,17.075732,
363.1899,17.061441,17.606729,16.841633,16.700479,16.955771,17.121824,17.251059,17.029133,16.658367,16.595867,16.957888,
363.4714,17.110703,17.6875,16.95711,16.662577,16.807187,17.252657,17.21875,16.873357,16.525937,16.63297,16.609061,
363.7530,17.162609,17.574674,17,16.280435,16.674783,17.206033,17.143533,16.762717,16.280707,16.775163,16.550326,
364.0346,17.311393,17.272862,17.020649,16.135048,16.728244,17.114952,17.031803,16.895096,16.032357,16.915744,16.852138,
364.3161,17.330026,17.133763,16.918815,16.605989,16.826224,17.206185,17.089948,17.049935,16.171133,17.103672,17.036211,
