,Live Spectrum 26-10-2023 13:19:37,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:43,,Live Spectrum 26-10-2023 13:20:45,,Live Spectrum 26-10-2023 13:20:46,,Live Spectrum 26-10-2023 13:21:03,,Live Spectrum 26-10-2023 13:21:04,,Live Spectrum 26-10-2023 13:21:05,
Wavelength [nm],Intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,
360.9374,16.766088,360.9374,17.3125,360.9374,16.71875,360.9374,17.28125,360.9374,16.90625,360.9374,17.34375,360.9374,16.53125,360.9374,16.96875,360.9374,17,
361.2197,16.844653,361.2189,17.33611,361.2189,16.706599,361.2189,16.820831,361.2189,17.09757,361.2189,17.09948,361.2189,16.82205,361.2189,17.01788,361.2189,16.94323,
361.5019,16.831519,361.5005,17.203497,361.5005,16.996187,361.5005,16.45731,361.5005,17.14481,361.5005,17.179873,361.5005,16.938244,361.5005,16.781994,361.5005,17.012183,
361.7842,16.850378,361.7821,17.048069,361.7821,17.003011,361.7821,16.409261,361.7821,17.03966,361.7821,17.176391,361.7821,16.72446,361.7821,16.59105,361.7821,16.86358,
362.0665,16.855453,362.0636,16.828549,362.0636,17.16385,362.0636,16.661304,362.0636,16.899498,362.0636,17.41385,362.0636,16.734799,362.0636,16.756752,362.0636,16.8201,
362.3487,16.909061,362.3452,16.800218,362.3452,17.253888,362.3452,17.006686,362.3452,16.819186,362.3452,17.361628,362.3452,16.78234,362.3452,16.950872,362.3452,16.89117,
362.6310,16.874393,362.6267,16.855111,362.6267,17.497139,362.6267,17.082389,362.6267,16.974417,362.6267,17.096611,362.6267,17.159055,362.6267,17.159083,362.6267,17,
362.9133,16.809807,362.9083,16.769147,362.9083,17.365153,362.9083,17.022805,362.9083,17.146677,362.9083,17.109512,362.9083,17.450732,362.9083,16.993812,362.9083,17.026463,
363.1956,16.846919,363.1899,16.609904,363.1899,17.029133,363.1899,16.938559,363.1899,17.052697,363.1899,17.162601,363.1899,17.287601,363.1899,16.6875,363.1899,17.228553,
363.4778,16.852845,363.4714,16.559843,363.4714,17.161563,363.4714,16.940157,363.4714,16.688514,363.4714,16.833124,363.4714,16.958124,363.4714,16.551874,363.4714,17.45711,
363.7601,16.789269,363.7530,16.66288,363.7530,17.275163,363.7530,17.081576,363.7530,16.587663,363.7530,16.756359,363.7530,16.862554,363.7530,16.531522,363.7530,17.424783,
364.0424,16.765038,364.0346,16.956489,364.0346,17.333149,364.0346,17.300792,364.0346,16.831489,364.0346,17.029037,364.0346,17.081489,364.0346,16.573101,364.0346,17.106565,
364.3246,16.840555,364.3161,17.28737,364.3161,17.456185,364.3161,17.375,364.3161,16.915013,364.3161,17.403606,364.3161,17.322422,364.3161,16.697422,364.3161,16.878802,
364.6069,16.948845,364.5977,17.399319,364.5977,17.597274,364.5977,17.156133,364.5977,17.222391,364.5977,17.427044,364.5977,17.302044,364.5977,16.604089,364.5977,17.111254,
364.8892,16.896022,364.8792,17.353963,364.8792,17.598856,364.8792,16.8846,364.8792,17.600081,364.8792,17.484681,364.8792,17.176675,364.8792,16.640931,364.8792,17.448937,
365.1715,16.849311,365.1608,16.253216,365.1608,17.146352,365.1608,16.452276,365.1608,17.097002,365.1608,16.828902,365.1608,16.736814,365.1608,17.131611,365.1608,16.940752,
365.4537,16.85085,365.4424,16.392972,365.4424,17.034201,365.4424,16.287151,365.4424,17.209898,365.4424,16.630901,365.4424,16.657725,365.4424,17.157725,365.4424,17.142972,
365.7360,16.918835,365.7239,16.752313,365.7239,17.000991,365.7239,16.250661,365.7239,17.4375,365.7239,16.438491,365.7239,16.811509,365.7239,16.564152,365.7239,17.219741,
366.0183,17.015487,366.0055,16.964491,366.0055,17.112916,366.0055,16.350832,366.0055,17.422593,366.0055,16.546157,366.0055,16.710232,366.0055,16.693196,366.0055,17.301852,
366.3006,17.014075,366.2870,16.902328,366.2870,17.375,366.2870,16.898533,366.2870,17.199139,366.2870,16.757844,366.2870,16.589828,366.2870,16.347672,366.2870,17.136639,
366.5828,16.951287,366.5686,16.937794,366.5686,17.300789,366.5686,17.073917,366.5686,17.056791,366.5686,16.823917,366.5686,16.619585,366.5686,16.323623,366.5686,17.005709,
366.8651,16.898477,366.8502,17.241215,366.8502,16.901354,366.8502,17.087558,366.8502,17.046227,366.8502,16.867512,366.8502,16.942396,366.8502,16.071285,366.8502,17.068692,
367.1474,16.889195,367.1317,17.080951,367.1317,16.604142,367.1317,16.820558,367.1317,16.936297,367.1317,16.741868,367.1317,17.128464,367.1317,16.268597,367.1317,17.178238,
367.4296,16.9177,367.4133,16.619483,367.4133,16.626833,367.4133,16.512867,367.4133,16.540442,367.4133,16.5,367.4133,17.084558,367.4133,16.795959,367.4133,17.266541,
